
[00:00:00.000 --> 00:00:04.400]  我以前講道我從來都不講啟示錄的
[00:00:04.400 --> 00:00:07.440]  因為我不懂 我又不明白
[00:00:07.440 --> 00:00:09.560]  不過唯一就是我信主之前
[00:00:09.560 --> 00:00:12.760]  我看聖經 從羅馬書看到啟示錄
[00:00:12.760 --> 00:00:16.280]  在啟示錄那裡我知道有些預言
[00:00:16.280 --> 00:00:18.520]  未來可能都是我們這個時代
[00:00:18.520 --> 00:00:22.760]  我見到那種悲慘的情況 我就痛哭
[00:00:22.760 --> 00:00:25.280]  就是說人類這麼多的罪
[00:00:25.280 --> 00:00:28.240]  我那時候很感覺到人類的罪
[00:00:28.240 --> 00:00:32.520]  懲罰會來臨 但是一直我都不明白啟示錄
[00:00:32.520 --> 00:00:36.760]  直到近期我突然間明白了
[00:00:36.760 --> 00:00:39.600]  好像聖明突然給我明白這樣
[00:00:39.600 --> 00:00:43.760]  因為我是時事評論員 如果大家知道
[00:00:43.760 --> 00:00:47.760]  是在三藩市的星島電台
[00:00:47.760 --> 00:00:51.200]  我每個禮拜都有時事評論
[00:00:51.200 --> 00:00:55.200]  是講國際關係 世界大事等等
[00:00:55.200 --> 00:00:59.840]  由於我對世事很熟悉
[00:00:59.840 --> 00:01:03.360]  我忽然間發覺啟示錄很多我以前不明白的東西
[00:01:03.360 --> 00:01:07.680]  和今天世界發生好像有關係
[00:01:07.680 --> 00:01:10.800]  我就開始去看它 逐點逐點研究
[00:01:10.800 --> 00:01:13.160]  就是逐步的 我不是一個解經家
[00:01:13.160 --> 00:01:15.720]  一開始整本來看 看部份的部份
[00:01:15.720 --> 00:01:17.560]  接著玩一些串起來
[00:01:17.560 --> 00:01:23.600]  最近我出了三集 就是啟示錄的末世的藍圖
[00:01:23.600 --> 00:01:28.440]  用一個地圖 即神有一個末世的地圖來講
[00:01:28.440 --> 00:01:33.960]  要講很久才能講 今次只講幾個重點
[00:01:33.960 --> 00:01:38.760]  幾個重點就是 滴基督 大淫婦 末世的大戰
[00:01:38.760 --> 00:01:41.640]  那些的寓言 究竟和今天有什麼關係
[00:01:41.640 --> 00:01:46.240]  怎樣串起來 一個聖經整體的寓言呢
[00:01:46.240 --> 00:01:49.480]  我們要將聖經很多不同的寓言
[00:01:49.480 --> 00:01:54.200]  是很複雜的那些線索 將它串起來
[00:01:54.200 --> 00:01:56.440]  其實是非常容易的
[00:01:56.440 --> 00:01:58.760]  所以我以前看到的東西是很亂的
[00:01:58.760 --> 00:02:04.120]  我就沒有時間慢慢的去追求
[00:02:04.120 --> 00:02:07.600]  但是到現在我忽然間明白了 我覺得很奇怪
[00:02:07.600 --> 00:02:10.360]  因為時代可能真的到了
[00:02:10.360 --> 00:02:13.080]  首先我們看《但以理》的寓言
[00:02:13.080 --> 00:02:16.680]  《但以理》是為尼泊爾格尼撒旺解夢
