
[00:00:00.000 --> 00:00:03.120]  C.S. Lewis 的《Mere Christianity》裡面
[00:00:03.120 --> 00:00:05.720]  有一段講The Great Sin
[00:00:05.720 --> 00:00:08.440]  一個罪大的罪
[00:00:08.440 --> 00:00:09.840]  它的講驕傲
[00:00:09.840 --> 00:00:12.800]  你可以加上是質疑
[00:00:12.800 --> 00:00:16.200]  自己的特行等等加進去都可以
[00:00:16.200 --> 00:00:17.560]  你看我的特行
[00:00:17.560 --> 00:00:22.440]  這個諸惡中最大之惡
[00:00:22.440 --> 00:00:25.680]  會偷偷進入我們信仰生活的中心
[00:00:25.680 --> 00:00:27.280]  原因很簡單
[00:00:27.280 --> 00:00:28.760]  其他較小之惡
[00:00:28.760 --> 00:00:31.800]  是魔鬼利用我們的動物本性
[00:00:31.800 --> 00:00:33.800]  作用在我們身上
[00:00:33.800 --> 00:00:37.720]  但驕傲不是來自人的動物本性
[00:00:37.720 --> 00:00:40.600]  而是直接來自地獄
[00:00:40.600 --> 00:00:43.720]  是屬靈層次上的東西
[00:00:43.720 --> 00:00:49.720]  因此比其他惡源源遠遠難捉摸
[00:00:49.720 --> 00:00:52.200]  也遠為致命
[00:00:52.200 --> 00:00:58.000]  我想你知道它不是看低動物本性的罪
[00:00:58.000 --> 00:00:59.520]  我講的Lust of the Eyes
[00:00:59.520 --> 00:01:00.760]  譬如色情那些
[00:01:00.760 --> 00:01:04.360]  但它講的驕傲是另一件事
[00:01:04.360 --> 00:01:05.880]  是一件令人害怕的事
[00:01:05.880 --> 00:01:07.960]  你看下去就明白它的意思
[00:01:07.960 --> 00:01:08.520]  它說
[00:01:08.520 --> 00:01:09.800]  也因為如此
[00:01:09.800 --> 00:01:15.200]  驕傲常被用來驅走較小之惡
[00:01:15.200 --> 00:01:16.360]  For example
[00:01:16.360 --> 00:01:19.400]  老師常常用自尊
[00:01:19.400 --> 00:01:25.720]  這種字眼來勸學生檢點行為
[00:01:25.720 --> 00:01:29.240]  其實自尊就是驕傲
[00:01:29.240 --> 00:01:32.440]  不少人能克服懦弱
[00:01:32.440 --> 00:01:33.680]  貪欲
[00:01:33.680 --> 00:01:34.920]  壞脾氣等等
[00:01:34.920 --> 00:01:39.760]  是由於是這些有損自己的尊嚴
[00:01:39.760 --> 00:01:41.960]  用的也是驕傲
[00:01:41.960 --> 00:01:43.440]  不知道你明不明白它講的甚麼
[00:01:43.440 --> 00:01:45.680]  譬如有個學生很懶
[00:01:45.680 --> 00:01:47.880]  有沒有辦法令他不懶
[00:01:47.880 --> 00:01:49.680]  其中一個辦法就是
[00:01:49.680 --> 00:01:51.960]  讓他跟其他人有競爭
[00:01:51.960 --> 00:01:53.520]  去表揚
[00:01:53.520 --> 00:01:54.880]  譬如這樣說
[00:01:54.880 --> 00:01:57.240]  我決定這次考試
[00:01:57.240 --> 00:01:59.040]  有一個全班第一的人
[00:01:59.040 --> 00:02:01.240]  公開表揚
[00:02:01.240 --> 00:02:04.640]  讓他在全校面前領個獎
[00:02:04.640 --> 00:02:08.560]  下次那些懶的學生都開始勤勞
[00:02:08.560 --> 00:02:09.160]  為甚麼
[00:02:09.160 --> 00:02:13.200]  因為大家夢想可以追求到
[00:02:13.200 --> 00:02:16.520]  他有一天可以驕傲地站在上面
[00:02:16.520 --> 00:02:18.200]  在教會一樣
[00:02:18.200 --> 00:02:20.920]  你想某位弟兄姊妹特別用心做教會的事
[00:02:20.920 --> 00:02:21.400]  很簡單
[00:02:21.400 --> 00:02:23.000]  稱讚一下他
[00:02:23.000 --> 00:02:25.440]  一是彈一下他
[00:02:25.440 --> 00:02:26.600]  一是稱讚一下他
[00:02:26.600 --> 00:02:29.560]  我真的看到你做這次大定
[00:02:29.560 --> 00:02:31.400]  真的比那位弟兄好很多
[00:02:31.400 --> 00:02:32.600]  我聽不明白
[00:02:32.600 --> 00:02:34.960]  他下次就貼心
[00:02:34.960 --> 00:02:36.080]  全力以赴去做
[00:02:36.080 --> 00:02:37.600]  一是說你不行
[00:02:37.600 --> 00:02:38.880]  你這樣很敷衍
[00:02:38.880 --> 00:02:40.880]  你看看那個人跟你差不多瘦底的時候
[00:02:40.880 --> 00:02:41.800]  現在人家
[00:02:41.800 --> 00:02:43.040]  聽說人家現在
[00:02:43.040 --> 00:02:44.040]  不止11%貢獻
[00:02:44.040 --> 00:02:44.920]  15%
[00:02:44.920 --> 00:02:47.280]  你現在給多少
[00:02:47.280 --> 00:02:48.960]  他又可以急起追追
[00:02:48.960 --> 00:02:50.840]  你明不明白
[00:02:50.840 --> 00:02:53.800]  原來這個驕傲
[00:02:53.800 --> 00:02:55.600]  自義這件事
[00:02:55.600 --> 00:02:57.160]  是很能使的
[00:02:57.160 --> 00:02:59.080]  但是使得來
[00:02:59.080 --> 00:02:59.880]  是害人的
[00:02:59.880 --> 00:03:03.080]  你看看下面最後的總結
[00:03:03.080 --> 00:03:04.120]  Zell Smith 說
[00:03:04.120 --> 00:03:12.280]  當老師用驕傲去取代了學生的懶散的時候
[00:03:12.280 --> 00:03:14.040]  他說
[00:03:14.040 --> 00:03:15.560]  魔鬼會大笑
[00:03:15.560 --> 00:03:18.280]  他非常高興一個人能做到
[00:03:18.280 --> 00:03:21.800]  精潔、勇敢、自制
[00:03:21.800 --> 00:03:29.160]  只要在後面指揮你的是驕傲、自義、公德
[00:03:29.160 --> 00:03:33.200]  這就好像他不在乎你把洞瘡醫好
[00:03:33.200 --> 00:03:37.680]  只要你願意接受癌症來交換
[00:03:37.680 --> 00:03:40.240]  驕傲為屬靈上的癌症
[00:03:40.240 --> 00:03:42.840]  能吞吃掉外至足
[00:03:42.840 --> 00:03:44.920]  叫這一切無法事前
[00:03:44.920 --> 00:03:46.360]  你明不明白
[00:03:46.360 --> 00:03:47.800]  一個驕傲的人
[00:03:47.800 --> 00:03:50.720]  是很多人害怕的一個人
[00:03:50.720 --> 00:03:53.000]  一個驕傲的人
[00:03:53.000 --> 00:03:54.800]  可以擁有精潔
[00:03:54.800 --> 00:03:56.840]  可以擁有勇敢
[00:03:56.840 --> 00:03:58.000]  可以有自制
[00:03:58.000 --> 00:03:58.840]  Self-Control
[00:03:58.840 --> 00:04:01.960]  我想大家都很想要有自制的
[00:04:01.960 --> 00:04:04.200]  但是一個驕傲的人可以擁有這件事
[00:04:04.200 --> 00:04:09.680]  但是他其實生命裏面有著的是什麼
[00:04:09.680 --> 00:04:11.160]  癌症
[00:04:11.160 --> 00:04:13.120]  很多人害怕的
[00:04:13.120 --> 00:04:14.520]  但是我可以這樣跟你說
[00:04:14.520 --> 00:04:15.720]  我們這些華人教會
[00:04:15.720 --> 00:04:19.280]  即是我們亞洲人的文化
[00:04:19.280 --> 00:04:21.680]  是最曉慮這些東西的
[00:04:21.680 --> 00:04:23.520]  我們在美國
[00:04:23.520 --> 00:04:24.640]  我講一個故事
[00:04:24.640 --> 00:04:29.880]  在美國我們很多韓國教會
[00:04:29.880 --> 00:04:32.640]  我在美國我現在也是
[00:04:32.640 --> 00:04:34.320]  就是長老會的人
[00:04:34.320 --> 00:04:36.960]  我們長老會有很多韓國人
[00:04:36.960 --> 00:04:38.960]  很多韓國的教會
[00:04:38.960 --> 00:04:42.880]  我記得有一次我們去韓國教會開會
[00:04:42.880 --> 00:04:44.000]  有外國人
[00:04:44.000 --> 00:04:46.360]  什麼人都有我們一起去開會
[00:04:46.360 --> 00:04:47.960]  開會之前我們有一個崇拜
[00:04:47.960 --> 00:04:49.760]  崇拜到一半的時候
[00:04:49.760 --> 00:04:52.840]  就是還沒有進入崇拜
[00:04:52.840 --> 00:04:55.960]  接著有一個長老走出來
[00:04:55.960 --> 00:04:58.680]  就說他有一個獻唱
[00:04:58.680 --> 00:05:01.480]  在崇拜當中獻唱聖歌
[00:05:01.480 --> 00:05:02.920]  很棒的
[00:05:02.920 --> 00:05:05.560]  接著在還沒有獻唱之前
[00:05:05.560 --> 00:05:08.200]  介紹了他五分鐘
[00:05:08.200 --> 00:05:14.080]  介紹了這個長老是一個有名的醫生
[00:05:14.080 --> 00:05:16.480]  是一個醫學院裡面的教授
[00:05:16.480 --> 00:05:18.920]  接著去了無數的mission trip
[00:05:18.920 --> 00:05:21.920]  就是去全世界遊派
[00:05:21.920 --> 00:05:23.200]  但是除了這個以外
[00:05:23.200 --> 00:05:26.080]  他在教會又非常投入
[00:05:26.080 --> 00:05:27.840]  是教會的長老
[00:05:27.840 --> 00:05:30.640]  接著他又會唱歌
[00:05:30.640 --> 00:05:32.400]  所以待會要表演
[00:05:32.400 --> 00:05:35.680]  接著他就去了世界各地
[00:05:35.680 --> 00:05:38.800]  去宣教的時候就會唱這首歌
[00:05:38.800 --> 00:05:44.360]  用二十多個不同的語言去唱聖歌
[00:05:44.360 --> 00:05:45.680]  講完五分鐘之後
[00:05:45.680 --> 00:05:47.120]  介紹了他的履歷
[00:05:47.120 --> 00:05:48.400]  接著他就唱
[00:05:48.400 --> 00:05:51.040]  那首歌叫做「你真偉大」
[00:05:51.040 --> 00:05:52.600]  我聽的時候我經常在想
[00:05:52.600 --> 00:05:57.440]  哇!你真是偉大
[00:05:57.440 --> 00:05:58.680]  厲害嗎?
[00:05:58.680 --> 00:06:00.160]  我聽完之後
[00:06:00.160 --> 00:06:01.400]  我打電話回去給老婆
[00:06:01.400 --> 00:06:03.760]  我說剛才那個人真偉大
[00:06:03.760 --> 00:06:06.240]  因為我想不到主耶穌是多麼偉大
[00:06:06.240 --> 00:06:10.760]  我只想到剛才他講了這麼多東西
[00:06:10.760 --> 00:06:12.200]  很厲害
[00:06:12.200 --> 00:06:14.160]  但是這件事
[00:06:14.160 --> 00:06:17.800]  我不是說我不認識他
[00:06:17.800 --> 00:06:18.840]  我不知道
[00:06:18.840 --> 00:06:19.880]  但是你知不知道
[00:06:19.880 --> 00:06:21.720]  教會裡面一定有一些
[00:06:21.720 --> 00:06:23.280]  我又不可以說一定有一些
[00:06:23.280 --> 00:06:25.120]  我們教會沒有的
[00:06:25.120 --> 00:06:26.760]  就是有些執事
[00:06:26.760 --> 00:06:31.800]  有長老你給他表演的機會
[00:06:31.800 --> 00:06:35.120]  他就「哇!忠心事主」
[00:06:35.120 --> 00:06:36.120]  可以付出很多東西
[00:06:36.120 --> 00:06:38.160]  但是這是屬靈的癌症
[00:06:38.160 --> 00:06:39.600]  而且你想想這個癌症
[00:06:39.600 --> 00:06:45.240]  可以不斷在教會裡面傳揚
[00:06:45.240 --> 00:06:46.160]  傳揚到一個地步
[00:06:46.160 --> 00:06:48.120]  我們有一天教會不需要怕
[00:06:48.120 --> 00:06:50.480]  沒有後繼無人的
[00:06:50.480 --> 00:06:53.000]  可能有幾十人在排隊
[00:06:53.000 --> 00:06:56.080]  準備做我們下屆執事的
[00:06:56.080 --> 00:07:01.600]  但是這件事可能是一個很可怕的事情
[00:07:01.600 --> 00:07:07.120]  我們需要回到恩順清二的來供
[00:07:07.120 --> 00:07:09.840]  第三點最好的
[00:07:09.840 --> 00:07:12.520]  如果一個人真的明白恩順清二
[00:07:12.520 --> 00:07:15.760]  而是擁抱恩順清二
[00:07:15.760 --> 00:07:18.160]  再不是買樓的舊恩陳可
[00:07:18.160 --> 00:07:21.120]  而是上帝完全的
[00:07:21.120 --> 00:07:22.080]  買熟我們
[00:07:22.080 --> 00:07:23.160]  完全屬於上帝
[00:07:23.160 --> 00:07:26.560]  會有什麼表現呢?
[00:07:26.560 --> 00:07:27.560]  我給你讀幾節聖經
[00:07:27.560 --> 00:07:30.480]  然後我給你看一個意義
[00:07:30.480 --> 00:07:32.240]  《解泰書》第六章第十四節
[00:07:32.240 --> 00:07:34.240]  因這十字架
[00:07:34.240 --> 00:07:35.800]  就我而論
[00:07:35.800 --> 00:07:38.640]  世界已經釘在十字架上
[00:07:38.640 --> 00:07:39.920]  就世界而論
[00:07:39.920 --> 00:07:42.120]  我已經釘在十字架上
[00:07:42.120 --> 00:07:44.880]  受割禮不受割禮都無關係
[00:07:44.880 --> 00:07:47.360]  要緊的是新做的人
[00:07:47.360 --> 00:07:48.240]  新做的人
[00:07:48.240 --> 00:07:49.760]  聖經很喜歡講新的人
[00:07:49.760 --> 00:07:50.880]  如果你剛才聽我講到
[00:07:50.880 --> 00:07:52.400]  你就知道我很強調
[00:07:52.400 --> 00:07:54.080]  這個完全的新人
[00:07:54.080 --> 00:07:57.040]  我因為律法而向律法死了
[00:07:57.040 --> 00:07:59.600]  使我可以向上帝活著
[00:07:59.600 --> 00:08:01.880]  我已經與基督同釘十字架
[00:08:01.880 --> 00:08:03.920]  現在活著的不再是我
[00:08:03.920 --> 00:08:06.440]  乃是基督在我裏面活著
[00:08:06.440 --> 00:08:08.960]  並且我如今在肉身活著
[00:08:08.960 --> 00:08:12.120]  是因信上帝而止活的
