
[00:00:00.000 --> 00:00:03.560]  各位電視節目的早晨 今天有一個叫教育主人
[00:00:03.560 --> 00:00:08.840]  我想在這裡和大家分享一個關於學習的題目
[00:00:08.840 --> 00:00:14.820]  我想你都聽過「學到老活到老」這句說話
[00:00:14.820 --> 00:00:18.960]  我想無論你讀多少書 或者是
[00:00:18.960 --> 00:00:22.840]  你都會同意我這個說話
[00:00:22.840 --> 00:00:26.340]  就是說在我們身邊有很多東西值得我們學習
[00:00:26.340 --> 00:00:30.000]  即使我們已經擁有很多學位 很多的才幹
[00:00:30.000 --> 00:00:33.860]  不過學習就不一定是在課室裡面的 是吧
[00:00:33.860 --> 00:00:35.860]  在街市又可以學到的東西
[00:00:35.860 --> 00:00:39.160]  如果你看這個「針研」就說到
[00:00:39.160 --> 00:00:42.660]  智慧就在街市上面的 可以找到
[00:00:42.660 --> 00:00:48.540]  所以不單止小孩子 嬰兒要學 幼稚園
[00:00:48.540 --> 00:00:52.800]  我們80歲以後的那些都要學的
[00:00:52.800 --> 00:00:55.040]  年紀大的都可以學
[00:00:55.040 --> 00:00:57.740]  老人家都有很多東西可以學的
[00:00:57.740 --> 00:01:02.960]  不過有一樣東西很重要 就是你要學些什麼呢
[00:01:02.960 --> 00:01:05.960]  千萬不要學好學壞
[00:01:05.960 --> 00:01:08.500]  有些東西不要選擇去學
[00:01:08.500 --> 00:01:13.300]  因為我們的時間有限 我們的精力也有限
[00:01:13.300 --> 00:01:18.900]  選擇什麼來學 怎樣學 就是一個很重要的問題
[00:01:18.900 --> 00:01:25.040]  這個也是我今天想跟大家去想 去分享的重點
[00:01:25.040 --> 00:01:29.340]  怎樣選擇一個學習的對象 學習的目標
[00:01:29.340 --> 00:01:35.240]  今天希望就透過這段經文 保羅給我們的提醒
[00:01:35.240 --> 00:01:38.540]  來看看我們怎樣學 讓我們一起來祈禱
[00:01:38.540 --> 00:01:44.740]  追求你的說話 成為我們腳前的燈 路上的光
[00:01:44.740 --> 00:01:47.740]  去引導我們今天走我們每一步
[00:01:47.740 --> 00:01:53.040]  願意我們用心來跟從你 聽你的說話
