
[00:00:00.000 --> 00:00:02.420]  今天繼續和大家講
[00:00:02.420 --> 00:00:06.380]  哥林多前書十三章裏面所講的
[00:00:06.380 --> 00:00:08.900]  愛的詩章裏面其中一段
[00:00:08.900 --> 00:00:14.500]  我們是講到第六節至第七節前面那一句
[00:00:14.500 --> 00:00:20.860]  今日的講題叫做「凡事包容的愛」
[00:00:20.860 --> 00:00:24.020]  其實我在這幾天裏面
[00:00:24.020 --> 00:00:34.000]  在定講題之前都不斷在想究竟用什麼題目好呢
[00:00:34.000 --> 00:00:38.040]  其實還有一個題目就是「不可兼容的愛」
[00:00:38.040 --> 00:00:43.840]  那你說哪個講題是有力一點的呢
[00:00:43.840 --> 00:00:51.560]  「凡事包容的愛」好還是「不可兼容的愛」好呢
[00:00:51.560 --> 00:00:56.040]  是不是啊?我們中國人都習慣多多包容
[00:00:56.040 --> 00:01:01.280]  包容一定好的 包容就是我們習慣了
[00:01:01.280 --> 00:01:05.480]  結果我都是一方面用聖經的說話
[00:01:05.480 --> 00:01:09.120]  「凡事包容的愛」這個是我選的講題
[00:01:09.120 --> 00:01:13.940]  那究竟要講的今日一段聖經
[00:01:13.940 --> 00:01:16.980]  是「凡事包容」是對的
[00:01:16.980 --> 00:01:22.840]  還是「不可兼容」是對的呢?
[00:01:22.840 --> 00:01:26.460]  當我細心去看這些經文的時候
[00:01:26.460 --> 00:01:31.240]  我就覺得自己有個領袖就是
[00:01:31.240 --> 00:01:34.940]  聖經這裏所講「凡事包容的愛」
[00:01:34.940 --> 00:01:40.240]  其實它是在講「不可兼容的愛」
[00:01:40.240 --> 00:01:48.520]  這個也是我想今天和大家一起去學的功課
[00:01:48.520 --> 00:01:55.280]  我們看經文《哥林多前書》13章6節
[00:01:55.280 --> 00:01:58.620]  「不喜歡不如只喜歡真理」
[00:01:58.620 --> 00:02:04.060]  這一節的經文在這一段的經文裏面是有些特別的
[00:02:04.060 --> 00:02:05.820]  大家看不看得出有些什麼特別呢?
[00:02:05.820 --> 00:02:07.700]  如果你拿本聖經出來看
[00:02:07.700 --> 00:02:09.880]  你較爲會看到它的特點
[00:02:09.880 --> 00:02:14.120]  它就是在這一章聖經裏面
[00:02:14.120 --> 00:02:17.840]  是最短的一句
[00:02:17.840 --> 00:02:25.660]  只有十個字
[00:02:25.660 --> 00:02:33.140]  而且只有兩個所謂的愛的元素在裏面
[00:02:33.140 --> 00:02:35.680]  但是這兩個元素
[00:02:35.680 --> 00:02:40.100]  正正就是我們信徒一生在我們的人生路上
[00:02:40.100 --> 00:02:44.580]  所謂成長路上是必須要有的質素
[00:02:44.580 --> 00:02:46.360]  否則沒有了這兩個質素
[00:02:46.360 --> 00:02:52.280]  我們很難成長或者成長得很慢
[00:02:52.280 --> 00:02:54.000]  你想想剛纔我也有提過
[00:02:54.000 --> 00:02:56.400]  因爲我們很多時候信了主之後
[00:02:56.400 --> 00:02:59.020]  我們費盡九牛二虎之力
[00:02:59.020 --> 00:03:01.740]  只是想去對付我們的壞習慣
[00:03:01.740 --> 00:03:07.020]  想去戒除我們一些的壞品性、壞嗜好等等
[00:03:07.020 --> 00:03:10.960]  已經沒有力量或者已經沒有心去追求
[00:03:10.960 --> 00:03:18.600]  聖經吩咐我們要去追求的那些好品格、好行爲
[00:03:18.600 --> 00:03:21.520]  以致我們成長得很慢
[00:03:21.520 --> 00:03:25.120]  或者是成長得很辛苦
[00:03:25.120 --> 00:03:29.640]  這個值得我們去想一想
[00:03:29.640 --> 00:03:36.280]  我們先講第一點就是不喜歡不義
[00:03:36.280 --> 00:03:41.800]  愛一個其中的元素很重要就是不喜歡不義
[00:03:41.800 --> 00:03:45.300]  不義是指什麼呢?
[00:03:45.300 --> 00:03:53.520]  不義就是指與神的義相反的東西
[00:03:53.520 --> 00:03:57.580]  在《約翰一書》有講到
[00:03:57.580 --> 00:04:01.320]  我們看5章17節
[00:04:01.320 --> 00:04:06.040]  那裏講到凡不義的事都是罪
[00:04:06.040 --> 00:04:14.080]  違反神心意、不合神心意的事就是罪
[00:04:14.080 --> 00:04:18.320]  那不義的罪是指什麼罪呢?
[00:04:18.320 --> 00:04:20.120]  當然是很多
[00:04:20.120 --> 00:04:23.160]  我們其中可以看一些
[00:04:23.160 --> 00:04:29.360]  看哥林多前書6章9節
[00:04:29.360 --> 00:04:34.200]  「你們豈不知不義的人不能承受神的國嗎?
[00:04:34.200 --> 00:04:35.400]  不要自欺
[00:04:35.400 --> 00:04:40.300]  無論是淫亂的、拜偶像的、姦淫的、作亂童的、
[00:04:40.300 --> 00:04:42.860]  親藍色的」第十節
[00:04:42.860 --> 00:04:48.640]  「偷竊的、貪婪的、醉酒的、辱罵的、勒索的」
[00:04:48.640 --> 00:04:50.420]  那又怎麼樣呢?
[00:04:50.420 --> 00:04:56.040]  做了不義的事或者不義的後果是什麼呢?
[00:04:56.040 --> 00:04:59.740]  「都不能承受神的國」
[00:04:59.740 --> 00:05:01.520]  後果很嚴重的
[00:05:01.520 --> 00:05:08.240]  我們通常都沒有想到這麼嚴重的後果
[00:05:08.240 --> 00:05:12.620]  我們又看哥林多前書13章6節
[00:05:12.620 --> 00:05:17.300]  留意這一句裏面的「喜歡」這個字
[00:05:17.300 --> 00:05:22.200]  「喜歡」這個字當然有點像我們廣東話所說的
[00:05:22.200 --> 00:05:24.980]  「喜歡什麼、喜歡什麼」那個「喜歡」的意思
