
[00:00:00.000 --> 00:00:03.000]  你們感恩節過得怎麼樣?我的感恩節過得
[00:00:03.000 --> 00:00:06.040]  其實非常的簡單,因為除了聚餐以外
[00:00:06.040 --> 00:00:09.120]  就是聚餐,禮拜四晚上聚餐
[00:00:09.120 --> 00:00:11.920]  禮拜五晚上聚餐,禮拜六晚上聚餐
[00:00:11.920 --> 00:00:15.040]  禮拜天晚上繼續和朋友聚餐
[00:00:15.040 --> 00:00:18.080]  不過上禮拜其實還沒有聚餐之前
[00:00:18.080 --> 00:00:21.120]  其實神已經拆開一個非常可愛的天使
[00:00:21.120 --> 00:00:24.020]  來提醒我說,在飲食方面
[00:00:24.020 --> 00:00:27.040]  我是需要開始節制一點的,這話怎麼說呢?
[00:00:27.040 --> 00:00:30.040]  上禮拜有一個很可愛的小女孩她來到我面前
[00:00:30.040 --> 00:00:34.040]  她問我一個問題,她說我可以叫你肥牧師嗎?
[00:00:34.040 --> 00:00:38.040]  你知道面對這麼一個深奧的問題
[00:00:38.040 --> 00:00:42.040]  除了呵呵以外,其實我也不知道應該怎麼樣回應
[00:00:42.040 --> 00:00:44.040]  當時神拆開一個天使告訴我說
[00:00:44.040 --> 00:00:46.040]  是時候要減肥了這樣子
[00:00:46.040 --> 00:00:49.040]  所以上禮拜其實吃很多,但是其實我也算
[00:00:49.040 --> 00:00:53.040]  比較上一年的感恩節,其實我算是有進步
[00:00:53.040 --> 00:00:55.040]  稍微節制了那麼一點點
[00:00:55.040 --> 00:00:58.040]  希望每一年都進步一點點,就是越來越進步
[00:00:58.040 --> 00:01:02.040]  我們上禮拜六在這邊我們一起吃火鍋非常開心
[00:01:02.040 --> 00:01:06.040]  吃完火鍋,我要謝謝你們,你們都很合作
[00:01:06.040 --> 00:01:11.040]  都是同心協力的把我們的聖誕樹給弄起來了
[00:01:11.040 --> 00:01:14.040]  接著聖誕樹我們也知道我們正式進入了
[00:01:14.040 --> 00:01:18.040]  準備去迎接聖誕節的來臨
[00:01:18.040 --> 00:01:22.040]  因為這樣的緣故,所以我們這個禮拜其實也開始了
[00:01:22.040 --> 00:01:24.040]  一個新的講道系列
[00:01:24.040 --> 00:01:28.040]  那麼這個新的講道系列其實跟聖誕有關
[00:01:28.040 --> 00:01:32.040]  就是我們來一起在聖誕節學習怎麼樣去過一個
[00:01:32.040 --> 00:01:35.040]  很開心而且很有意義的聖誕節
[00:01:35.040 --> 00:01:40.040]  其實聖誕節跟感恩節在近年,特別近年代
[00:01:40.040 --> 00:01:43.040]  都變成一個非常商業化的節日
[00:01:43.040 --> 00:01:46.040]  我不知道你感恩節有沒有去買東西
[00:01:46.040 --> 00:01:48.040]  有沒有買到很便宜的東西
[00:01:48.040 --> 00:01:51.040]  如果沒有買到也沒關係,再過幾個禮拜
[00:01:51.040 --> 00:01:56.040]  就是Christmas,等到聖誕節照樣到處都是大減價
[00:01:56.040 --> 00:01:59.040]  就是到處人都是出來學拼
[00:01:59.040 --> 00:02:03.040]  不過雖然感恩節跟聖誕節都是商業化的節日
[00:02:03.040 --> 00:02:06.040]  可是畢竟還是有一點點不一樣
[00:02:06.040 --> 00:02:08.040]  我告訴你有什麼不一樣
[00:02:08.040 --> 00:02:11.040]  不一樣的地方在於說感恩節
[00:02:11.040 --> 00:02:15.040]  通常是一個為自己學拼的日子
[00:02:15.040 --> 00:02:17.040]  通常你是買東西給自己
[00:02:17.040 --> 00:02:19.040]  很多人在感恩節前幾個禮拜
[00:02:19.040 --> 00:02:22.040]  就開始看那些黑色星期五的廣告單
[00:02:22.040 --> 00:02:24.040]  電腦減價兩百塊一台
[00:02:24.040 --> 00:02:26.040]  然後你還做什麼地形考察
[00:02:26.040 --> 00:02:28.040]  知道那個商品大概放在什麼地方
[00:02:28.040 --> 00:02:30.040]  你都知道一清二楚
[00:02:30.040 --> 00:02:34.040]  結果你去排隊然後去搶購那個貨品
[00:02:34.040 --> 00:02:37.040]  很少聽到在感恩節你看廣告單的時候
[00:02:37.040 --> 00:02:39.040]  看到說電視減價
[00:02:39.040 --> 00:02:42.040]  我隔壁那個水水好像需要一台電視
[00:02:42.040 --> 00:02:45.040]  不如我幫他排個隊搶購一台電視送給他吧
[00:02:45.040 --> 00:02:48.040]  我幾乎沒有聽過感恩節是這樣買東西的
[00:02:48.040 --> 00:02:51.040]  感恩節是買東西給自己
[00:02:51.040 --> 00:02:53.040]  所以我們不知道為什麼到了感恩節
[00:02:53.040 --> 00:02:55.040]  大家都自我感覺良好
[00:02:55.040 --> 00:02:58.040]  都覺得今年我們付出很多的努力
[00:02:58.040 --> 00:03:01.040]  所以到了感恩節是機會好好感謝一下自己
[00:03:01.040 --> 00:03:03.040]  所以都買一些東西慰勞慰勞自己
[00:03:03.040 --> 00:03:06.040]  不過到了聖誕節有點不一樣
[00:03:06.040 --> 00:03:08.040]  聖誕節同樣是商業化
[00:03:08.040 --> 00:03:11.040]  但是聖誕節在美國的風俗來講
[00:03:11.040 --> 00:03:14.040]  是一個送禮物的日子
[00:03:14.040 --> 00:03:16.040]  所以聖誕節就不是跟感恩節一樣
[00:03:16.040 --> 00:03:18.040]  就是為自己去血拼
