
[00:00:00.000 --> 00:00:03.000]  不要走,林牧師,留下來
[00:00:03.000 --> 00:00:04.900]  原來他去過約旦
[00:00:04.900 --> 00:00:08.000]  我看他知不知道約旦怎樣打招呼呢
[00:00:08.000 --> 00:00:12.000]  原來約旦打招呼的時候
[00:00:12.000 --> 00:00:14.000]  我們會說「Mahabat」
[00:00:14.000 --> 00:00:15.000]  「Mahabat」
[00:00:15.000 --> 00:00:16.000]  「Mahabat」
[00:00:16.000 --> 00:00:19.000]  然後要摟摟抱抱
[00:00:19.000 --> 00:00:22.000]  一下,兩下
[00:00:22.000 --> 00:00:25.000]  好了,如果你們這些牧師沒人摟摟抱抱
[00:00:25.000 --> 00:00:27.000]  送他們去約旦,好嗎?
[00:00:27.000 --> 00:00:29.000]  送給邱牧師,送給林牧師
[00:00:29.000 --> 00:00:31.000]  還有誰牧師?
[00:00:31.000 --> 00:00:33.000]  今天我來的時候
[00:00:33.000 --> 00:00:35.000]  不單是我來
[00:00:35.000 --> 00:00:38.000]  我帶了我的關愛座來
[00:00:38.000 --> 00:00:41.000]  這個關愛座是我太太
[00:00:41.000 --> 00:00:47.000]  宣教士是需要有很大的適應
[00:00:47.000 --> 00:00:50.000]  最大的適應就是要學一種不同的語言
[00:00:57.000 --> 00:01:01.000]  他不知道我今天叫他學廣東話
[00:01:01.000 --> 00:01:11.000]  我是嚴師奶
[00:01:11.000 --> 00:01:19.000]  我是嚴師奶
[00:01:19.000 --> 00:01:24.000]  又是嚴師母
[00:01:27.000 --> 00:01:29.000]  我會做師太
[00:01:29.000 --> 00:01:41.000]  我問他究竟在約旦做什麼呢?
[00:01:41.000 --> 00:01:53.000]  林牧師你翻譯好嗎?
[00:01:55.000 --> 00:01:57.000]  因為他說我翻譯好之後
[00:01:57.000 --> 00:01:59.000]  人們會笑的
[00:01:59.000 --> 00:02:02.000]  他說我兩個都是
[00:02:02.000 --> 00:02:04.000]  兩老子都在一間叫做
[00:02:04.000 --> 00:02:08.000]  約旦福音聖經神學院裡面教神學
[00:02:08.000 --> 00:02:17.000]  我說完了
[00:02:25.000 --> 00:02:28.000]  我們與基督徒一起工作
[00:02:28.000 --> 00:02:30.000]  基督徒社會
[00:02:30.000 --> 00:02:37.000]  我們最大的工作是訓練
[00:02:37.000 --> 00:02:41.000]  希望能夠成為阿拉伯世界的教師
[00:02:41.000 --> 00:02:44.000]  雖然很多基督徒離開了
[00:02:44.000 --> 00:02:48.000]  現在的中東
[00:02:48.000 --> 00:02:49.000]  很多來的學生
[00:02:49.000 --> 00:02:52.000]  他們也沒有回家的國家
[00:02:52.000 --> 00:02:56.000]  在阿拉伯世界是一個混亂的世界
[00:02:56.000 --> 00:02:59.000]  所以我們的學生是來自不同的地方
[00:02:59.000 --> 00:03:01.000]  最主要是訓練他們
[00:03:01.000 --> 00:03:03.000]  做為教會的領袖
[00:03:19.000 --> 00:03:22.000]  我的學生是來自五個地方
[00:03:22.000 --> 00:03:25.000]  都是一些很混亂和有內戰的地方
[00:03:25.000 --> 00:03:28.000]  包括蘇丹,伊拉克
[00:03:28.000 --> 00:03:32.000]  包括最多難民在約旦的地方
[00:03:32.000 --> 00:03:34.000]  是以色列,敘利亞
[00:03:34.000 --> 00:03:37.000]  當然包括埃及和約旦
[00:03:49.000 --> 00:03:51.000]  我不知道他們會去哪個國家
[00:03:51.000 --> 00:03:55.000]  他們想成為教會領袖
[00:03:55.000 --> 00:03:57.000]  但他們不肯定
[00:04:20.000 --> 00:04:23.000]  當教會領袖在唱詩的時候
[00:04:23.000 --> 00:04:25.000]  有二十多個人被炸死
[00:04:25.000 --> 00:04:26.000]  頭部斷了
[00:04:26.000 --> 00:04:36.000]  在印度的時候
[00:04:36.000 --> 00:04:38.000]  我會說"Namaste"
[00:04:38.000 --> 00:04:39.000]  就是你好嗎
[00:04:39.000 --> 00:04:41.000]  但如果我在約旦
[00:04:41.000 --> 00:04:42.000]  我會問你
[00:04:42.000 --> 00:04:45.000]  (印度語)
[00:04:45.000 --> 00:04:47.000]  就是你生命好嗎
[00:04:47.000 --> 00:04:48.000]  為什麼呢
[00:04:48.000 --> 00:04:52.000]  在約旦人會用不同的方式去問候你
[00:04:52.000 --> 00:04:53.000]  你說生命是怎樣呢
[00:04:53.000 --> 00:04:55.000]  你要告訴他是好還是不好
[00:04:55.000 --> 00:04:57.000]  意思就是好
[00:04:57.000 --> 00:04:58.000]  你一句話去問你
[00:04:58.000 --> 00:05:00.000]  就是你顏色好不好
[00:05:00.000 --> 00:05:02.000]  (印度語)
[00:05:02.000 --> 00:05:04.000]  就是說究竟你顏色好不好
[00:05:04.000 --> 00:05:05.000]  我也不知道
[00:05:05.000 --> 00:05:06.000]  為什麼不問
[00:05:06.000 --> 00:05:08.000]  (印度語)
