
[00:00:00.000 --> 00:00:04.500]  我們很高興一起來敬拜上帝,我們先一起祈禱
[00:00:04.500 --> 00:00:12.500]  上帝保佑我們,感謝讚美你自己的恩典,讓我們有平安來到這裡一同聚集敬拜您
[00:00:12.500 --> 00:00:21.000]  我們求聖靈在這個時間幫助我們,讓我們都從歷史的信心英雄裡面來學習
[00:00:21.000 --> 00:00:28.000]  怎樣用信心來跟隨主,奉耶穌基督的名祈禱,阿們
[00:00:29.500 --> 00:00:37.000]  最近我們都一直在看希伯來書,今天已經來到希伯來書第十一章
[00:00:37.000 --> 00:00:46.000]  從過去的十章聖經裡面,讓我們可以大概猜到作者寫這封信的原因
[00:00:46.000 --> 00:00:54.000]  就是收信的人,第一次收這封信的人,大概是在經歷猶太人的隱憂
[00:00:54.500 --> 00:01:02.000]  包括敬拜天使,或者鼓勵他們回到猶太教裡面
[00:01:02.000 --> 00:01:08.000]  當時的基督徒也可能等了很久,等耶穌基督再回來
[00:01:08.000 --> 00:01:13.000]  但是耶穌基督遲遲還沒有回來,他們又受到迫害
[00:01:13.000 --> 00:01:19.000]  因此已經有些人頂不住離開了基督的教會
[00:01:19.500 --> 00:01:27.000]  所以作者是鼓勵那些人,不要像某些人放棄了聚會的習慣
[00:01:27.000 --> 00:01:36.000]  卻要彼此勸勉,既然知道主的日子快到,你們更應該這樣
[00:01:36.000 --> 00:01:43.000]  希伯來書在第十章三十六至三十九節,鼓勵信徒要忍耐
[00:01:43.500 --> 00:01:54.000]  並且引用聖經,鼓勵他們為了實行上帝的旨意和領受祂的應許,你們必須忍耐
[00:01:54.000 --> 00:02:04.000]  因為聖經上說,再過一會兒,將要來的就會來,不遲然我的義人將恩順得生命
[00:02:04.500 --> 00:02:17.000]  但是若有人退後,我就不喜歡他,我們並不是退卻而沉淪的人,我們是有信心且得救的人
[00:02:17.000 --> 00:02:25.000]  所以今天我們讀過的經文,希伯來書第十一章,是特別討論信心的
[00:02:25.000 --> 00:02:33.000]  也列舉了很多舊約聖經裏面的信心人物的事蹟,來鼓勵那些修信人
[00:02:33.500 --> 00:02:40.000]  幫助他們要用誠實的心和堅定的信心堅持下去
[00:02:40.000 --> 00:02:46.000]  經文第十一章第一節對信心的定義是很精簡的
[00:02:46.000 --> 00:02:57.000]  信心是對所盼望的事情有把握,對未能看見的事情能夠肯定
[00:02:57.500 --> 00:03:04.000]  第三節就說,由於信心,我們知道宇宙是藉著上帝的話造成的
[00:03:04.000 --> 00:03:10.000]  這若那看得見的,是從那看不見的造出來的
[00:03:10.000 --> 00:03:13.000]  宇宙是怎樣出現的呢?
[00:03:13.000 --> 00:03:18.000]  這個其實是一個很古老的問題,很多人都曾經問過
