
[00:00:00.000 --> 00:00:04.480]  我好想同你哋一開始嘅時候分享一首流行曲
[00:00:04.480 --> 00:00:08.160]  睇下你哋識唔識,個流行曲喺我部手機度
[00:00:08.160 --> 00:00:09.800]  我撳俾大家聽下先
[00:00:09.800 --> 00:00:12.240]  第一首,留意啦
[00:00:29.480 --> 00:00:31.240]  呢首係第一首,識唔識呀?
[00:00:31.240 --> 00:00:34.040]  好流行嘅呢首
[00:00:34.040 --> 00:00:38.200]  你哋真係唔識呀?
[00:00:38.200 --> 00:00:42.920]  識,Obi識,Obi又唔識
[00:00:42.920 --> 00:00:44.120]  阿公太識
[00:00:44.120 --> 00:00:47.720]  呢首,阿文先生識
[00:00:47.720 --> 00:00:52.520]  呢首就係林子祥叫做《海誓山盟》
[00:00:52.520 --> 00:00:53.880]  咁佢話呢
[00:00:53.880 --> 00:00:56.600]  我年青嘅時候好流行嘅呢首歌
[00:00:58.600 --> 00:01:00.360]  佢嘅歌詞就話呢
[00:01:00.360 --> 00:01:04.840]  無止境嘅等,不甘心動搖
[00:01:04.840 --> 00:01:07.800]  我唔知你有冇咁嘅經歷呢
[00:01:07.800 --> 00:01:10.200]  一路等嘅時候
[00:01:10.200 --> 00:01:13.400]  等,等唔緊要,最緊要呢
[00:01:13.400 --> 00:01:16.920]  等完之後係有好結果
[00:01:16.920 --> 00:01:20.840]  但係有時我哋又唔知道一路係咁等又唔知要等幾耐
[00:01:20.840 --> 00:01:25.480]  等完之後又唔知嗰樣嘢係咪自己想要嗰樣嘢
[00:01:25.720 --> 00:01:29.480]  有時一路等嘅過程,可能初頭等吓都ok嘅
[00:01:29.480 --> 00:01:33.880]  等等吓,個人開始好心急
[00:01:33.880 --> 00:01:36.120]  甚至等等吓會
[00:01:36.120 --> 00:01:40.920]  冇咩信心,甚至覺得絕望都唔頂
[00:01:40.920 --> 00:01:42.760]  嚟多一首囉
[00:01:42.760 --> 00:01:45.720]  好流行嘅呢首,更加流行
[00:01:55.720 --> 00:02:12.440]  等,直到夜深,夜漸放下,夜漸昏暗
[00:02:12.440 --> 00:02:18.600]  好,呢首連Angel 珍都識呀
[00:02:21.240 --> 00:02:25.880]  係呀,呢首又係我年青嘅時候,陳百強嘅等
[00:02:25.880 --> 00:02:32.920]  等,你有冇經歷過有時等唔係就係等一個短嘅時間
[00:02:32.920 --> 00:02:35.960]  甚至等係經過好多嘅黑夜
[00:02:35.960 --> 00:02:40.520]  甚至係可能你身邊冇一啲人陪伴你一齊去等
[00:02:40.520 --> 00:02:42.520]  係自己一個人等
[00:02:42.520 --> 00:02:48.120]  你會覺得可能有時好冇咩力量
[00:02:48.120 --> 00:02:50.120]  冇咩希望
[00:02:50.120 --> 00:02:52.120]  個心都沉落嚟
[00:02:52.120 --> 00:02:54.120]  你有冇試過咁樣?
[00:02:54.120 --> 00:02:56.120]  等
[00:02:56.120 --> 00:03:01.640]  我相信一般正常人都唔係好鍾意等
[00:03:01.640 --> 00:03:03.640]  我都唔係好鍾意等
[00:03:03.640 --> 00:03:05.640]  所以弟兄姐妹遲到嗰啲
[00:03:05.640 --> 00:03:08.680]  我成日都會耐唔耐會望下邊啲弟兄姐妹遲到
[00:03:08.680 --> 00:03:10.680]  有時我適當時間提下你哋
[00:03:10.680 --> 00:03:12.680]  我等你唔緊要
[00:03:12.680 --> 00:03:14.680]  但係唔好要上帝等我哋
[00:03:14.680 --> 00:03:16.680]  係咪呀
[00:03:16.680 --> 00:03:18.680]  等
[00:03:18.680 --> 00:03:20.680]  但係今日我想同你分享一個功課
[00:03:20.680 --> 00:03:22.680]  我哋點樣等呢
[00:03:22.680 --> 00:03:24.680]  等得嚟
[00:03:24.680 --> 00:03:26.680]  我哋用咩心態去等
[00:03:26.680 --> 00:03:28.680]  點樣去期待一樣嘢呢
[00:03:28.680 --> 00:03:30.680]  我好記得
[00:03:30.680 --> 00:03:32.680]  大概四年幾前
[00:03:32.680 --> 00:03:34.680]  當時教會
[00:03:34.680 --> 00:03:36.680]  同學就邀請咗
[00:03:36.680 --> 00:03:38.680]  我就申請
[00:03:38.680 --> 00:03:40.680]  嚟呢度去服事
[00:03:40.680 --> 00:03:42.680]  全部嘢就過曬
[00:03:42.680 --> 00:03:44.680]  就係等
[00:03:44.680 --> 00:03:46.680]  就係等個簽證批
[00:03:46.680 --> 00:03:48.680]  等嘅過程係一個好特別嘅
[00:03:48.680 --> 00:03:50.680]  信心嘅功課
[00:03:50.680 --> 00:03:52.680]  因為當我哋交曬嘢嘅時候
[00:03:52.680 --> 00:03:54.680]  等下一日等下一個月等下一個月
[00:03:54.680 --> 00:03:56.680]  點解等咗半年
[00:03:56.680 --> 00:03:58.680]  都仲未有咩消息嘅呢
[00:03:58.680 --> 00:04:00.680]  跟住我真係後尾又忍唔住
[00:04:00.680 --> 00:04:02.680]  雖然我同阿師母好積極祈禱
[00:04:02.680 --> 00:04:04.680]  同埋我哋知道
[00:04:04.680 --> 00:04:06.680]  神帶領我哋嚟嘅時候
[00:04:06.680 --> 00:04:08.680]  個簽證係冇問題嘅一定批嘅
[00:04:08.680 --> 00:04:10.680]  但係等幾耐呢
[00:04:10.680 --> 00:04:12.680]  跟住後尾我真係忍唔住
[00:04:12.680 --> 00:04:14.680]  我就打電話同埋
[00:04:14.680 --> 00:04:16.680]  問下呢邊嘅教會有冇消息
[00:04:16.680 --> 00:04:18.680]  有冇入境處嘅消息
[00:04:18.680 --> 00:04:20.680]  咁跟住教會我記得
[00:04:20.680 --> 00:04:22.680]  行政同工Archie幫我
[00:04:22.680 --> 00:04:24.680]  再去問下咁樣
[00:04:24.680 --> 00:04:26.680]  收返一個書面嘅email
[00:04:26.680 --> 00:04:28.680]  嘩我收到個email
[00:04:28.680 --> 00:04:30.680]  就嚇親我
[00:04:30.680 --> 00:04:32.680]  就話
[00:04:32.680 --> 00:04:34.680]  on process即係進行當中
[00:04:34.680 --> 00:04:36.680]  但係呢
[00:04:36.680 --> 00:04:38.680]  可能要繼續等多一年
[00:04:38.680 --> 00:04:40.680]  但係係講明係冇reason嘅
[00:04:40.680 --> 00:04:42.680]  個email仲喺度
[00:04:42.680 --> 00:04:44.680]  我自己keep住咗
[00:04:44.680 --> 00:04:46.680]  因為好值得我留念
[00:04:46.680 --> 00:04:48.680]  因為當我同師母收到呢個
[00:04:48.680 --> 00:04:50.680]  email嘅時候
[00:04:50.680 --> 00:04:52.680]  我就諗
[00:04:52.680 --> 00:04:54.680]  我哋點樣面對前路呢
[00:04:54.680 --> 00:04:56.680]  一來
[00:04:56.680 --> 00:04:58.680]  我喺香港
[00:04:58.680 --> 00:05:00.680]  因為我一切已經預備好
[00:05:00.680 --> 00:05:02.680]  即係我喺舊嘅工場舊嘅教會
[00:05:02.680 --> 00:05:04.680]  我已經辭咗職
[00:05:04.680 --> 00:05:06.680]  佢要我如果
[00:05:06.680 --> 00:05:08.680]  再等多一年
[00:05:08.680 --> 00:05:10.680]  跟住點呢
[00:05:10.680 --> 00:05:12.680]  喺我師母祈禱入面
[00:05:12.680 --> 00:05:14.680]  我哋知道神係帶領我哋嚟嘅
[00:05:14.680 --> 00:05:16.680]  所以我哋一定會繼續等
[00:05:16.680 --> 00:05:18.680]  同埋我哋知道個reason係一定批嘅
[00:05:18.680 --> 00:05:20.680]  但係都係唔知幾時
[00:05:20.680 --> 00:05:22.680]  喺嗰個時候
[00:05:22.680 --> 00:05:24.680]  我哋就開始轉個禱告
[00:05:24.680 --> 00:05:26.680]  就係神求你畀我哋喺呢個等待入面
[00:05:26.680 --> 00:05:28.680]  畀我哋知道
[00:05:28.680 --> 00:05:30.680]  點樣運用呢啲等待嘅時間
[00:05:30.680 --> 00:05:32.680]  要經歷你啲乜嘢
[00:05:32.680 --> 00:05:34.680]  跟住我哋就open畀神
[00:05:34.680 --> 00:05:36.680]  繼續去禱告
