
[00:00:00.000 --> 00:00:03.000]  有沒有玩過搖搖板?
[00:00:03.000 --> 00:00:06.000]  我小時候也有玩過,很喜歡玩
[00:00:06.000 --> 00:00:09.000]  但是近幾年我有一次有一個經歷
[00:00:09.000 --> 00:00:11.000]  就是和幾個人一起經過公園
[00:00:11.000 --> 00:00:15.000]  看到那些人玩搖搖板是四人的搖搖板
[00:00:15.000 --> 00:00:17.000]  每邊兩個人這樣玩
[00:00:17.000 --> 00:00:20.000]  去玩的時候很開心
[00:00:20.000 --> 00:00:23.000]  我看到和我一起去的那些人就坐上去玩
[00:00:23.000 --> 00:00:26.000]  他們玩得很開心,不停地搖
[00:00:26.000 --> 00:00:29.000]  接着他們說「你也來吧」
[00:00:29.000 --> 00:00:32.000]  他們叫我去,我就知道心有不妙
[00:00:32.000 --> 00:00:37.000]  當我加入四人當中其中一個的時候
[00:00:37.000 --> 00:00:43.000]  結果其中一邊重了下去,沉下去
[00:00:43.000 --> 00:00:45.000]  搖來搖去,對面也是搖不下去
[00:00:45.000 --> 00:00:49.000]  接着,不要緊,嘗試一下
[00:00:49.000 --> 00:00:53.000]  不如用很多不同的方法,希望大家都玩得到
[00:00:53.000 --> 00:00:55.000]  另一個方法就是試一下
[00:00:55.000 --> 00:00:58.000]  我一個人玩搖搖板,另一個人玩搖搖板
[00:00:58.000 --> 00:01:00.000]  兩個人玩搖搖板
[00:01:00.000 --> 00:01:02.000]  接着我又沒那麼重
[00:01:02.000 --> 00:01:05.000]  另一邊又重得太多,又沉下去
[00:01:05.000 --> 00:01:07.000]  配來配去,怎麼配搭呢?
[00:01:07.000 --> 00:01:09.000]  都是玩不了的
[00:01:09.000 --> 00:01:11.000]  爲什麼呢?
[00:01:11.000 --> 00:01:13.000]  因爲我們拿不到平衡
[00:01:13.000 --> 00:01:17.000]  我的體重和其他人的體重,大家加起來都拿不到平衡
[00:01:17.000 --> 00:01:22.000]  所以當我這樣的時候,我玩不了搖搖板的樂趣
[00:01:22.000 --> 00:01:24.000]  同樣的弟兄姊妹
