
[00:00:00.000 --> 00:00:02.440]  今天講第幾個醒 第三個醒
[00:00:02.440 --> 00:00:05.480]  第三個醒就是 醒目的醒
[00:00:05.480 --> 00:00:07.280]  醒目的意思是甚麼呢
[00:00:07.280 --> 00:00:10.760]  取的意思是我們在一個試探裏面
[00:00:10.760 --> 00:00:17.600]  如何去防止我們進入一個試探裏面
[00:00:17.600 --> 00:00:20.160]  守龍門的意思是我們守著
[00:00:20.160 --> 00:00:22.200]  不要讓試探進入我們心裏
[00:00:22.200 --> 00:00:24.680]  以致我們墮入一個罪裏面
[00:00:24.680 --> 00:00:26.480]  問一下大家
[00:00:26.480 --> 00:00:29.720]  有誰曾經被人偷過東西
[00:00:29.720 --> 00:00:32.400]  或者失竊過東西
[00:00:32.400 --> 00:00:33.520]  都試過吧
[00:00:33.520 --> 00:00:38.240]  偷過錢包 被偷
[00:00:38.240 --> 00:00:42.240]  被偷錢包 被人打車
[00:00:42.240 --> 00:00:44.400]  你試過 我試過 試過兩次
[00:00:44.400 --> 00:00:46.360]  被人入屋
[00:00:46.360 --> 00:00:49.920]  甚至你的電腦被人偷了 有沒有試過
[00:00:49.920 --> 00:00:50.880]  都試過吧
[00:00:50.880 --> 00:00:54.120]  好了 偷了之後 除了賠償之後
[00:00:54.120 --> 00:00:59.320]  處理好賠償之後 你會做些甚麼
[00:00:59.320 --> 00:01:01.120]  甚麼都不做
[00:01:01.120 --> 00:01:04.440]  會不會加強一些防禦系統
[00:01:04.440 --> 00:01:05.480]  會不會
[00:01:05.480 --> 00:01:08.440]  你的電腦被人偷了之後 你會做些甚麼
[00:01:08.440 --> 00:01:11.560]  改掉所有密碼
[00:01:11.560 --> 00:01:14.400]  現在很流行叫做Cyber attack
[00:01:14.400 --> 00:01:17.600]  Cyber attack的意思是我們的電腦被入侵
[00:01:17.600 --> 00:01:19.600]  而不是電腦本身
[00:01:19.600 --> 00:01:22.040]  原來每天都跟我們有關係
[00:01:22.040 --> 00:01:25.120]  有一次我在神樂園上了一堂課
[00:01:25.120 --> 00:01:27.520]  突然有個同學走進來
[00:01:27.520 --> 00:01:32.200]  他說Dr Chan那二千五百元 你們籌夠了沒有
[00:01:32.200 --> 00:01:34.240]  轉過頭來一起看
[00:01:34.240 --> 00:01:35.320]  他說你知不知道
[00:01:35.320 --> 00:01:38.400]  他剛剛在荷蘭被人打劫
[00:01:38.400 --> 00:01:40.920]  不見了行李 不見了錢
[00:01:40.920 --> 00:01:43.720]  現在滯留在荷蘭機場等著急救
[00:01:43.720 --> 00:01:45.280]  等著人救急
[00:01:45.280 --> 00:01:48.280]  你有沒有看到他的電郵
[00:01:48.280 --> 00:01:51.520]  於是我們一班同學轉過頭來看著他
[00:01:51.520 --> 00:01:55.560]  告訴他 那個電郵是假的
[00:01:55.560 --> 00:01:58.320]  於是他的嘴巴就掉到地上了
[00:01:58.320 --> 00:02:00.960]  事後Dr Chan做了甚麼呢
[00:02:00.960 --> 00:02:04.640]  轉了電郵 改了密碼等等 換了所有東西
[00:02:04.640 --> 00:02:10.240]  連電腦也要換了 換了新的電腦
[00:02:10.240 --> 00:02:14.720]  這個就是我們今天所謂的預防系統
[00:02:14.720 --> 00:02:19.440]  搞定之後就防止有些東西進入你的生命裏面
[00:02:19.440 --> 00:02:21.280]  上幾堂課我們講了一件事
[00:02:21.280 --> 00:02:23.000]  提到試探
[00:02:23.000 --> 00:02:26.480]  試探來自我們的一種欲念 意念
[00:02:26.480 --> 00:02:28.640]  叫我們進入試探裏面
[00:02:28.640 --> 00:02:30.320]  如果自己把持不住
[00:02:30.320 --> 00:02:35.480]  我們就會掉進犯罪的網羅裏面
[00:02:35.480 --> 00:02:38.680]  同一時間我們又提到一個人物
[00:02:38.680 --> 00:02:42.640]  經常都出現看準我們這個試探的弱點
[00:02:42.640 --> 00:02:47.360]  然後就拖你進去 那個人是誰
[00:02:47.360 --> 00:02:56.440]  你信的人就說是心魔 信了主的人就說是殺蛋魔鬼
[00:02:56.440 --> 00:02:59.680]  同不同意嗎 很厲害的
[00:02:59.680 --> 00:03:03.560]  不知為何 先看看這個圖畫
[00:03:03.560 --> 00:03:06.760]  在我們的意識形態裏面
[00:03:06.760 --> 00:03:09.720]  經常都覺得魔鬼是敵黨神
[00:03:09.720 --> 00:03:14.680]  不知為何就覺得神和魔鬼永遠都是對峙
[00:03:14.680 --> 00:03:19.080]  就好像這幅畫一樣 這個世界永遠是邪惡去相爭
[00:03:19.080 --> 00:03:22.080]  好像神和殺蛋是平等的 同不同意嗎
[00:03:22.080 --> 00:03:25.320]  你不知不覺就有一種概念
[00:03:25.320 --> 00:03:29.080]  怎樣去對付殺蛋呢
[00:03:29.080 --> 00:03:32.560]  但你知不知道聖經從來沒有這樣講過
[00:03:32.560 --> 00:03:35.480]  聖經講甚麼呢 在約伯記裏面曾經講過
[00:03:35.480 --> 00:03:39.640]  有一段對話就是神和魔鬼在天庭上對話
[00:03:39.640 --> 00:03:46.200]  魔鬼就說你讓我去人間試探約伯
[00:03:46.200 --> 00:03:50.760]  看他對你的信心有沒有動搖
[00:03:50.760 --> 00:03:57.520]  神就說你可以去 但你不可以傷他的性命
[00:03:57.520 --> 00:04:02.240]  可想而知 原來神是超越魔鬼一切的能力
[00:04:02.240 --> 00:04:07.040]  因為魔鬼 一個活躍的天使都是上帝去做的
[00:04:07.040 --> 00:04:11.640]  聖經這樣講 天使是甚麼呢 天使就是侍奉上帝的靈
[00:04:11.640 --> 00:04:16.040]  上帝是派遣他幫助我們 看前面那一章
[00:04:16.040 --> 00:04:19.920]  幫助我們來承受拯救人
[00:04:19.920 --> 00:04:21.400]  喜伯來主一章十四節這樣講
[00:04:21.400 --> 00:04:26.760]  即是說魔鬼雖然是活躍的天使 但他也要讓上帝去控制
[00:04:26.760 --> 00:04:29.920]  可想而知 我們今天毋須要懼怕
[00:04:29.920 --> 00:04:33.240]  特別我們是一班信了耶穌的人
[00:04:33.240 --> 00:04:36.720]  今天想和大家從聖經裏面探討兩個層面
[00:04:36.720 --> 00:04:39.640]  講到第三個繩就是如何防備
[00:04:39.640 --> 00:04:45.280]  防備我們首先要知道有一個十拿九穩的預防系統
[00:04:45.280 --> 00:04:49.440]  聖經裏面如何告訴我們 其實我們可以防備試探
[00:04:49.440 --> 00:04:51.200]  只要我們認清這個防禦系統
[00:04:51.200 --> 00:04:56.840]  第二個層面就是如何在這個防備系統上操練我們自己
[00:04:56.840 --> 00:04:59.880]  看看經文
[00:04:59.880 --> 00:05:04.520]  來自羅馬書 由五章尾到六章中間這樣講
[00:05:04.520 --> 00:05:06.760]  聽我讀一下 你可以看著這些字
[00:05:06.760 --> 00:05:10.080]  「罪藉著死亡來核製我們
[00:05:10.080 --> 00:05:14.120]  神的恩典卻藉著公義來統治這個世界
[00:05:14.120 --> 00:05:18.520]  令我們藉著耶穌基督得到一個永生」
[00:05:18.520 --> 00:05:23.360]  這樣我們是不是應該繼續生活在罪裏面呢?
[00:05:23.360 --> 00:05:28.200]  好讓神的恩典顯得更加豐富嗎?
[00:05:28.200 --> 00:05:29.680]  當然不可以
[00:05:29.680 --> 00:05:35.280]  我們已經死在罪裏面 怎麼可以繼續生活在罪裏面呢?
[00:05:35.280 --> 00:05:40.320]  我們受洗跟耶穌聯合 合二為一
[00:05:40.320 --> 00:05:43.800]  就是跟祂同死同葬同復活
[00:05:43.800 --> 00:05:45.320]  過一個新的生活
[00:05:45.320 --> 00:05:51.840]  我們要知道我們的舊我已經跟耶穌基督同釘十字架
[00:05:51.840 --> 00:05:55.560]  犯罪的我已經被摧毀了
[00:05:55.560 --> 00:06:00.560]  不再作罪的奴隸 脫離了罪的權勢
[00:06:00.560 --> 00:06:02.720]  因此我們要相信
[00:06:02.720 --> 00:06:07.680]  我們跟耶穌基督已經一同活在一個新的我的裏面
[00:06:07.680 --> 00:06:10.600]  基督的死是跟罪去決絕
[00:06:10.600 --> 00:06:13.280]  祂的活著也是為神而活
[00:06:13.280 --> 00:06:17.800]  同樣我們看罪 也要看自己是死了
[00:06:17.800 --> 00:06:20.800]  而藉著內裡的耶穌基督的生命
[00:06:20.800 --> 00:06:22.760]  我們是為神而活
[00:06:22.760 --> 00:06:27.080]  這個經文大致上就是講了這個內容
[00:06:27.080 --> 00:06:28.840]  剛才我講了一個防禦的系統
[00:06:28.840 --> 00:06:33.840]  如何從這個經文裏面找到一個防禦的系統
[00:06:33.840 --> 00:06:35.160]  問問大家
[00:06:35.160 --> 00:06:37.480]  有些人已經信了耶穌一段時間
[00:06:37.480 --> 00:06:39.120]  又或者未信耶穌的人
[00:06:39.120 --> 00:06:41.760]  他都會質疑這個基督教
[00:06:41.760 --> 00:06:44.000]  你覺得基督教很奇怪
[00:06:44.000 --> 00:06:47.760]  那個神是任人去犯罪的
