
[00:00:00.000 --> 00:00:02.560]  各位內賓 珠內弟兄姊妹平安
[00:00:02.560 --> 00:00:06.520]  今天我們會從彼得前書第二章9至17節
[00:00:06.520 --> 00:00:09.540]  去看我們怎樣去做神的僕人
[00:00:09.540 --> 00:00:12.500]  過去那幾個月 香港有個熱門話題
[00:00:12.500 --> 00:00:15.980]  就是怎樣可以離開香港移民外地
[00:00:15.980 --> 00:00:21.240]  有人就透過BNO英國國民海洋護照
[00:00:21.240 --> 00:00:24.720]  5+1這個移民計劃
[00:00:24.720 --> 00:00:29.480]  就可以透過拿著這個BNO護照進了英國境
[00:00:29.480 --> 00:00:33.560]  住了五年 轉了一個身份 再加多一年居住
[00:00:33.560 --> 00:00:37.000]  就可以成為英國的公民
[00:00:37.000 --> 00:00:39.360]  我們都在細心思想
[00:00:39.360 --> 00:00:43.260]  我們自己本人都是從香港移民過來的
[00:00:43.260 --> 00:00:47.600]  或者其他弟兄姊妹是從東南亞不同的地方
[00:00:47.600 --> 00:00:53.200]  來到美國 拿到美國的公民的身份
[00:00:53.200 --> 00:00:56.340]  其實基督徒都有另外一個公民身份
[00:00:56.340 --> 00:00:58.140]  就是天國的公民
[00:00:58.140 --> 00:01:02.120]  但是我們拿著這個天國公民的身份
[00:01:02.120 --> 00:01:04.960]  在我們地上政權上面生活
[00:01:04.960 --> 00:01:08.120]  其實都遇到很多的對立情況
[00:01:08.120 --> 00:01:11.660]  往往政權和人權都是對立的
[00:01:11.660 --> 00:01:14.740]  產生了很多爭端和問題
[00:01:14.740 --> 00:01:18.100]  導致基督徒心裏面很有掙扎
[00:01:18.100 --> 00:01:21.480]  究竟他怎樣去平衡我們的天國公民的身份
[00:01:21.480 --> 00:01:24.560]  和地上公民的身份呢?
[00:01:24.560 --> 00:01:27.140]  在彼得前書的時候
[00:01:27.140 --> 00:01:31.020]  當仕逃彼得寫這封書信的時候
[00:01:31.020 --> 00:01:34.620]  大約是主后64年的前後期間
[00:01:34.620 --> 00:01:36.860]  當時社會都是動盪不安
