
[00:00:00.000 --> 00:00:02.000]  在上禮拜我們講到
[00:00:02.000 --> 00:00:04.000]  保羅提到
[00:00:04.000 --> 00:00:08.400]  我們不要活在律法的之下
[00:00:08.400 --> 00:00:09.400]  是不是
[00:00:09.400 --> 00:00:10.900]  那麼
[00:00:10.900 --> 00:00:15.140]  然後他提到說最重要的是什麼
[00:00:15.140 --> 00:00:19.520]  就是要愛人如己,還記得嗎
[00:00:19.520 --> 00:00:24.620]  夫妻之間也好,家庭也好,弟兄姊妹教會的關係也好
[00:00:24.620 --> 00:00:26.060]  或者我們在外面
[00:00:26.060 --> 00:00:30.080]  很重要的,神要我們愛神跟愛人
[00:00:30.080 --> 00:00:31.860]  這是賤命最大的
[00:00:31.860 --> 00:00:36.180]  所以愛人的如己的
[00:00:36.180 --> 00:00:39.980]  律法就完全了
[00:00:39.980 --> 00:00:42.700]  所以保羅提出來愛
[00:00:42.700 --> 00:00:48.100]  是使得我們不再做律法的奴僕的
[00:00:48.100 --> 00:00:50.820]  其中一個很重要的第一個原因
[00:00:50.820 --> 00:00:54.220]  但是接下來十六節
[00:00:56.060 --> 00:00:58.860]  十六節到二十六節
[00:00:58.860 --> 00:01:02.460]  保羅又提到另外一個
[00:01:02.460 --> 00:01:06.340]  使得我們不會活在律法的捆綁
[00:01:06.340 --> 00:01:09.220]  做他的奴隸的那個秘訣在哪裡
[00:01:09.220 --> 00:01:13.220]  我想我們
[00:01:13.220 --> 00:01:15.820]  基督徒很容易
[00:01:15.820 --> 00:01:18.140]  我們會有兩個極端
[00:01:18.140 --> 00:01:23.260]  一個極端就是律法主義
[00:01:23.860 --> 00:01:26.340]  所以保羅在迦勒太書裡面一直對付的
[00:01:26.340 --> 00:01:28.180]  一直講的就是這件事
[00:01:28.180 --> 00:01:31.300]  那你說這是當初猶太人的問題
[00:01:31.300 --> 00:01:33.260]  我不會有這個問題,是嗎
[00:01:33.260 --> 00:01:36.100]  我們其實花了很多次的功夫在講這件事情
[00:01:36.100 --> 00:01:38.260]  弟兄姊妹,會不會我們會有這個問題
[00:01:38.260 --> 00:01:39.260]  會不會有
[00:01:39.260 --> 00:01:40.420]  會不會
[00:01:40.420 --> 00:01:42.620]  今天現代的律法主義是什麼
[00:01:42.620 --> 00:01:46.940]  我們基督徒會不會也活在律法的中間
[00:01:46.940 --> 00:01:50.900]  這個律法主義裡面就告訴你說
[00:01:50.900 --> 00:01:53.740]  你做一個基督徒應該這樣應該那樣
[00:01:53.740 --> 00:01:54.940]  不應該這樣
[00:01:54.940 --> 00:01:55.940]  那麼
[00:01:55.940 --> 00:02:00.140]  在這些當中很可能從我們自己教會的傳統來的
[00:02:00.140 --> 00:02:02.740]  從這個世界上面的觀念來的
[00:02:02.740 --> 00:02:04.420]  但是
[00:02:04.420 --> 00:02:06.140]  他不是
[00:02:06.140 --> 00:02:08.660]  聖經裡面不是神要我們這樣做的
[00:02:08.660 --> 00:02:14.820]  所以保羅針對這個律法主義的問題告訴他們說
[00:02:14.820 --> 00:02:16.740]  你們不要被律法主義
[00:02:16.740 --> 00:02:19.020]  不要活在律法的捆綁當中
[00:02:19.020 --> 00:02:20.020]  因為
[00:02:20.020 --> 00:02:22.460]  你們今天信了耶穌
[00:02:22.460 --> 00:02:24.020]  聖靈使你們得到自由
[00:02:24.020 --> 00:02:25.020]  Amen
[00:02:25.020 --> 00:02:30.340]  所以像很多世俗的一些的學問
[00:02:30.340 --> 00:02:33.500]  很多這一些世俗的小學
[00:02:33.500 --> 00:02:35.380]  很多的文化傳統
[00:02:35.380 --> 00:02:37.420]  我們中國人的文化裡面有很多
[00:02:37.420 --> 00:02:40.340]  很容易使得我們變成是律法主義的
[00:02:40.340 --> 00:02:41.340]  是不是
[00:02:41.340 --> 00:02:45.700]  這些都是保羅一直在強調對付的
[00:02:45.700 --> 00:02:48.860]  要我們不要再走渡律法主義的問題
[00:02:48.860 --> 00:02:50.820]  但是接著他也提醒了
[00:02:50.820 --> 00:02:56.740]  他說:你們雖然蒙昭是得了自由
[00:02:56.740 --> 00:02:58.260]  基督釋放了我們
[00:02:58.260 --> 00:03:00.060]  教我們得以自由
[00:03:00.060 --> 00:03:02.500]  可是不要把蒙昭
[00:03:02.500 --> 00:03:07.420]  不要把這個自由變成放縱的機會
[00:03:07.420 --> 00:03:08.540]  還記得嗎
[00:03:08.540 --> 00:03:09.780]  我們上禮拜講
[00:03:09.780 --> 00:03:11.780]  那個放縱的機會
[00:03:11.780 --> 00:03:13.660]  其實它原文裡面就是說
[00:03:13.660 --> 00:03:17.740]  不要給肉體留了機會
[00:03:20.340 --> 00:03:24.180]  那麼這就是另外一邊叫做放縱主義
[00:03:24.180 --> 00:03:32.180]  放縱主義在今天的我們基督教的裡面
[00:03:32.180 --> 00:03:34.620]  所謂的社會福音
[00:03:34.620 --> 00:03:37.420]  社會福音我曾經講過是什麼
[00:03:37.420 --> 00:03:40.660]  關心社會、關心窮人、關心貧窮的人
[00:03:40.660 --> 00:03:43.860]  去幫助那邊爭取人權等等這些
[00:03:43.860 --> 00:03:45.700]  本來這些都是很好的
[00:03:45.700 --> 00:03:49.420]  可是這一些變成取代了福音的時候
[00:03:49.420 --> 00:03:51.260]  它就變成社會福音了
[00:03:51.260 --> 00:03:53.540]  就是關懷社會
[00:03:53.540 --> 00:03:54.980]  但是不傳福音
[00:03:54.980 --> 00:04:00.500]  基督教以前的青年會
[00:04:00.500 --> 00:04:05.700]  今天在托倫斯的青年會
[00:04:05.700 --> 00:04:08.220]  大概你最知道的就是
[00:04:08.220 --> 00:04:09.620]  特別對我們臉長的
[00:04:09.620 --> 00:04:11.660]  就是每個禮拜
[00:04:11.660 --> 00:04:16.020]  你要吃兩塊錢的午餐的話
[00:04:16.020 --> 00:04:18.420]  是兩塊錢是吧
[00:04:18.420 --> 00:04:20.420]  現在是漲了四塊錢
[00:04:20.420 --> 00:04:24.660]  為什麼還要錢
[00:04:24.660 --> 00:04:26.060]  應該是免費的吧
[00:04:26.060 --> 00:04:27.660]  沒有
[00:04:27.660 --> 00:04:29.620]  我們Temple City是免費的
[00:04:29.620 --> 00:04:31.220]  歡迎你去
[00:04:31.220 --> 00:04:35.380]  就是唄
[00:04:35.380 --> 00:04:39.140]  他們做了很多關懷社會的事情
