
[00:00:00.000 --> 00:00:02.000]  阿鼎師妹 午安
[00:00:02.000 --> 00:00:09.000]  剛才中堂時 如是讓傳道 休我一默
[00:00:09.000 --> 00:00:12.000]  他說今天這個題目最適合我講
[00:00:12.000 --> 00:00:15.000]  因為和我的名字很有關係
[00:00:15.000 --> 00:00:17.000]  其實不關我的事
[00:00:17.000 --> 00:00:23.000]  這是教會吳牧師今年照著本督的回規
[00:00:23.000 --> 00:00:29.000]  按次序 排到誰同宮講就到你講
[00:00:29.000 --> 00:00:32.000]  剛好輪到我講
[00:00:32.000 --> 00:00:40.000]  當我回看這個題目和聖本督回規相關那節經文
[00:00:40.000 --> 00:00:43.000]  剛才主席已經帶我們讀了出來
[00:00:43.000 --> 00:00:50.000]  我想和大家再深入思想這節經文的真正含義
[00:00:50.000 --> 00:00:54.000]  聖本督回規第四章二十七和二十八條
[00:00:54.000 --> 00:00:57.000]  就是說我們要活出誠實的生命
[00:00:57.000 --> 00:00:59.000]  這兩條是怎樣說呢
[00:00:59.000 --> 00:01:03.000]  Not to swear for fear of perjuring oneself
[00:01:03.000 --> 00:01:06.000]  to utter truth from heart and mouth
[00:01:06.000 --> 00:01:10.000]  即是說我們不可以去起誓
[00:01:10.000 --> 00:01:13.000]  因為怕我們會作一些偽證
[00:01:13.000 --> 00:01:15.000]  如果你今天在法庭上
[00:01:15.000 --> 00:01:19.000]  你按手起本聖經或其他宗教的儀式
[00:01:19.000 --> 00:01:25.000]  你表示你所陳述的一切並無虛假任何的謊言在當中
[00:01:25.000 --> 00:01:32.000]  而且要很誠實地全面地真實地去將真相去呈現
[00:01:32.000 --> 00:01:36.000]  所以我們看到一個東西
[00:01:36.000 --> 00:01:40.000]  就是當從你心裏和口中去吐出真言
[00:01:40.000 --> 00:01:43.000]  一個真相能夠呈現
[00:01:43.000 --> 00:01:50.000]  是確確實實由我們心底和口裏面通過這個溝通出來
[00:01:50.000 --> 00:01:52.000]  傳盤的是真實的
[00:01:52.000 --> 00:01:55.000]  這一節聖經我們剛才看過
[00:01:55.000 --> 00:01:58.000]  已不鎖書四章十五節
[00:01:58.000 --> 00:02:01.000]  但我想和大家留意一下
[00:02:01.000 --> 00:02:04.000]  如果你單看這一節聖經和合本
[00:02:04.000 --> 00:02:07.000]  它說為用愛心說誠實話
[00:02:07.000 --> 00:02:10.000]  凡事長進廉於元首基督
[00:02:10.000 --> 00:02:14.000]  好像只是說這個意思
[00:02:14.000 --> 00:02:16.000]  我們要說老實話
[00:02:16.000 --> 00:02:18.000]  用愛心去說
[00:02:18.000 --> 00:02:19.000]  你見到別人做錯事
[00:02:19.000 --> 00:02:22.000]  你站在一旁去規勸他
[00:02:22.000 --> 00:02:24.000]  你用愛心去勸導他
[00:02:24.000 --> 00:02:26.000]  對嗎?沒錯的
[00:02:26.000 --> 00:02:28.000]  但本身這一節經文
[00:02:28.000 --> 00:02:31.000]  它的翻譯和原意
[00:02:31.000 --> 00:02:35.000]  其實是更多於說真相
[00:02:35.000 --> 00:02:37.000]  因為這一節聖經的希臘文
[00:02:37.000 --> 00:02:41.000]  本身它是說一個字
[00:02:41.000 --> 00:02:43.000]  如果你直譯英文就是truthing
[00:02:43.000 --> 00:02:45.000]  它是用真理
[00:02:45.000 --> 00:02:50.000]  Latvian真理這個字是說我們要活出來
[00:02:50.000 --> 00:02:54.000]  用愛去活出真理
[00:02:54.000 --> 00:02:58.000]  所以其實它不只是說誠實話
[00:02:58.000 --> 00:02:59.000]  就是這麼多
[00:02:59.000 --> 00:03:02.000]  它是一個更加闊的含義
[00:03:02.000 --> 00:03:05.000]  在新譯本或者項羽聖經的翻譯本
[00:03:05.000 --> 00:03:08.000]  都是說了出來
[00:03:08.000 --> 00:03:09.000]  我們一起讀一次
[00:03:09.000 --> 00:03:11.000]  在新譯本
[00:03:11.000 --> 00:03:15.000]  我們要在愛中過誠實的生活
[00:03:15.000 --> 00:03:17.000]  在各方面長進
[00:03:17.000 --> 00:03:19.000]  達到基督的新量
[00:03:19.000 --> 00:03:21.000]  他是教會的頭
[00:03:21.000 --> 00:03:26.000]  相反我們要以愛心真誠地生活
