
[00:00:00.000 --> 00:00:09.560]  今天我們繼續來看詩篇 119 篇
[00:00:09.560 --> 00:00:18.920]  我們來看 119 篇 89 節到 104 節 16 節《神經》
[00:00:18.920 --> 00:00:26.820]  我們的題目是《神永不改變的話》
[00:00:26.820 --> 00:00:32.580]  我們要義兄子妹 我們一起來讀前面 8 節
[00:00:32.580 --> 00:00:38.900]  我們來讀 89 節到 96 節
[00:00:38.900 --> 00:00:42.700]  我們一面讀 一面思想裏面的意識
[00:00:42.700 --> 00:00:44.500]  我們一起來
[00:00:44.500 --> 00:00:50.260]  你的話 安定在天 直到永遠
[00:00:50.260 --> 00:00:52.980]  你的誠實 承造萬代
[00:00:52.980 --> 00:00:56.500]  你堅定的地 繼續長存
[00:00:56.500 --> 00:01:00.140]  天地照你的安排 存到今日
[00:01:00.140 --> 00:01:02.700]  萬物都是你的補應
[00:01:02.700 --> 00:01:05.620]  我若不是喜愛你的律法
[00:01:05.620 --> 00:01:08.620]  早就在苦難中滅絕了
[00:01:08.620 --> 00:01:11.500]  我已不忘記你的訓辭
[00:01:11.500 --> 00:01:15.260]  因爲你用這訓辭向我求救了
[00:01:15.260 --> 00:01:18.300]  我是無力的 求你救我
[00:01:18.300 --> 00:01:21.340]  因爲我尋求了你的訓辭
[00:01:21.340 --> 00:01:24.580]  很多人等待我 要捏碎我
[00:01:24.580 --> 00:01:27.580]  我需要採薄你的寬厚度
[00:01:27.580 --> 00:01:30.540]  我看萬事心中有限
[00:01:30.540 --> 00:01:34.460]  唯有你的命令 及其寬廣
[00:01:34.460 --> 00:01:42.900]  我們已經要來到詩篇 119 篇的一半了
[00:01:42.900 --> 00:01:46.660]  一共是 176 節這幾篇詩篇
[00:01:46.660 --> 00:01:49.940]  我們已經讀到第 88 節
[00:01:49.940 --> 00:01:53.460]  今天我們開始是下面這一半
[00:01:53.460 --> 00:01:57.460]  從 89 節開始
[00:01:57.460 --> 00:02:00.460]  前一半的主要內容就是
[00:02:00.460 --> 00:02:02.460]  詩人就會問
[00:02:02.460 --> 00:02:04.460]  我還會滅亡嗎?
[00:02:04.460 --> 00:02:07.460]  因爲他碰到有很多爲難的時候
[00:02:07.460 --> 00:02:09.460]  很多危險的時候
[00:02:09.460 --> 00:02:12.460]  他就在詩裏頭要問到
[00:02:12.460 --> 00:02:14.460]  我還會滅亡嗎?
[00:02:14.460 --> 00:02:16.460]  但是到後半篇
[00:02:16.460 --> 00:02:18.460]  就從 89 節開始
[00:02:18.460 --> 00:02:20.460]  就要有回答了
[00:02:20.460 --> 00:02:23.460]  就是說 神從不改變
[00:02:23.460 --> 00:02:25.460]  神不改變的
[00:02:25.460 --> 00:02:28.460]  祂的話是安定在天
[00:02:28.460 --> 00:02:30.460]  所以第一節就說
[00:02:30.460 --> 00:02:33.460]  耶和華 你的話安定在天
[00:02:33.460 --> 00:02:35.460]  直到永遠
[00:02:35.460 --> 00:02:38.460]  神的話是安定在天
[00:02:38.460 --> 00:02:41.460]  無論這個仇敵怎樣的兇惡
[00:02:41.460 --> 00:02:45.460]  神必定是做成祂的功力
[00:02:45.460 --> 00:02:47.460]  所以這句話的話
[00:02:47.460 --> 00:02:53.460]  就先開始八節聖經的第一節
[00:02:53.460 --> 00:02:55.460]  這個八節聖經
[00:02:55.460 --> 00:02:58.460]  大意上是這樣的
[00:02:58.460 --> 00:03:00.460]  從第一節開始
[00:03:00.460 --> 00:03:01.460]  89 節開始的話
[00:03:01.460 --> 00:03:03.460]  是講到神的話
[00:03:03.460 --> 00:03:05.460]  安定在天
[00:03:05.460 --> 00:03:08.460]  安定已經是定下來了
[00:03:08.460 --> 00:03:11.460]  從 94 節到 91 節
[00:03:11.460 --> 00:03:14.460]  也堅定在地
[00:03:14.460 --> 00:03:17.460]  到第 92 節到 94 節
[00:03:17.460 --> 00:03:18.460]  是說到
[00:03:18.460 --> 00:03:23.460]  是信徒在苦難中的拯救
[00:03:23.460 --> 00:03:26.460]  到 85 節就說到
[00:03:26.460 --> 00:03:30.460]  是信徒在危險的時候的依靠
[00:03:30.460 --> 00:03:34.460]  不但有拯救 還有依靠
[00:03:34.460 --> 00:03:38.460]  到這段的最後一節 96 節
[00:03:38.460 --> 00:03:42.460]  就是叫信徒對與成全
[00:03:42.460 --> 00:03:47.460]  因爲講到神的話是極其寬廣
[00:03:47.460 --> 00:03:52.460]  祂要成就祂的工作
[00:03:52.460 --> 00:03:54.460]  我們先看到第 89 節
[00:03:54.460 --> 00:03:56.460]  這句話一開始說
[00:03:56.460 --> 00:03:58.460]  就非常的確定
[00:03:58.460 --> 00:04:00.460]  非常的確定的
[00:04:00.460 --> 00:04:03.460]  耶化你的話安定在天
[00:04:03.460 --> 00:04:05.460]  直到永遠
[00:04:05.460 --> 00:04:08.460]  因爲有神的話安定下來
[00:04:08.460 --> 00:04:11.460]  所以我們就可以安定了
[00:04:11.460 --> 00:04:15.460]  這就說神是永恆的神
[00:04:15.460 --> 00:04:18.460]  祂的話是恆定不變的
[00:04:18.460 --> 00:04:22.460]  祂說的話必定按照祂的話來成就
[00:04:22.460 --> 00:04:24.460]  一直到永遠
[00:04:24.460 --> 00:04:26.460]  神的話不是暫時的
[00:04:26.460 --> 00:04:29.460]  能滿足我們的需要
[00:04:29.460 --> 00:04:31.460]  祂乃是一直到永遠
[00:04:31.460 --> 00:04:34.460]  所以我們看到世界上的事情
[00:04:34.460 --> 00:04:36.460]  是變換無常的
[00:04:36.460 --> 00:04:39.460]  今天是這樣 明天是那樣
[00:04:39.460 --> 00:04:41.460]  前多少年是這樣
[00:04:41.460 --> 00:04:43.460]  現在又是另外一個樣
[00:04:43.460 --> 00:04:46.460]  所以這個就是說到
[00:04:46.460 --> 00:04:50.460]  世界上的事情是常常在變化的
[00:04:50.460 --> 00:04:53.460]  但是我們感謝讚美神
[00:04:53.460 --> 00:04:56.460]  神是何等的信使
[00:04:56.460 --> 00:04:59.460]  祂對我們的愛永不改變
[00:04:59.460 --> 00:05:03.460]  祂的應許也向我們永不鏤空
[00:05:03.460 --> 00:05:05.460]  祂信許我們什麼
[00:05:05.460 --> 00:05:08.460]  到時候就一定要成就
[00:05:08.460 --> 00:05:09.460]  所以他就說
[00:05:09.460 --> 00:05:14.460]  你的信使要存到萬代
