
[00:00:00.000 --> 00:00:09.000]  我會用一個大都會小故事作為開端
[00:00:09.000 --> 00:00:12.000]  來和你介紹這個題目
[00:00:12.000 --> 00:00:14.000]  輪到我當家
[00:00:14.000 --> 00:00:23.000]  阿傑是一個很英俊很吸引人的男孩
[00:00:23.000 --> 00:00:26.000]  單身31歲
[00:00:26.000 --> 00:00:31.000]  5尺11吋高長髮披肩衣著入時
[00:00:31.000 --> 00:00:34.000]  走路當然比人快
[00:00:34.000 --> 00:00:38.000]  所以走起路上來就兩髮飄飄
[00:00:38.000 --> 00:00:45.000]  常常會叫擦身而過的女孩再回頭望他的眼
[00:00:45.000 --> 00:00:47.000]  所以他同時常常都說
[00:00:47.000 --> 00:00:55.000]  他是一個吸引到異性比一個漂亮的女孩還多的男孩
[00:00:55.000 --> 00:01:00.000]  認識他的人都相信是同意的
[00:01:00.000 --> 00:01:07.000]  但是阿傑的氣質儀表不是天生的
[00:01:07.000 --> 00:01:10.000]  其實他有這種表現
[00:01:10.000 --> 00:01:13.000]  不過是十幾個月的事
[00:01:13.000 --> 00:01:17.000]  他過去完全不是這樣一回事
[00:01:17.000 --> 00:01:20.000]  他沒錯來自一個中產家庭
[00:01:20.000 --> 00:01:22.000]  家庭有不錯的家底
[00:01:22.000 --> 00:01:24.000]  父母很愛惜他
[00:01:24.000 --> 00:01:29.000]  但是他唯一的問題就是讀書
[00:01:29.000 --> 00:01:35.000]  自小到大都好像媽媽沒有生一些數學細胞給他
[00:01:35.000 --> 00:01:41.000]  所以每次考試都是數學五合格
[00:01:41.000 --> 00:01:48.000]  數學五合格自然就不可以升讀中六中七
[00:01:48.000 --> 00:01:50.000]  但是他媽媽有錢
[00:01:50.000 --> 00:01:54.000]  所以很早就將他送去外國
[00:01:54.000 --> 00:01:59.000]  他先是去到美國東部讀英文
[00:01:59.000 --> 00:02:04.000]  接著他就進了一個社區的大學
[00:02:04.000 --> 00:02:06.000]  就是Community College
[00:02:06.000 --> 00:02:10.000]  讀完兩年整個人改變了
[00:02:10.000 --> 00:02:13.000]  是因為他在那個college那裡
[00:02:13.000 --> 00:02:15.000]  他是得到很大的肯定
[00:02:15.000 --> 00:02:22.000]  還有他也不害怕和外國學生交往
[00:02:22.000 --> 00:02:24.000]  做朋友
[00:02:24.000 --> 00:02:29.000]  但是他最大的改變就是進了大學
[00:02:29.000 --> 00:02:34.000]  在大學那裡他最喜歡的科目是computer
[00:02:34.000 --> 00:02:39.000]  大學有足夠的學位給他可以去修讀
[00:02:39.000 --> 00:02:44.000]  畢業之後他就留在美國做了一年
[00:02:44.000 --> 00:02:46.000]  然後爸爸就叫他回來
[00:02:46.000 --> 00:02:50.000]  告訴他真正發展的地方應該是亞洲盤地
[00:02:50.000 --> 00:02:52.000]  他也同意所以回來
[00:02:52.000 --> 00:02:54.000]  但是回來之後
[00:02:54.000 --> 00:02:58.000]  他另一個階段的苦難又開始
[00:02:58.000 --> 00:03:01.000]  他進了一個電訊公司工作
[00:03:01.000 --> 00:03:03.000]  在電訊公司那裡
[00:03:03.000 --> 00:03:08.000]  他是跟著一個上了年紀的上司工作
[00:03:08.000 --> 00:03:14.000]  他進的那個部門是電訊公司最賺錢的部門
[00:03:14.000 --> 00:03:16.000]  所以是很重要的
[00:03:16.000 --> 00:03:20.000]  但是他自己是常常被他的同事
[00:03:20.000 --> 00:03:23.000]  或者是故意的將他踩
[00:03:23.000 --> 00:03:27.000]  或者是用說話來激他
[00:03:27.000 --> 00:03:29.000]  或者是看不起他
[00:03:29.000 --> 00:03:34.000]  開會從來不會有上司支持他
[00:03:34.000 --> 00:03:37.000]  同事叫他做事連個名字都不要
[00:03:37.000 --> 00:03:39.000]  只是跟我做這樣
[00:03:39.000 --> 00:03:42.000]  或者說你今天跟我做這個chart
[00:03:42.000 --> 00:03:46.000]  是從來沒有給他任何的尊重
[00:03:46.000 --> 00:03:49.000]  所以三年後他離開了那間公司
[00:03:49.000 --> 00:03:51.000]  就參加了另外一間
[00:03:51.000 --> 00:03:55.000]  但是也是同樣是有規模
[00:03:55.000 --> 00:03:58.000]  不過他那個部門也是上了年紀的人
[00:03:58.000 --> 00:04:01.000]  在那個部門那裡他做的工作
[00:04:01.000 --> 00:04:08.000]  學了三年的經驗他不再亂出聲
[00:04:08.000 --> 00:04:12.000]  換句話說他是看風頭來做人
[00:04:12.000 --> 00:04:15.000]  是無奈的
[00:04:15.000 --> 00:04:19.000]  但是也是叫他少一點受人欺負
[00:04:19.000 --> 00:04:23.000]  他自己說在第二間公司工作
[00:04:23.000 --> 00:04:25.000]  那個經驗是一言以蔽之
[00:04:25.000 --> 00:04:28.000]  就是無驚無險有到五點
[00:04:28.000 --> 00:04:32.000]  每天就是等時間來放工
[00:04:32.000 --> 00:04:37.000]  直到最近香港開放那個電訊市場
[00:04:37.000 --> 00:04:40.000]  各種形式的電訊公司
[00:04:40.000 --> 00:04:44.000]  都有一個可以分一杯羹
[00:04:44.000 --> 00:04:48.000]  在那個時候電訊專研成了一個奇貨
[00:04:48.000 --> 00:04:50.000]  所以他再轉工
[00:04:50.000 --> 00:04:52.000]  這次他非常的幸運
[00:04:52.000 --> 00:04:55.000]  是轉了去一間小規模一點
[00:04:55.000 --> 00:05:01.000]  但是以年輕市場為主的一間電訊公司
[00:05:01.000 --> 00:05:05.000]  因為他有很好的學位是出名門的
[00:05:05.000 --> 00:05:07.000]  又加上有六七年的資歷
[00:05:07.000 --> 00:05:10.000]  所以在他的行那裡是很搶手的
[00:05:10.000 --> 00:05:13.000]  他這個新的老闆
[00:05:13.000 --> 00:05:15.000]  給他管理一個部門
[00:05:15.000 --> 00:05:18.000]  是完全放手給他管理
[00:05:18.000 --> 00:05:21.000]  他第一次開始明白
[00:05:21.000 --> 00:05:26.000]  為什麼做事其實人工不是最重要的
[00:05:26.000 --> 00:05:31.000]  是有機會給到他去發展他自己的才能
[00:05:31.000 --> 00:05:40.000]  在那裡他建立到他自己的人際和事業的網絡
[00:05:40.000 --> 00:05:42.000]  他非常的有自信
[00:05:42.000 --> 00:05:44.000]  他整個人的改變
[00:05:44.000 --> 00:05:47.000]  是不過十八個月裡面的事
[00:05:47.000 --> 00:05:51.000]  整個人好像重生了一樣
[00:05:51.000 --> 00:05:58.000]  我們說這個故事是一個很典型的大都會的小故事
[00:05:58.000 --> 00:06:01.000]  因為假如我們問今天
[00:06:01.000 --> 00:06:05.000]  就是我們這裡所謂的我那個
[00:06:05.000 --> 00:06:12.000]  就是由六三到八一年出生的年齡階段
[00:06:12.000 --> 00:06:18.000]  也就是說在九九年來說就是十八到三十六歲這個階層的人
[00:06:18.000 --> 00:06:23.000]  你會發覺他們都很多苦水的
[00:06:23.000 --> 00:06:25.000]  但是很奇怪的就是這一幫人
[00:06:25.000 --> 00:06:29.000]  在我們的社會和輿論界是好像隱形的
[00:06:29.000 --> 00:06:34.000]  他們在私下在酒吧他們可以和人家盡吐苦水
[00:06:34.000 --> 00:06:41.000]  但是在公眾在那個公眾平台上是沒有他的聲音的
[00:06:41.000 --> 00:06:45.000]  沒有人知道這一代是長壽著上一代
[00:06:45.000 --> 00:06:47.000]  就是我們說的X世代
[00:06:47.000 --> 00:06:49.000]  也就是由四五到六三年
[00:06:49.000 --> 00:06:55.000]  九九年就等於五十四到六十三歲這個階層的人
