
[00:00:00.000 --> 00:00:03.000]  《羅馬書》第八章十六、十七字這樣說
[00:00:03.000 --> 00:00:06.260]  聖靈自己與我們的靈一同見證
[00:00:06.260 --> 00:00:07.940]  我們是神的兒女
[00:00:07.940 --> 00:00:11.700]  若是兒女就是神的後子
[00:00:11.700 --> 00:00:12.900]  後子是很重要的
[00:00:12.900 --> 00:00:15.360]  因爲只有後子纔可以承繼財產
[00:00:15.360 --> 00:00:19.340]  我們與基督一起同作後子
[00:00:19.340 --> 00:00:22.860]  我們成就將來永恆的盼望
[00:00:24.540 --> 00:00:33.380]  「如果我們和祂一同受苦,是要我們和祂一同榮耀」
[00:00:33.380 --> 00:00:36.920]  有個如果的
[00:00:36.920 --> 00:00:38.240]  有個如果的
[00:00:38.240 --> 00:00:41.380]  我們怎知道我們一定會和祂承受的慘厭
[00:00:41.380 --> 00:00:44.380]  我們怎知道我們是真真正正上帝的兒女
[00:00:44.380 --> 00:00:45.280]  他說有個如果
[00:00:45.280 --> 00:00:47.480]  這個如果是必然的
[00:00:47.480 --> 00:00:50.520]  就是我們與祂一同受苦
[00:00:50.520 --> 00:00:55.160]  原來每一個真正的上帝的兒女
[00:00:55.160 --> 00:00:58.100]  被聖靈重生的兒女
[00:00:58.100 --> 00:01:01.200]  是有個胎記的
[00:01:01.200 --> 00:01:03.700]  有個十字架的胎記的
[00:01:03.700 --> 00:01:06.060]  有個背十字架的胎記的
[00:01:06.060 --> 00:01:07.620]  有個福音的胎記
[00:01:07.620 --> 00:01:13.620]  有個爲福音受苦的胎記
[00:01:13.620 --> 00:01:15.860]  正如耶穌的一生
[00:01:15.860 --> 00:01:18.860]  是受苦進入榮耀
[00:01:18.860 --> 00:01:20.960]  這次如果有人問你
[00:01:20.960 --> 00:01:23.960]  基督徒的一生
[00:01:23.960 --> 00:01:25.460]  是什麼的生命
[00:01:25.460 --> 00:01:27.560]  你應該的答案就是
[00:01:27.560 --> 00:01:32.860]  我們和基督一同受苦進入榮耀
[00:01:32.860 --> 00:01:36.960]  但今天我們有太多的假教師在外面
[00:01:36.960 --> 00:01:38.660]  包括美國最大的那間教會
[00:01:38.660 --> 00:01:41.060]  我不用跟你說名字
[00:01:41.060 --> 00:01:43.860]  他們的教導與聖經的教導完全相反
[00:01:43.860 --> 00:01:45.060]  他們的教導是
[00:01:45.060 --> 00:01:47.960]  「No suffering because Christ suffering」
[00:01:47.960 --> 00:01:49.560]  因爲耶穌爲我們受苦
[00:01:49.560 --> 00:01:52.360]  所以我們不需要受苦
[00:01:52.360 --> 00:01:54.360]  但你打開聖經
[00:01:54.360 --> 00:01:57.760]  你想一想都不可能
[00:01:57.760 --> 00:01:59.160]  你看看保羅的生命
[00:01:59.160 --> 00:02:00.260]  你看看彼得的生命
[00:02:00.260 --> 00:02:02.060]  你看看約翰的生命
[00:02:02.060 --> 00:02:03.160]  聖經的教導是
[00:02:03.160 --> 00:02:06.360]  「Yes suffering because of Christ suffering」
[00:02:06.360 --> 00:02:09.160]  因爲耶穌基督受苦
[00:02:09.160 --> 00:02:10.360]  我們跟隨祂的人
[00:02:10.360 --> 00:02:11.560]  和祂一起受苦
[00:02:11.560 --> 00:02:14.560]  「Suffering unto glory」
[00:02:14.560 --> 00:02:20.360]  通過受苦進入榮耀
[00:02:20.360 --> 00:02:21.860]  就是因爲這個苦難
[00:02:21.860 --> 00:02:23.960]  因爲這個福音的苦難
[00:02:23.960 --> 00:02:25.560]  不是你生癌症的苦難
[00:02:25.560 --> 00:02:29.060]  不是我要讀書要工作的苦難
[00:02:29.060 --> 00:02:31.760]  我們要忍耐
[00:02:31.760 --> 00:02:34.360]  忍耐
[00:02:34.360 --> 00:02:35.760]  保羅深信這個福音
[00:02:35.760 --> 00:02:38.160]  保羅深信聖經的福音
[00:02:38.160 --> 00:02:39.760]  是受苦進入榮耀的福音
[00:02:39.760 --> 00:02:41.760]  所以保羅千兵萬衆
[00:02:41.760 --> 00:02:45.560]  跟羅馬的強者弱者彼此相愛
[00:02:45.560 --> 00:02:47.160]  你明不明白
[00:02:47.160 --> 00:02:48.760]  爲什麼他這麼心動
[00:02:48.760 --> 00:02:50.960]  一直跟他們要求他們合一
[00:02:50.960 --> 00:02:53.960]  因爲他們知道前面的日子難熬
[00:02:53.960 --> 00:02:55.660]  你們要跟周公祭
[00:02:55.660 --> 00:02:57.260]  要跟金貢府
[00:02:57.260 --> 00:03:03.060]  同一起面對福音帶來的苦難
[00:03:03.060 --> 00:03:05.160]  保羅說你們要彼此相愛
[00:03:05.160 --> 00:03:11.160]  因爲苦難將來到你們當中
[00:03:11.160 --> 00:03:13.760]  彼此相愛不是保羅作出來的
[00:03:13.760 --> 00:03:18.960]  彼此相愛其實是耶穌自己所做的忠心教導
[00:03:18.960 --> 00:03:21.560]  當你去看《讓福音》第十三章的時候
[00:03:21.560 --> 00:03:24.160]  你發覺耶穌在短短兩節聖經裏面
[00:03:24.160 --> 00:03:27.160]  三次提到彼此相愛
[00:03:27.160 --> 00:03:29.160]  我賜給你們一條新界命
[00:03:29.160 --> 00:03:31.360]  就是叫你們彼此相愛
[00:03:31.360 --> 00:03:32.360]  我怎樣愛你
[00:03:32.360 --> 00:03:34.560]  你們也要怎樣彼此相愛
[00:03:34.560 --> 00:03:36.460]  你們若彼此相愛衆人
[00:03:36.460 --> 00:03:40.160]  因此就認出你們是我的門徒了
[00:03:40.160 --> 00:03:44.160]  耶穌爲何要三番四次地跟他們說
[00:03:44.160 --> 00:03:47.460]  你們要彼此相愛
[00:03:47.460 --> 00:03:48.760]  第一
[00:03:48.760 --> 00:03:51.060]  因爲他們沒有彼此相愛
[00:03:51.060 --> 00:03:51.560]  第二
[00:03:51.560 --> 00:03:54.760]  因爲耶穌就快要走了
[00:03:54.760 --> 00:03:56.560]  如果你知道《讓福音》的神話
[00:03:56.560 --> 00:03:59.160]  你知道耶穌下半段是在說
