
[00:00:00.000 --> 00:00:07.000]  主持人:今天我們所讀的經文是引自一個我們平時少用的譯本,是《環球聖經》譯本。
[00:00:07.000 --> 00:00:13.000]  主持人:今天我們所讀的經文是來自一個我們平常很少用的譯本,就是《環球聖經》譯本。
[00:00:13.000 --> 00:00:19.000]  主持人:選用這個版本的原因是因為這個版本的翻譯是比較貼近原文。
[00:00:19.000 --> 00:00:24.000]  主持人:選用這個版本的原因是因為這個版本的翻譯是比較貼近原文的。
[00:00:24.000 --> 00:00:30.000]  主持人:今天我們所讀的這段經文基本上是保羅的一個土文。
[00:00:30.000 --> 00:00:34.000]  主持人:今天我們所讀的這段經文基本上是保羅的一段島文。
[00:00:34.000 --> 00:00:37.000]  主持人:這段經文一開始的時候有一個連接詞,音詞。
[00:00:37.000 --> 00:00:41.000]  主持人:這段經文一開始的時候有一個連接詞,音詞。
[00:00:41.000 --> 00:00:47.000]  主持人:就是說我們接下來所讀的這幾個經文其實是由上文所引發的。
[00:00:47.000 --> 00:00:53.000]  主持人:就是說我們接下來所讀的這幾個經文就是從上文開始引發出來的。
[00:00:53.000 --> 00:00:55.000]  主持人:究竟上文是說什麼呢?
[00:00:55.000 --> 00:00:56.000]  主持人:究竟上文是說什麼呢?
[00:00:56.000 --> 00:01:00.000]  主持人:我們都知道「以佛所書」是保羅寫給外邦信徒的。
[00:01:00.000 --> 00:01:04.000]  主持人:我們都知道「以佛所書」是保羅寫給外邦信徒的。
[00:01:04.000 --> 00:01:07.000]  主持人:我們都知道「以佛所書」是保羅寫給外邦信徒的。
[00:01:07.000 --> 00:01:10.000]  主持人:保羅在之前的第二章是這樣寫的。
[00:01:10.000 --> 00:01:18.000]  主持人:保羅在之前的第二章是這樣寫的。
[00:01:18.000 --> 00:01:27.000]  主持人:他之前說你們人跟基督所立的約是沒有份的。
[00:01:27.000 --> 00:01:34.000]  主持人:但是因為信耶穌的原因,現在全部都是神家裡的人。
[00:01:34.000 --> 00:01:36.000]  主持人:但是因為信耶穌的原因,現在全部都是神家裡的人。
[00:01:36.000 --> 00:01:46.000]  主持人:基於所有人都在主裡面合一的事實,保羅就做了這個祈禱。
[00:01:46.000 --> 00:01:47.000]  主持人:基於所有人都在主裡面合一的事實,保羅就做了這個祈禱。
