
[00:00:00.000 --> 00:00:02.160]  大家聽到累了嗎?
[00:00:02.160 --> 00:00:04.240]  四個星期很短而已
[00:00:04.240 --> 00:00:07.840]  我也不知道大家累不累
[00:00:07.840 --> 00:00:09.320]  不過我相信
[00:00:09.320 --> 00:00:10.280]  如果你是香港人
[00:00:10.280 --> 00:00:15.120]  或者你覺得是跟隨香港的話
[00:00:15.120 --> 00:00:16.320]  過去幾個月
[00:00:16.320 --> 00:00:18.200]  可能你都會覺得很累
[00:00:18.200 --> 00:00:19.200]  爲什麼呢?
[00:00:19.200 --> 00:00:20.920]  因爲你家人去香港
[00:00:20.920 --> 00:00:21.920]  朋友去香港
[00:00:21.920 --> 00:00:23.640]  同學去香港
[00:00:23.640 --> 00:00:25.640]  香港發生什麼事大家都知道
[00:00:25.640 --> 00:00:28.720]  所以可能你每天放工之後
[00:00:28.720 --> 00:00:31.000]  看YouTube 上Facebook
[00:00:31.000 --> 00:00:33.000]  或者去不同的媒體
[00:00:33.000 --> 00:00:35.440]  去了解香港現在有什麼新的發展
[00:00:35.440 --> 00:00:36.960]  情況是怎麼樣
[00:00:36.960 --> 00:00:38.480]  你越看
[00:00:38.480 --> 00:00:42.040]  你就越徹夜難眠
[00:00:42.040 --> 00:00:43.160]  好端端睡不好
[00:00:43.160 --> 00:00:45.120]  不着覺
[00:00:45.120 --> 00:00:47.800]  已經四個月了
[00:00:47.800 --> 00:00:50.960]  好像Going Nowhere
[00:00:50.960 --> 00:00:53.680]  所以大家就覺得累了
[00:00:53.680 --> 00:00:55.880]  我相信我所說的累
[00:00:55.880 --> 00:00:59.320]  不僅是身體覺得很累
[00:00:59.320 --> 00:01:01.880]  經常都睡不着
[00:01:01.880 --> 00:01:03.280]  我相信是
[00:01:03.280 --> 00:01:05.280]  心覺得累
[00:01:05.280 --> 00:01:06.720]  心靈覺得累
[00:01:06.720 --> 00:01:08.160]  甚至現在
[00:01:08.160 --> 00:01:11.080]  好像發覺累到不想再去追
[00:01:11.080 --> 00:01:12.080]  不想再去看
[00:01:12.080 --> 00:01:14.880]  但有時又放不下
[00:01:14.880 --> 00:01:18.240]  所以這是一個很痛苦的時刻
[00:01:18.240 --> 00:01:20.040]  或者你
[00:01:20.040 --> 00:01:21.720]  你不是不關心香港
[00:01:21.720 --> 00:01:24.480]  因爲你可能不是來自香港
[00:01:24.480 --> 00:01:25.440]  你不是不關心香港
[00:01:25.440 --> 00:01:26.920]  不過事實上
[00:01:26.920 --> 00:01:29.200]  在人生當中
[00:01:29.200 --> 00:01:31.200]  已經有很多事令你很累
[00:01:31.200 --> 00:01:33.080]  做工累不累
[00:01:33.080 --> 00:01:34.680]  Sure 做工
[00:01:34.680 --> 00:01:36.800]  Secondary long hours
[00:01:36.800 --> 00:01:38.520]  如果只是做工都沒所謂
[00:01:38.520 --> 00:01:43.120]  你還要handle很多office politics
[00:01:43.120 --> 00:01:46.280]  很多同事朋友之間的關係
[00:01:46.280 --> 00:01:49.960]  那些是很burn你的emotional energy
[00:01:49.960 --> 00:01:53.960]  讓你有時真的很辛苦
[00:01:53.960 --> 00:01:55.960]  放工long hour回到家
[00:01:55.960 --> 00:01:58.520]  如果你家裏還是很吵鬧的話
[00:01:58.520 --> 00:02:00.080]  我不知道
[00:02:00.080 --> 00:02:01.480]  希望不是
[00:02:01.480 --> 00:02:02.840]  但如果家裏還是很吵鬧
[00:02:02.840 --> 00:02:04.960]  你想回到家休息坐着
[00:02:04.960 --> 00:02:06.400]  其實你也坐不定
[00:02:06.400 --> 00:02:07.880]  或者你年紀很小
[00:02:07.880 --> 00:02:09.160]  回到家還要幫忙洗洗衣服
[00:02:09.160 --> 00:02:10.080]  餵飯沖涼
[00:02:10.080 --> 00:02:10.760]  搞完之後
[00:02:10.760 --> 00:02:13.200]  已經十一二點了
[00:02:13.200 --> 00:02:15.440]  想wind down都沒時間
[00:02:15.440 --> 00:02:16.400]  上牀又睡不着
[00:02:16.400 --> 00:02:17.440]  滾滾轉轉
[00:02:17.440 --> 00:02:19.800]  辛苦嗎
[00:02:19.800 --> 00:02:21.160]  累了
[00:02:21.160 --> 00:02:22.640]  很累
[00:02:22.640 --> 00:02:26.640]  原來很多東西會讓我們覺得很累
[00:02:26.640 --> 00:02:27.480]  問題是
[00:02:27.480 --> 00:02:30.720]  累了怎麼辦
[00:02:30.720 --> 00:02:32.920]  很自然一個最常見的解決方法
[00:02:32.920 --> 00:02:34.640]  累了就休息
[00:02:34.640 --> 00:02:35.400]  最簡單
[00:02:35.400 --> 00:02:37.360]  累了就休息
[00:02:37.360 --> 00:02:38.040]  問題是
[00:02:38.040 --> 00:02:41.000]  我們不是不想休息
[00:02:41.000 --> 00:02:44.040]  很多時候就算我們睡了
[00:02:44.040 --> 00:02:45.680]  或者坐在recliner
[00:02:45.680 --> 00:02:50.080]  或者massage chair
[00:02:50.080 --> 00:02:51.080]  不是不想休息
[00:02:51.080 --> 00:02:52.240]  不是不想睡
[00:02:52.240 --> 00:02:55.120]  但也得不到安息
[00:02:55.120 --> 00:02:57.560]  有沒有這樣的經驗
[00:02:57.560 --> 00:03:02.160]  這是不是現在我們的一些處境呢
[00:03:02.160 --> 00:03:04.840]  這幾個星期我們講安息
[00:03:04.840 --> 00:03:08.040]  整個當守安息日
[00:03:08.040 --> 00:03:10.360]  但這對我們來說是什麼意思呢
[00:03:10.360 --> 00:03:13.200]  什麼叫守安息日呢
[00:03:13.200 --> 00:03:15.640]  安息日裏我們要做些什麼呢
[00:03:15.640 --> 00:03:17.200]  就是來敬拜嗎
[00:03:17.200 --> 00:03:19.280]  還是怎麼樣呢
[00:03:19.280 --> 00:03:21.080]  作爲一個基督徒
[00:03:21.080 --> 00:03:23.560]  到底我們應該守安息日呢
[00:03:23.560 --> 00:03:25.320]  還是守主日呢
[00:03:25.320 --> 00:03:27.760]  這些問題應該是第一堂課
[00:03:27.760 --> 00:03:31.280]  不過最後第四個星期到我纔講
[00:03:31.280 --> 00:03:32.440]  問題就是
[00:03:32.440 --> 00:03:33.920]  什麼叫守安息日呢
[00:03:33.920 --> 00:03:37.480]  首先我相信有幾樣東西我們要了解一下
[00:03:37.480 --> 00:03:40.680]  首先我們要明白
[00:03:40.680 --> 00:03:42.360]  聖經裏面的啓示
[00:03:42.360 --> 00:03:44.760]  聖經裏面是上帝給我們的啓示
[00:03:44.760 --> 00:03:47.160]  是一種所謂的漸進式的啓示
[00:03:47.160 --> 00:03:48.760]  意思是什麼呢
