
[00:00:00.000 --> 00:00:02.240]  各位隊長 各位朋友 平安
[00:00:02.240 --> 00:00:06.640]  好 今天一開始我又講一套動畫
[00:00:06.640 --> 00:00:08.480]  這次不在了
[00:00:08.480 --> 00:00:13.360]  一套日本動畫叫《Spy Family》
[00:00:13.360 --> 00:00:15.000]  我猜應該很少人會看的
[00:00:15.000 --> 00:00:17.280]  雖然早前也有一個說會看
[00:00:17.280 --> 00:00:19.960]  《Spy Family》是一部日本動畫
[00:00:19.960 --> 00:00:21.640]  講什麼呢
[00:00:21.640 --> 00:00:25.000]  就是講一個家庭 一家三口
[00:00:25.000 --> 00:00:27.040]  但又不是一個真正的家庭
[00:00:27.040 --> 00:00:29.200]  因爲這三個人
[00:00:29.200 --> 00:00:31.680]  本身是各自不相識的
[00:00:31.680 --> 00:00:34.400]  所謂的爸爸
[00:00:34.400 --> 00:00:37.640]  他表面上是一個心理醫生
[00:00:37.640 --> 00:00:39.680]  但其實他是一個間諜
[00:00:39.680 --> 00:00:42.560]  因爲這個動畫叫《Spy Family》
[00:00:42.560 --> 00:00:47.560]  媽媽表面上是一家公司的普通職員
[00:00:47.560 --> 00:00:50.480]  但其實她是一個女殺手
[00:00:50.480 --> 00:00:55.480]  女兒呢 動畫裏大概五六歲左右
[00:00:55.480 --> 00:00:58.360]  一個一年班學生
[00:00:58.360 --> 00:01:01.880]  但其實他是識讀心術的
[00:01:01.880 --> 00:01:03.880]  這套動畫很有趣
[00:01:03.880 --> 00:01:08.560]  這三個人組成一個所謂的家庭
[00:01:08.560 --> 00:01:12.600]  但其實他又各自隱瞞自己的身份
[00:01:12.600 --> 00:01:17.320]  大家都不知道對方的真實身份是什麼
[00:01:17.320 --> 00:01:21.160]  但每天在家裏生活就發生了很多的事
[00:01:21.160 --> 00:01:25.360]  於是身份呢
[00:01:25.360 --> 00:01:29.400]  其實究竟是你自己定義
[00:01:29.400 --> 00:01:32.240]  還是別人定義
[00:01:32.240 --> 00:01:36.880]  還是誰決定你的身份呢
[00:01:36.880 --> 00:01:39.680]  我記得我大學畢業之後
[00:01:39.680 --> 00:01:42.160]  第一份工作就是教書
[00:01:42.160 --> 00:01:46.240]  我就去一間中學教高年班
[00:01:46.240 --> 00:01:48.880]  教中四和中五
[00:01:48.880 --> 00:01:50.760]  很少會一進去就教中五的
[00:01:50.760 --> 00:01:52.720]  因爲那個老師離職走了
[00:01:52.720 --> 00:01:56.000]  我就要接手教他那班會考班
[00:01:56.000 --> 00:01:58.000]  當時我剛剛畢業
[00:01:58.000 --> 00:01:59.320]  二十二歲
[00:01:59.320 --> 00:02:01.600]  當年不是現在
[00:02:01.600 --> 00:02:05.400]  當年的樣子是很小很嬰兒的
[00:02:05.400 --> 00:02:08.840]  我進去課室中五班
[00:02:08.840 --> 00:02:11.120]  這些年紀都是很難搞的
[00:02:11.120 --> 00:02:12.600]  十六七歲
[00:02:12.600 --> 00:02:14.000]  他看到我這樣的樣子
[00:02:14.000 --> 00:02:15.800]  一個小女孩這樣的樣子
[00:02:15.800 --> 00:02:18.120]  於是就開始鄙視我
[00:02:18.120 --> 00:02:20.720]  覺得我不是一個老師
[00:02:20.720 --> 00:02:24.120]  好像跟他們差不多年紀
[00:02:24.120 --> 00:02:26.600]  我很沮喪
[00:02:26.600 --> 00:02:29.720]  老師的身份好像不太被尊重
[00:02:29.720 --> 00:02:31.680]  二十多三十年前
[00:02:31.680 --> 00:02:34.000]  老師還有一點尊嚴
[00:02:34.000 --> 00:02:37.760]  現在可能都沒有了
[00:02:37.760 --> 00:02:39.280]  覺得自己好像
[00:02:39.280 --> 00:02:42.560]  這個老師的身份沒有被人認同
[00:02:42.560 --> 00:02:46.360]  那種很不好的感受
[00:02:46.360 --> 00:02:47.960]  剛剛我問大家
[00:02:47.960 --> 00:02:50.960]  其實我們的身份是誰定義的呢
[00:02:50.960 --> 00:02:52.680]  是你自己
[00:02:52.680 --> 00:02:54.880]  是你其他的人
[00:02:54.880 --> 00:02:57.240]  你是很看其他人的眼光
[00:02:57.240 --> 00:03:01.000]  還是上帝去定義我們的身份呢
[00:03:01.000 --> 00:03:02.320]  在《御府奇》裏面
[00:03:02.320 --> 00:03:04.240]  我們一起去思想一下
[00:03:04.240 --> 00:03:07.240]  耶穌祂的身份是什麼
