
[00:00:00.000 --> 00:00:03.320]  首先我想給大家看幾張圖畫
[00:00:03.320 --> 00:00:05.320]  大家看這些圖畫的時候
[00:00:05.320 --> 00:00:07.320]  在第一眼
[00:00:07.320 --> 00:00:09.320]  你講講在第一眼
[00:00:09.320 --> 00:00:11.120]  你見到什麼
[00:00:11.120 --> 00:00:13.120]  第一張圖畫
[00:00:13.120 --> 00:00:15.120]  你知不知道你見到什麼
[00:00:15.120 --> 00:00:18.120]  有鱷魚、有船
[00:00:18.120 --> 00:00:19.920]  見到大家不同的東西
[00:00:19.920 --> 00:00:21.120]  第二張
[00:00:21.120 --> 00:00:23.120]  你見到什麼
[00:00:23.120 --> 00:00:25.120]  有人見到花瓶
[00:00:25.120 --> 00:00:27.120]  有人見到女人
[00:00:27.120 --> 00:00:29.120]  第三張
[00:00:29.120 --> 00:00:31.120]  你見到什麼
[00:00:31.120 --> 00:00:33.120]  有人見到少女
[00:00:33.120 --> 00:00:35.120]  有人見到老翁
[00:00:35.120 --> 00:00:37.120]  第四張
[00:00:37.120 --> 00:00:39.120]  你見到什麼
[00:00:39.120 --> 00:00:40.120]  有人見到車
[00:00:40.120 --> 00:00:42.120]  有人見到一個男人戴著帽子
[00:00:42.120 --> 00:00:43.120]  拿著望遠鏡
[00:00:43.120 --> 00:00:45.120]  有人見到個A字
[00:00:45.120 --> 00:00:48.120]  為什麼不同的人會見到不同的東西呢
[00:00:48.120 --> 00:00:50.120]  心理學家說
[00:00:50.120 --> 00:00:52.120]  因為人只是見到
[00:00:52.120 --> 00:00:54.120]  那些他想見到的東西
[00:00:54.120 --> 00:00:57.120]  You see what you want to see
[00:00:57.120 --> 00:01:00.120]  為什麼人只見到那些他想見到的東西呢
[00:01:00.120 --> 00:01:03.120]  因為每一個人的心靈狀況
[00:01:03.120 --> 00:01:06.120]  他和其他人的關係都很不同
[00:01:06.120 --> 00:01:09.120]  譬如如果你和人有嫌隙
[00:01:09.120 --> 00:01:11.120]  你會覺得和你有嫌隙的那個人
[00:01:11.120 --> 00:01:13.120]  那個人面目可憎
[00:01:13.120 --> 00:01:15.120]  你很不想見到他的醜樣
[00:01:15.120 --> 00:01:17.120]  又或者如果你
[00:01:17.120 --> 00:01:19.120]  有人真的傷害了你
[00:01:19.120 --> 00:01:21.120]  又或者你很容易被傷害
[00:01:21.120 --> 00:01:23.120]  你的心靈很脆弱
[00:01:23.120 --> 00:01:24.120]  我們叫玻璃心
[00:01:24.120 --> 00:01:27.120]  在你的人生你會見到很多人
