
[00:00:00.000 --> 00:00:02.920]  福神前輩,讓我們先在聆聽主導
[00:00:02.920 --> 00:00:04.960]  我們一起同心低頭禱告
[00:00:04.960 --> 00:00:09.280]  父神,多謝你
[00:00:09.280 --> 00:00:12.360]  讓我們可以回來在你的說話的面前學習
[00:00:12.360 --> 00:00:15.280]  求父神你的加力
[00:00:15.280 --> 00:00:18.760]  保守我們每個人的心思意念
[00:00:18.760 --> 00:00:25.360]  清楚掌握上主你在聖經裡的教導和教訓
[00:00:26.640 --> 00:00:30.200]  讓我們能夠活出一個合神心意的生命
[00:00:30.200 --> 00:00:33.600]  禱告、奉教、主耶穌、德成、榮民、自救
[00:00:33.600 --> 00:00:34.640]  對嗎?
[00:00:34.640 --> 00:00:41.960]  不少的父母對子女是很緊張的
[00:00:41.960 --> 00:00:46.880]  你說人之常情
[00:00:46.880 --> 00:00:50.360]  不過你說是不是很人之常情
[00:00:50.360 --> 00:00:52.800]  我又不覺得是真的很人之常情
[00:00:52.880 --> 00:00:59.560]  因為我發覺特別在中國東方和西方人
[00:00:59.560 --> 00:01:04.840]  對於如何栽培子女成長、成才
[00:01:04.840 --> 00:01:09.160]  好像完全是有一個很不同的取態
[00:01:09.160 --> 00:01:13.440]  有一次我和一些朋友聊天
[00:01:13.440 --> 00:01:17.240]  子女來了加拿大北美洲讀書之後
[00:01:17.240 --> 00:01:20.480]  我發覺這裡的讀書是很自由的
[00:01:20.560 --> 00:01:23.960]  這裡的讀書不像我們以前小時候
[00:01:23.960 --> 00:01:25.640]  在亞洲讀書一樣
[00:01:25.640 --> 00:01:26.720]  亞洲怎麼讀書?
[00:01:26.720 --> 00:01:29.480]  不斷練習…
[00:01:29.480 --> 00:01:34.480]  練到我們每天休息的時間都沒有
[00:01:34.480 --> 00:01:37.880]  老實說,玩的時間都沒有
[00:01:37.880 --> 00:01:40.720]  但來到北美洲讀書
[00:01:40.720 --> 00:01:42.960]  第一,小朋友沒甚麼功課
[00:01:42.960 --> 00:01:48.880]  當時我跟子女的小學老師說
[00:01:49.440 --> 00:01:52.120]  「我知道你們亞洲人怎麼想的」
[00:01:52.120 --> 00:01:54.840]  「老師挺好的」
[00:01:54.840 --> 00:01:56.440]  「我很明白你怎麼想的」
[00:01:56.440 --> 00:01:59.960]  「不過我首先跟大家說」
[00:01:59.960 --> 00:02:01.880]  「我不會給他們功課」
[00:02:01.880 --> 00:02:04.680]  「他們的功課上學已經完成了」
[00:02:04.680 --> 00:02:08.280]  「回家我只希望他們玩」
[00:02:08.280 --> 00:02:12.320]  然後她再說一句
[00:02:12.320 --> 00:02:15.960]  她說「至於你要買甚麼補充練習」
[00:02:15.960 --> 00:02:17.800]  「這是你自己決定的事」
[00:02:20.000 --> 00:02:23.080]  反映了一個很不同的思維
[00:02:23.080 --> 00:02:30.520]  亞洲人似乎對於栽培子女的兒女
[00:02:30.520 --> 00:02:33.480]  是他們的人生整個的首位
[00:02:33.480 --> 00:02:39.600]  甚至有些贏在起跑線的觀念
[00:02:39.600 --> 00:02:41.160]  真的很嚇人
[00:02:41.160 --> 00:02:44.440]  我曾經見過一位媽媽
[00:02:44.440 --> 00:02:47.240]  她要栽培子女
[00:02:47.320 --> 00:02:49.960]  應該這樣說,她連子女都沒有的時候
[00:02:49.960 --> 00:02:51.640]  她只是結了婚的時候
[00:02:51.640 --> 00:02:56.160]  她已經說「我現在要好好養好自己的身體」
[00:02:56.160 --> 00:02:59.240]  「然後給我充足的養份」
[00:02:59.240 --> 00:03:01.120]  「當我懷孕的時候」
[00:03:01.120 --> 00:03:05.280]  「有充足的養份給我未來的小朋友」
[00:03:05.280 --> 00:03:08.160]  「然後讓他們的智商比別人高一點」
[00:03:08.160 --> 00:03:10.920]  「看身體會好一點」
[00:03:10.920 --> 00:03:15.120]  「然後他就可以在將來贏在起跑線」
[00:03:16.840 --> 00:03:19.160]  可惜後來我見到這個媽媽
[00:03:19.160 --> 00:03:21.400]  她的兒子真的這樣做
[00:03:21.400 --> 00:03:26.600]  但他出生後來的兒子真是個傷殘的小朋友
[00:03:26.600 --> 00:03:30.000]  這不是道理
[00:03:30.000 --> 00:03:33.400]  這種思維已經走向極端
[00:03:33.400 --> 00:03:37.280]  於是極端到一個甚麼地步
[00:03:37.280 --> 00:03:41.520]  就是如果我有小朋友
[00:03:41.520 --> 00:03:45.000]  我就要給他最好的
[00:03:45.000 --> 00:03:46.720]  甚麼是最好的
[00:03:46.800 --> 00:03:49.440]  最好的環境栽培他
[00:03:49.440 --> 00:03:50.640]  最好的老師
[00:03:50.640 --> 00:03:53.800]  所以我要找一個最好的學校
[00:03:53.800 --> 00:03:55.960]  名校就一定是首選
[00:03:55.960 --> 00:03:58.600]  因為名校進去後
[00:03:58.600 --> 00:04:01.720]  他就已經比很多人好得多
[00:04:01.720 --> 00:04:03.560]  名校將來的同學
[00:04:03.560 --> 00:04:08.840]  個個都是有名有色出名的人士
[00:04:08.840 --> 00:04:10.240]  他的網絡
[00:04:10.240 --> 00:04:15.480]  他將來跟世界的接觸就會更加好
[00:04:15.560 --> 00:04:18.720]  而名校又有名的老師
[00:04:18.720 --> 00:04:20.440]  而名的老師亦都能夠
[00:04:20.440 --> 00:04:23.440]  將最好的教導教給他
[00:04:23.440 --> 00:04:27.720]  我今天不是跟大家討論
[00:04:27.720 --> 00:04:31.480]  「臭仔教仔」或「栽培兒女」這個問題
[00:04:31.480 --> 00:04:35.240]  不過這種思維
[00:04:35.240 --> 00:04:41.480]  在東方的信徒基督徒之中
[00:04:42.200 --> 00:04:46.360]  如果將他轉化進入基督教中
[00:04:46.360 --> 00:04:48.080]  就會變成怎樣
[00:04:48.080 --> 00:04:51.920]  我要有好的靈性
[00:04:51.920 --> 00:04:53.680]  我要有好的屬靈成長
[00:04:53.680 --> 00:04:56.560]  於是我就要去找一間
[00:04:56.560 --> 00:05:00.640]  最好的屬靈環境的教會
[00:05:00.640 --> 00:05:03.920]  所以超級巨型教會
[00:05:03.920 --> 00:05:05.320]  Megachurch是最適合的
[00:05:05.320 --> 00:05:08.120]  因為他們有各式各樣的資源
[00:05:08.120 --> 00:05:10.840]  使他們有各式各樣的侍宮
