
[00:00:00.000 --> 00:00:03.200]  好,各位理智妹,早晨
[00:00:03.200 --> 00:00:09.000]  好,今天人才仔仔,真的很感恩
[00:00:09.000 --> 00:00:13.500]  我們進入新的月題,不是季題
[00:00:13.500 --> 00:00:18.500]  因爲下半年我們7-8月,9-10月,11-12月
[00:00:18.500 --> 00:00:20.000]  兩個月一個月題
[00:00:20.000 --> 00:00:24.500]  大家知不知道我們今個月的月題是什麼?
[00:00:24.500 --> 00:00:32.000]  即場的逆流門徒,在這裏沒有,待會兒也會看到
[00:00:32.000 --> 00:00:36.000]  用這幅開始
[00:00:36.000 --> 00:00:43.000]  香港是一個很急促的社會,乘地鐵可以看到每個人都在趕着趕着幹嘛?
[00:00:43.000 --> 00:00:46.000]  趕着上班,香港人也很好,趕着上班就這麼好
[00:00:46.000 --> 00:00:50.000]  不知道英國的弟子會不會趕着上班呢?
[00:00:50.000 --> 00:00:58.000]  我聽說沒有工作量那麼多,可以自由一點,可以慢慢交project
[00:00:58.000 --> 00:01:03.000]  香港的變化,莫測,不斷在變的城市
[00:01:03.000 --> 00:01:06.000]  不如先做個調查,舉個手
[00:01:06.000 --> 00:01:11.000]  我們有些人退休,有些人在職場打拼
[00:01:11.000 --> 00:01:16.000]  有些人可能在尋覓工作,在找人生的下半場
[00:01:16.000 --> 00:01:23.000]  如果你是已經退休的,請舉個手,也應該不少,三分之一左右
[00:01:23.000 --> 00:01:28.000]  如果你是職場打拼還是在做事,請舉個手
[00:01:28.000 --> 00:01:33.000]  也多的,好像比我想象中多
[00:01:33.000 --> 00:01:37.000]  又不是這兩種,有沒有?
[00:01:37.000 --> 00:01:43.000]  可能正在轉工,不是退休,正在轉工,或者正在尋覓,請舉個手
[00:01:43.000 --> 00:01:48.000]  我也是,正在轉工,不過我還在
[00:01:48.000 --> 00:01:51.000]  其實你每一個階段都好
[00:01:51.000 --> 00:01:55.000]  但我們都在面對香港社會有很多生活的壓力
[00:01:55.000 --> 00:02:00.000]  譬如昨晚喫飯,和陸晨祖不開名字
[00:02:00.000 --> 00:02:05.000]  又倒閉了,我的親戚是做二儲的,倒閉了
[00:02:05.000 --> 00:02:08.000]  可能真的找不回來
[00:02:08.000 --> 00:02:13.000]  又或者我們看到很多物價加價,都是生活壓力
[00:02:13.000 --> 00:02:18.000]  在社會都在動盪中,雖然之前說特朗普那些
[00:02:18.000 --> 00:02:24.000]  什麼貿易戰,或者伊朗和以色列的衝突好像緩和了
[00:02:24.000 --> 00:02:29.000]  但我們知道,隨時一個按鈕就可以世界大戰發生
[00:02:29.000 --> 00:02:34.000]  所以我們都在面對一個很幻變的時代,或者急促的社會
[00:02:34.000 --> 00:02:41.000]  還有在香港,我們都面對很多社會的價值觀,和我們的信任價值觀有很多衝突
[00:02:41.000 --> 00:02:44.000]  我們怎麼面對呢?
[00:02:44.000 --> 00:02:52.000]  因爲我現在都要轉工,所以就看看網上對於轉工的調查
[00:02:52.000 --> 00:02:58.000]  原來年輕一代,轉工都蠻頻繁的
[00:02:58.000 --> 00:03:01.000]  他們每兩三年就轉一次工
[00:03:01.000 --> 00:03:05.000]  最誇張就是五年內轉了多少份工
[00:03:05.000 --> 00:03:08.000]  五年內轉了十份工
