
[00:00:00.000 --> 00:00:10.000]  各位兄弟姐妹,聖誕快樂,以馬內利,讓我們開始的時候,我們先來一個禱告吧!
[00:00:10.000 --> 00:00:26.000]  讓我也感謝你,因為你給我們有以馬內利的應許,求你使我們能夠明白你的應許,以致我們能夠尚為感恩之所回應。以上的禱告,我是奉主耶穌基督的聖名。阿們!
[00:00:26.000 --> 00:00:48.000]  我們經常都會看到小朋友哭,特別是那些幾歲大的小朋友,因為他們是感覺不到媽媽在他們身邊。由於沒有安全感的緣故,弱小的心靈就會害怕起來。
[00:00:48.000 --> 00:00:59.000]  希望媽媽可以很快地來到他們身邊,去保護他們,與他們在一起。
[00:00:59.000 --> 00:01:21.000]  但是如果媽媽不抱他們,那又怎樣呢?那其他人抱他們,那又怎樣呢?通常其他人都會拿著媽媽的衣服來包著她,讓她覺得聞到媽媽那股脆弱的時候,就會覺得:「咦!媽媽在這裡!我不用怕!媽媽與我同在!」
[00:01:21.000 --> 00:01:35.000]  那對於我們人來說,我們需要的是什麼呢?也許就是創造我們的神與我們同在,特別是我們身為基督徒的神的兒女。
[00:01:35.000 --> 00:01:52.000]  所以在今天,在以馬內利來臨的今天,就讓我們能夠重新來溫習一下以馬內利的過去、現在,以致未來,以致我們能夠對他有所回應。
[00:01:52.000 --> 00:02:19.000]  今天,我會分為三個點來和大家一起分享一下。首先,我們先來看看以馬內利的典故。今天剛才我讀的那段經文,大家都會留意到,這個以馬內利這個字,無論是新約、舊約,以及在其他語言的版本,發音都是差不多的,大家有沒有留意到?
[00:02:19.000 --> 00:02:36.000]  其實這個字是一個小朋友的名字,原文是希伯來文,當然後來翻譯成為希臘文,就是「與我們同在的就是神」。
[00:02:36.000 --> 00:02:52.000]  馬太后在這裡借用了舊約,以塞亞書的一段典故,來講述童女懷孕生子的飢養真理。但是以塞亞當時說這個話的時候的意思是什麼呢?
[00:02:52.000 --> 00:03:16.000]  現在就讓我們先回到耶穌基督降生之前的七百多年前,當時的歷史的場景到底是怎樣?我們從剛才讀的經文,都可以看到以馬內利這個字,第一次出現就是在以塞亞書的第七章第十四節那裡。
