
[00:00:00.000 --> 00:00:04.280]  今天跟大家分享的人物就是李希敏
[00:00:04.280 --> 00:00:10.220]  李希敏在舊約裏面是一個很特別、很重要的領袖
[00:00:10.220 --> 00:00:16.400]  我們今天會看第二章和第三章
[00:00:16.400 --> 00:00:21.160]  去探索她這種奮進、逆流而上的生命裏面的特質
[00:00:21.160 --> 00:00:25.440]  李希敏當然有超過兩章、三章
[00:00:25.440 --> 00:00:27.200]  所以我們選擇了這兩章
[00:00:27.200 --> 00:00:32.920]  我覺得這兩章是反映她生命裏面有一種特質
[00:00:32.920 --> 00:00:36.520]  有兩個面、有兩個向度
[00:00:36.520 --> 00:00:41.840]  為何李希敏能夠有這樣的生命特質呢?
[00:00:41.840 --> 00:00:46.160]  我覺得是因為她有一個很清晰、很重要
[00:00:46.160 --> 00:00:49.520]  她覺得是她要完成的人生任務
[00:00:49.520 --> 00:00:51.440]  就是她要重建城牆
[00:00:51.440 --> 00:00:55.040]  她要回到要殺人的地方重建城牆
[00:00:55.040 --> 00:00:57.000]  為了要達成這件事
[00:00:57.000 --> 00:00:59.800]  她千方百計
[00:00:59.800 --> 00:01:03.840]  她生命裏面遭遇很多的艱難、很多困境
[00:01:03.840 --> 00:01:07.040]  但她仍然要向…不單是她自己
[00:01:07.040 --> 00:01:10.360]  她帶領著很多人去完成這個任務
[00:01:10.360 --> 00:01:15.160]  這個奮進、逆流而上的生命往往和異象有關
[00:01:15.160 --> 00:01:16.880]  不是百分之一百
[00:01:16.880 --> 00:01:18.960]  不過通常都是和異象有關
[00:01:18.960 --> 00:01:24.960]  為了要達成神給我們心裏面的目標、目的
[00:01:24.960 --> 00:01:27.200]  我們就奮鬥
[00:01:27.200 --> 00:01:29.520]  如果你喜歡運動
[00:01:29.520 --> 00:01:32.000]  你喜歡…甚麼運動都是
[00:01:32.000 --> 00:01:37.320]  即是跑步、游泳、划艇、打籃球、足球、排球
[00:01:37.320 --> 00:01:40.680]  其實都是一種類似的性質
[00:01:40.680 --> 00:01:42.400]  為了要達成那個目標
[00:01:42.400 --> 00:01:43.720]  就是拿冠軍
[00:01:43.720 --> 00:01:45.400]  你就要怎樣?操練自己
[00:01:45.400 --> 00:01:47.360]  你就要考驗你的團隊精神
[00:01:47.360 --> 00:01:49.440]  你就要放下自己很多東西
