
[00:00:00.000 --> 00:00:01.240]  大姐姐妹 早安
[00:00:01.240 --> 00:00:02.860]  平安
[00:00:02.860 --> 00:00:07.120]  多謝小學樂團為我們有好好的演奏
[00:00:07.120 --> 00:00:09.000]  讓我們想起上帝的恩典
[00:00:09.000 --> 00:00:11.340]  請先做一次低頭祈禱
[00:00:11.340 --> 00:00:15.540]  因著我們獻上感恩
[00:00:15.540 --> 00:00:19.280]  你讓我們今天回到你的殿當中
[00:00:19.280 --> 00:00:21.060]  去侍奉敬拜你
[00:00:21.060 --> 00:00:24.400]  雖然外面可能陰天 甚至下雨
[00:00:24.400 --> 00:00:27.200]  但我們的心仍然火熱去追求
[00:00:27.200 --> 00:00:29.560]  因為你就是在我們當中吸引我們
[00:00:29.700 --> 00:00:31.380]  求你親自向我們說話
[00:00:31.380 --> 00:00:33.920]  開我們的耳朵 讓我們細心聆聽
[00:00:33.920 --> 00:00:36.340]  開我們的眼睛 讓我們見到你的榮光
[00:00:36.340 --> 00:00:39.280]  留意每人口中的言語 以至每天的心思意念
[00:00:39.280 --> 00:00:41.800]  蒙聖靈的啟迪 蒙主的月立
[00:00:41.800 --> 00:00:43.860]  禱告奉耶穌基督的名
[00:00:43.860 --> 00:00:50.460]  今天荒書的經課講到兩個
[00:00:50.460 --> 00:00:53.300]  很精彩 很重要
[00:00:53.300 --> 00:00:54.820]  耶穌基督所行的神蹟
[00:00:54.820 --> 00:00:56.500]  可能你也很熟悉
[00:00:56.980 --> 00:01:00.340]  甚至你也熟悉了上星期的父親節主日
[00:01:00.340 --> 00:01:02.600]  柏子孫教授也講過其中一個內容
[00:01:02.600 --> 00:01:05.900]  這兩個神蹟是代表著
[00:01:05.900 --> 00:01:07.440]  耶穌基督的能力
[00:01:07.440 --> 00:01:11.680]  同時也反映了當時一些追求信仰的人
[00:01:11.680 --> 00:01:13.780]  他的態度和想法
[00:01:13.780 --> 00:01:17.780]  今天很想我們再一次進入這段聖經
[00:01:17.780 --> 00:01:21.120]  去反思一下我們自己對信仰的一些看法
[00:01:21.120 --> 00:01:22.500]  或者一些價值
[00:01:22.500 --> 00:01:24.980]  一開始聖經裡面這樣說
[00:01:24.980 --> 00:01:27.340]  耶穌又坐船渡渡對岸
[00:01:27.340 --> 00:01:28.700]  這是第21節
[00:01:28.700 --> 00:01:31.380]  你要記得這段經文
[00:01:31.380 --> 00:01:33.420]  在《瑪芳》和《路加芳》都有同樣的記載
[00:01:33.420 --> 00:01:37.020]  就是耶穌和門徒坐船去這裡 去那裡
[00:01:37.020 --> 00:01:37.860]  為什麼呢?
[00:01:37.860 --> 00:01:39.380]  因為這段經文前面
[00:01:39.380 --> 00:01:41.700]  正正就是一段很重要的神蹟
[00:01:41.700 --> 00:01:43.700]  就是耶穌和門徒去到格拉森
[00:01:43.700 --> 00:01:47.380]  去將被鬼附的人
[00:01:47.380 --> 00:01:48.460]  將那些鬼趕走
[00:01:48.460 --> 00:01:49.620]  去那些豬群那裡
[00:01:49.620 --> 00:01:50.720]  記不記得這個故事?
[00:01:50.720 --> 00:01:52.180]  這就是格拉森的故事
[00:01:52.180 --> 00:01:53.400]  在之前
[00:01:53.400 --> 00:01:54.380]  因為他要去格拉森
[00:01:54.380 --> 00:01:55.740]  中間就要面對風浪
[00:01:55.740 --> 00:01:57.060]  所以耶穌平靜風浪
[00:01:57.060 --> 00:02:00.140]  就是說耶穌在門徒面前
[00:02:00.140 --> 00:02:01.660]  已經行了兩個很重要的神蹟
[00:02:01.660 --> 00:02:02.980]  就是平靜風浪
[00:02:02.980 --> 00:02:06.420]  以及將格拉森被鬼附的朋友的鬼趕走
[00:02:06.420 --> 00:02:08.380]  接著耶穌就和門徒
[00:02:08.380 --> 00:02:10.020]  去到這個地方
[00:02:10.020 --> 00:02:13.180]  回到海的另一邊對岸
[00:02:13.180 --> 00:02:15.980]  當時有一大群人圍著耶穌
[00:02:15.980 --> 00:02:16.580]  很簡單的
[00:02:16.580 --> 00:02:17.740]  為什麼有很多人圍著耶穌呢?
[00:02:17.740 --> 00:02:19.740]  很多人想找耶穌幫忙
[00:02:19.740 --> 00:02:21.020]  可能是治病
[00:02:21.020 --> 00:02:22.220]  可能是趕鬼
[00:02:22.220 --> 00:02:24.060]  他們去到海邊的時候
