
[00:00:00.000 --> 00:00:03.280]  教會是耶穌基督的身體
[00:00:03.280 --> 00:00:09.520]  是一群被呼召出來的一個群體
[00:00:09.520 --> 00:00:12.920]  教會是怎樣形成的呢?
[00:00:12.920 --> 00:00:18.720]  不是只是在說教會的歷史
[00:00:18.720 --> 00:00:22.280]  教會是人由人來聚集的
[00:00:22.280 --> 00:00:25.400]  我們進入教會的過程
[00:00:25.400 --> 00:00:29.960]  就是教會形成的過程
[00:00:29.960 --> 00:00:37.960]  今天我們紀念土瓜灣浸信會成立49週年的日子
[00:00:37.960 --> 00:00:41.960]  當然這個日子的計算
[00:00:41.960 --> 00:00:46.560]  是由我們成為一個獨立的教會開始計算
[00:00:46.560 --> 00:00:52.560]  但是我們開始有這個基督徒的群體
[00:00:52.560 --> 00:00:54.560]  就不止49年了
[00:00:54.560 --> 00:01:00.960]  如果你看秩序表後面Patrick寫的那篇文章就知道了
[00:01:00.960 --> 00:01:05.560]  這個群體的出現是由1957年開始的
[00:01:05.560 --> 00:01:09.560]  所以今年就應該是55年了
[00:01:09.560 --> 00:01:13.560]  55好記得49
[00:01:13.560 --> 00:01:15.560]  49好記得7749
[00:01:15.560 --> 00:01:19.560]  55年這個群體的出現
[00:01:19.560 --> 00:01:23.560]  當然它有它開始的歷史
[00:01:23.560 --> 00:01:30.560]  但是我們又不是每一個人都是在那個時間開始加入這個群體的
[00:01:30.560 --> 00:01:37.560]  我們在不同的日子來進入這個土瓜灣浸信會的
[00:01:37.560 --> 00:01:40.560]  所以就看大家什麼時候來的了
[00:01:40.560 --> 00:01:47.560]  如果誰是參加土瓜灣浸信會的聚會
[00:01:47.560 --> 00:01:49.560]  不超過5年的
[00:01:49.560 --> 00:01:52.560]  5年以內的請你舉手給我看看好不好
[00:01:52.560 --> 00:01:54.560]  5年以內的
[00:01:54.560 --> 00:01:58.560]  好一部分
[00:01:58.560 --> 00:02:02.560]  那你參加土瓜灣浸信會聚會
[00:02:02.560 --> 00:02:05.560]  由5年到15年的舉手
[00:02:05.560 --> 00:02:07.560]  5年到15年的
[00:02:07.560 --> 00:02:09.560]  多過5年少過15年的
[00:02:09.560 --> 00:02:16.560]  好那你參加土瓜灣浸信會
[00:02:16.560 --> 00:02:21.560]  超過15年又少過30年的舉手
[00:02:21.560 --> 00:02:25.560]  你20多歲而已
[00:02:25.560 --> 00:02:31.560]  都幾多
[00:02:31.560 --> 00:02:33.560]  祖堂這一個character
[00:02:33.560 --> 00:02:39.560]  那誰參加土瓜灣浸信會超過30年的舉手
[00:02:39.560 --> 00:02:43.560]  都有幾個
[00:02:43.560 --> 00:02:45.560]  這個數量和這個
[00:02:45.560 --> 00:02:47.560]  你都20多歲了不用舉了
[00:02:47.560 --> 00:02:50.560]  哎呀我看大了
[00:02:50.560 --> 00:02:56.560]  所以我們在不同的日子進入這個教會裏面
[00:02:56.560 --> 00:03:00.560]  我們都有不同的歷史有不同的經驗
[00:03:00.560 --> 00:03:05.560]  但是我們應該有一個很一致的經驗
[00:03:05.560 --> 00:03:10.560]  教會的形成我們一定有一些很相似的經驗
[00:03:10.560 --> 00:03:14.560]  我們先會來到成為基督徒我們先來到教會
[00:03:14.560 --> 00:03:17.560]  今天我們去思想教會的形成
[00:03:17.560 --> 00:03:19.560]  我們一起思想這些相似的經驗
[00:03:19.560 --> 00:03:23.560]  這些經驗記在這份所書二章一到十節
[00:03:23.560 --> 00:03:27.560]  這裏所形容的這裏所描述的
[00:03:27.560 --> 00:03:29.560]  應該是我們都有的經驗
