
[00:00:00.000 --> 00:00:04.000]  《獵王紀》、《合一王朝》系列的第十講
[00:00:04.000 --> 00:00:08.000]  我每五講或者十講就會提醒大家
[00:00:08.000 --> 00:00:11.000]  我講這麼多道、這麼多的系列做什麼?
[00:00:11.000 --> 00:00:14.000]  就是希望鼓勵大家一起來讀經
[00:00:14.000 --> 00:00:19.000]  如果你是一個星期聽我五篇道
[00:00:19.000 --> 00:00:23.000]  你可以是兩年半就讀完整部聖經
[00:00:23.000 --> 00:00:27.000]  而且你是會對聖經有很深入的認識
[00:00:27.000 --> 00:00:31.000]  為什麼?因為我是用聖經來解釋聖經
[00:00:31.000 --> 00:00:33.000]  我是用字面來解經
[00:00:33.000 --> 00:00:35.000]  所以如果大家一起讀經
[00:00:35.000 --> 00:00:38.000]  是會明白怎樣來閱讀聖經
[00:00:38.000 --> 00:00:41.000]  能夠有很深入的了解
[00:00:41.000 --> 00:00:45.000]  而我在每一個系列第一篇道
[00:00:45.000 --> 00:00:48.000]  我都是會講一個介紹
[00:00:48.000 --> 00:00:51.000]  給大家很多的資料、很多的背景
[00:00:51.000 --> 00:00:55.000]  以致是能夠更加深入明白聖經
[00:00:55.000 --> 00:01:00.000]  我今天要講的是《獵王紀》上的第十一章
[00:01:00.000 --> 00:01:03.000]  要講所羅門最後的故事
[00:01:03.000 --> 00:01:05.000]  他人生最後的故事
[00:01:05.000 --> 00:01:09.000]  我給這個題目是愚昧的智者
[00:01:09.000 --> 00:01:11.000]  誰是愚昧的智者?
[00:01:11.000 --> 00:01:12.000]  就是所羅門
[00:01:12.000 --> 00:01:16.000]  神給他智慧成為世上最有智慧的人
[00:01:16.000 --> 00:01:19.000]  但是他就沒有用到這些智慧
[00:01:19.000 --> 00:01:21.000]  他是用了他自己的手段
[00:01:21.000 --> 00:01:24.000]  很多時作出很愚昧的行為
[00:01:24.000 --> 00:01:26.000]  所以我們都要小心
[00:01:26.000 --> 00:01:28.000]  今天的副標題就是
[00:01:28.000 --> 00:01:30.000]  心偏離神一寸
[00:01:30.000 --> 00:01:33.000]  人生偏離神一里
[00:01:33.000 --> 00:01:34.000]  當我們在心裏面
[00:01:34.000 --> 00:01:37.000]  慢慢慢慢離棄神的時候
[00:01:37.000 --> 00:01:39.000]  我們可能不覺得
[00:01:39.000 --> 00:01:41.000]  但是當我們的心偏離一寸
[00:01:41.000 --> 00:01:43.000]  我們所做出來的事
[00:01:43.000 --> 00:01:47.000]  我們的人生就會偏離神很遠
[00:01:47.000 --> 00:01:50.000]  所以我們要很小心
[00:01:50.000 --> 00:01:53.000]  愚蠢的智者就是所羅門
[00:01:53.000 --> 00:01:55.000]  聖經絕對不會忽視
[00:01:55.000 --> 00:01:59.000]  在聖經裏面英雄人物的缺點
[00:01:59.000 --> 00:02:02.000]  有人說聖經就好像一幅大特寫
[00:02:02.000 --> 00:02:03.000]  將人的皺紋
[00:02:03.000 --> 00:02:07.000]  將人的雀斑全部顯出來
[00:02:07.000 --> 00:02:09.000]  我有一天在家裏
[00:02:09.000 --> 00:02:11.000]  突然間找到一個鏡子
[00:02:11.000 --> 00:02:13.000]  我是無意中找到的
[00:02:13.000 --> 00:02:16.000]  這個鏡子是凹了的
[00:02:16.000 --> 00:02:18.000]  凹了進去中間那裏
[00:02:18.000 --> 00:02:21.000]  原來我發覺是一個放大鏡
[00:02:21.000 --> 00:02:23.000]  我可以見到自己的臉上
[00:02:23.000 --> 00:02:28.000]  那些皺紋和雀斑全部放大了
[00:02:28.000 --> 00:02:29.000]  我說見鬼了
[00:02:29.000 --> 00:02:31.000]  為甚麼會有這樣的鏡子
[00:02:31.000 --> 00:02:33.000]  後來我才發覺
[00:02:33.000 --> 00:02:36.000]  原來是那些女士要來做甚麼
[00:02:36.000 --> 00:02:39.000]  發現自己有皺紋和雀斑
[00:02:39.000 --> 00:02:42.000]  知道用甚麼面相
[00:02:42.000 --> 00:02:45.000]  用甚麼辦法來護理
[00:02:45.000 --> 00:02:47.000]  聖經就是這樣
[00:02:47.000 --> 00:02:50.000]  你不要以為那些英雄人物
[00:02:50.000 --> 00:02:52.000]  聖經就不會說出他們的弱點
[00:02:52.000 --> 00:02:55.000]  所羅門也是一樣
[00:02:55.000 --> 00:02:59.000]  所羅門是神給他最大的智慧
[00:02:59.000 --> 00:03:02.000]  而且有難以置信的財富
[00:03:02.000 --> 00:03:06.000]  但他始終有一段時間離棄了神
[00:03:06.000 --> 00:03:09.000]  作出了愚蠢的決定
[00:03:09.000 --> 00:03:13.000]  以致使到以色列國分裂
[00:03:13.000 --> 00:03:16.000]  在《針研》的十九章三節
[00:03:16.000 --> 00:03:18.000]  是所羅門自己的寫作
[00:03:18.000 --> 00:03:22.000]  他為人的愚昧傾拜了他的道
[00:03:22.000 --> 00:03:25.000]  一個人不是不知道神的話語說甚麼
[00:03:25.000 --> 00:03:27.000]  但很多時會怎樣
[00:03:27.000 --> 00:03:31.000]  很多時在自己的身上疏忽了
[00:03:31.000 --> 00:03:32.000]  甚至像所羅門一樣
[00:03:32.000 --> 00:03:34.000]  他懂得教人
[00:03:34.000 --> 00:03:38.000]  但他自己就作出了愚蠢的行為
[00:03:38.000 --> 00:03:41.000]  我們很容易在所羅門的身上
[00:03:41.000 --> 00:03:46.000]  就能夠發覺他離棄神的原因是甚麼
[00:03:46.000 --> 00:03:51.000]  這就是我大綱第一和第二點
[00:03:51.000 --> 00:03:52.000]  第一點是甚麼
[00:03:52.000 --> 00:03:55.000]  所羅門違背了神的話語
[00:03:55.000 --> 00:03:59.000]  列王紀上的十一章一至八節
[00:03:59.000 --> 00:04:02.000]  第二點是他沒有聽到神的勸告
[00:04:02.000 --> 00:04:05.000]  甚至勸告他他都不聽
[00:04:05.000 --> 00:04:07.000]  九至二十五節
[00:04:07.000 --> 00:04:10.000]  於是神就興起了他的敵人
[00:04:10.000 --> 00:04:14.000]  其中一個就是以法連人耶羅波安
[00:04:14.000 --> 00:04:18.000]  在二十六至四十節
[00:04:18.000 --> 00:04:22.000]  還有所羅門最後是與列祖同睡
[00:04:22.000 --> 00:04:25.000]  四十一至四十三節
[00:04:25.000 --> 00:04:29.000]  我剛才說我是鼓勵大家一齊讀經
[00:04:29.000 --> 00:04:31.000]  如果你今天聽我這篇道
[00:04:31.000 --> 00:04:33.000]  就要讀列王紀上的十一章
[00:04:33.000 --> 00:04:37.000]  但不要忘記讀歷代之下的第九章
[00:04:37.000 --> 00:04:41.000]  因為所講的都是一樣的內容
[00:04:41.000 --> 00:04:44.000]  第一點我要和大家講的
[00:04:44.000 --> 00:04:47.000]  就是所羅門違背神的話語
[00:04:47.000 --> 00:04:49.000]  神的話語怎麼說
[00:04:49.000 --> 00:04:52.000]  不可回到埃及去
[00:04:52.000 --> 00:04:55.000]  那所羅門何時回到埃及
[00:04:55.000 --> 00:04:59.000]  他第一點就是娶了一個埃及的公主
[00:04:59.000 --> 00:05:02.000]  在列王紀上的第三章一至
[00:05:02.000 --> 00:05:06.000]  然後他去到埃及頻頻賣馬匹
