
[00:00:00.000 --> 00:00:02.200]  各位主內的親愛的影子妹
[00:00:02.200 --> 00:00:03.360]  大家聖誕快樂
[00:00:03.360 --> 00:00:07.120]  不知道今年的聖誕節平安夜
[00:00:07.120 --> 00:00:09.680]  你們是如何的度過的啊
[00:00:09.680 --> 00:00:11.280]  我自己在家中呢
[00:00:11.280 --> 00:00:15.880]  就突然聽到樓下傳來了聖詩的聲音
[00:00:15.880 --> 00:00:17.880]  還有小提琴的聲音
[00:00:17.880 --> 00:00:21.280]  聽到弟兄姊妹步道的聲音
[00:00:21.280 --> 00:00:23.920]  感到非常的親切
[00:00:23.920 --> 00:00:26.000]  也有點點意外
[00:00:26.000 --> 00:00:27.400]  後來突然想到呢
[00:00:27.400 --> 00:00:29.080]  原來我是身在香港
[00:00:30.000 --> 00:00:32.040]  呵呵
[00:00:32.040 --> 00:00:32.240]  好
[00:00:32.240 --> 00:00:32.640]  今天呢
[00:00:32.640 --> 00:00:39.480]  我們來跟大家分享的是馬太福音的第二章的第一到第三節
[00:00:39.480 --> 00:00:40.800]  時間有限
[00:00:40.800 --> 00:00:44.680]  所以我們就用很短的經文來分享
[00:00:44.680 --> 00:00:47.440]  我的題目的是令人不安的聖誕
[00:00:47.440 --> 00:00:48.960]  可能大家也覺得奇怪
[00:00:48.960 --> 00:00:51.760]  聖誕應該是令人平安的聖誕
[00:00:51.760 --> 00:00:53.280]  爲什麼是令人不安的呢
[00:00:53.280 --> 00:00:57.000]  我們一同來讀這段經文
[00:01:00.520 --> 00:01:01.120]  字這麼小
[00:01:01.120 --> 00:01:03.440]  好
[00:01:03.440 --> 00:01:04.520]  我們一起來讀啊
[00:01:04.520 --> 00:01:08.000]  請當西律王的時候
[00:01:08.000 --> 00:01:11.200]  耶穌生在猶太的伯利恆
[00:01:11.200 --> 00:01:15.920]  有幾個博士從東方來到耶路撒冷說
[00:01:15.920 --> 00:01:20.120]  那生下來做猶太人之王的在哪裏
[00:01:20.120 --> 00:01:25.040]  我們在東方看見他的星特來拜他
[00:01:25.040 --> 00:01:28.400]  西律王聽見了就心裏不安
[00:01:28.400 --> 00:01:32.360]  耶路撒冷合成的人也都不安
[00:01:32.360 --> 00:01:32.840]  好
[00:01:32.840 --> 00:01:34.200]  我們一同來禱告
[00:01:34.200 --> 00:01:36.640]  主耶穌
[00:01:36.640 --> 00:01:38.660]  我們迎接你的降臨
[00:01:38.660 --> 00:01:44.080]  我們也感恩能夠在我們有生之年認出你是我們的主
[00:01:44.080 --> 00:01:46.280]  接受你做我們的王
[00:01:46.280 --> 00:01:48.360]  我們感謝你賜給我們這樣的恩典
[00:01:48.360 --> 00:01:48.980]  也求主
[00:01:48.980 --> 00:01:52.960]  你今天再次讓你的平安臨到我們
