
[00:00:00.000 --> 00:00:03.960]  我們今天繼續是馬太福音第十三章
[00:00:03.960 --> 00:00:05.960]  講天國的比喻
[00:00:05.960 --> 00:00:07.960]  我們說耶穌基督
[00:00:07.960 --> 00:00:11.660]  一共在十三章講了八個比喻
[00:00:11.660 --> 00:00:14.320]  我們已經講了四個了
[00:00:14.320 --> 00:00:18.220]  今天要講第四個
[00:00:18.220 --> 00:00:21.480]  耶穌基督講了第四個比喻之後
[00:00:21.480 --> 00:00:24.320]  經文就說祂離開了眾人
[00:00:24.320 --> 00:00:26.320]  進了房子
[00:00:26.320 --> 00:00:30.080]  所以我們見到頭四個比喻
[00:00:30.080 --> 00:00:35.360]  耶穌基督是講給所有當時在場的人聽
[00:00:35.360 --> 00:00:37.720]  但是後面的四個比喻
[00:00:37.720 --> 00:00:41.320]  只不過是講給門徒聽
[00:00:41.320 --> 00:00:46.320]  今天所講的比喻和上一次講的比喻
[00:00:46.320 --> 00:00:49.440]  是有一個直接連帶的關係
[00:00:49.440 --> 00:00:53.320]  上一次跟大家講的是芥菜粽的比喻
[00:00:53.320 --> 00:00:56.000]  我說芥菜粽和麵包的比喻
[00:00:56.000 --> 00:01:00.480]  都是有關天國的影響力
[00:01:00.480 --> 00:01:04.520]  天國就好像芥菜粽一樣
[00:01:04.520 --> 00:01:07.240]  是有蔓延的力量
[00:01:07.240 --> 00:01:10.760]  天國也好像麵包一樣
[00:01:10.760 --> 00:01:12.520]  是有滲透的力量
[00:01:12.520 --> 00:01:14.200]  一個是外在的
[00:01:14.200 --> 00:01:17.200]  人們看得到天國的擴張
[00:01:17.200 --> 00:01:19.760]  一個是內在的看不到
[00:01:19.760 --> 00:01:22.920]  神是改變人的生命
[00:01:22.920 --> 00:01:28.640]  在每一個基督徒裡面作供
[00:01:28.640 --> 00:01:33.160]  我對芥菜粽的解釋
[00:01:33.160 --> 00:01:34.760]  是和很多人不同
[00:01:34.760 --> 00:01:38.480]  一般人只說芥菜粽的比喻
[00:01:38.480 --> 00:01:40.840]  是天國頭頭很小
[00:01:40.840 --> 00:01:42.840]  慢慢變得很大
[00:01:42.840 --> 00:01:46.600]  但我相信還有一個更重要的原因
[00:01:46.600 --> 00:01:49.200]  耶穌基督用芥菜粽做比喻
[00:01:49.200 --> 00:01:52.960]  就是因為芥菜粽有蔓延的能力
[00:01:52.960 --> 00:01:55.120]  以致好像天國一樣
[00:01:55.120 --> 00:01:58.520]  蔓延到全世界
[00:01:58.520 --> 00:02:00.520]  我對麵包的解釋
[00:02:00.520 --> 00:02:03.040]  也和很多解經家不同
[00:02:03.040 --> 00:02:04.120]  稍後就會看到
[00:02:04.120 --> 00:02:06.280]  我相信有很多解經家
[00:02:06.280 --> 00:02:07.480]  很多神學家
[00:02:07.480 --> 00:02:08.800]  對麵包的比喻
[00:02:08.800 --> 00:02:12.720]  都是有錯誤的解釋
[00:02:12.720 --> 00:02:15.200]  今天的經文很簡單
[00:02:15.200 --> 00:02:17.560]  剛才周長老也跟我們讀過
[00:02:17.560 --> 00:02:19.600]  《馬太福音》十三章
[00:02:19.600 --> 00:02:21.360]  是三十三節
[00:02:21.360 --> 00:02:23.120]  只有一節的經文
[00:02:23.120 --> 00:02:26.720]  經文說:他又對他們說過比喻說
[00:02:26.720 --> 00:02:28.680]  「天國好像麵包
[00:02:28.680 --> 00:02:32.680]  有婦人拿來藏在三斗麵裡
[00:02:32.680 --> 00:02:35.440]  直等全團都發起來」
[00:02:35.440 --> 00:02:38.000]  非常簡單的一節經文
[00:02:38.000 --> 00:02:43.160]  這節的經文也是很多猶太人所熟悉的一件事
[00:02:43.160 --> 00:02:44.120]  是說什麼?
[00:02:44.120 --> 00:02:47.080]  是說麵團的發酵
[00:02:47.080 --> 00:02:50.640]  整個麵團一起發酵
[00:02:50.640 --> 00:02:54.160]  是說做餅的時候揉麵團
[00:02:54.160 --> 00:02:59.080]  相信耶穌基督小時候也見過瑪利亞做餅
[00:02:59.080 --> 00:03:00.800]  做麵團的時候
[00:03:00.800 --> 00:03:02.240]  加一些酵母進去
[00:03:02.240 --> 00:03:05.440]  令整個麵團發酵
[00:03:05.440 --> 00:03:07.920]  究竟麵酵是什麼呢?
[00:03:07.920 --> 00:03:09.840]  麵酵其實很簡單
[00:03:09.840 --> 00:03:11.960]  你做麵團的時候
[00:03:11.960 --> 00:03:14.400]  你是撕開一點點放在那裡
[00:03:14.400 --> 00:03:16.320]  留待下次才用
[00:03:16.320 --> 00:03:18.440]  這個變成了舊的麵團
[00:03:18.440 --> 00:03:19.600]  是一部分
[00:03:19.600 --> 00:03:21.400]  這個麵團裡面是有酵的
[00:03:21.400 --> 00:03:22.720]  是有細菌的
[00:03:22.720 --> 00:03:25.160]  所以到了新的麵團的時候
[00:03:25.160 --> 00:03:29.880]  又可以發起整個新的麵團
[00:03:29.880 --> 00:03:35.040]  酵其實就是舊麵團的一部分
[00:03:35.040 --> 00:03:37.960]  經文說到有三斗的麵
[00:03:37.960 --> 00:03:41.160]  很多人會問三斗有多少呢?
[00:03:41.160 --> 00:03:44.760]  其實這個數字在聖經裡頻頻出現
[00:03:44.760 --> 00:03:47.600]  創世紀十八章六至七節
[00:03:47.600 --> 00:03:50.040]  說伯拉罕叫撒拉
[00:03:50.040 --> 00:03:54.520]  是預備三世亞的誓面
[00:03:54.520 --> 00:03:58.400]  三世亞其實就等於三斗一樣多
