
[00:00:00.000 --> 00:00:02.640]  好 各位網友早晨
[00:00:02.640 --> 00:00:07.400]  那就不用潑下潑下了 可以更加專心聽到
[00:00:07.400 --> 00:00:11.400]  很感恩 和大家繼續去看約書亞記
[00:00:11.400 --> 00:00:18.280]  那還記得上個禮拜說什麼嗎?
[00:00:18.280 --> 00:00:23.200]  好像也有些回響 很多人都說上個禮拜很有深印象
[00:00:23.200 --> 00:00:26.600]  上個禮拜我提過一個叫約書亞時刻
[00:00:26.600 --> 00:00:28.920]  什麼叫約書亞時刻呢?
[00:00:28.920 --> 00:00:30.840]  你的約書亞時刻是什麼呢?
[00:00:30.840 --> 00:00:34.040]  有沒有一個可能熟悉的階段將會結束
[00:00:34.040 --> 00:00:36.560]  將會有一個新的站的開始
[00:00:36.560 --> 00:00:41.920]  在這個轉折期 我們怎樣去面對呢?
[00:00:41.920 --> 00:00:44.440]  在約書亞的第一章提醒我們
[00:00:44.440 --> 00:00:48.800]  我們要好好的去抓住上帝給我們的應許
[00:00:48.800 --> 00:00:53.840]  祂給我們的同在那份的應許是最重要的
[00:00:53.840 --> 00:00:57.080]  而且我們要知道 神給我們的使命
[00:00:57.080 --> 00:01:01.400]  以致我們願意踏出去 進入一個新的階段
[00:01:01.400 --> 00:01:03.080]  而當中最重要的是什麼呢?
[00:01:03.080 --> 00:01:06.160]  記得我們說過第一章第八節
[00:01:06.160 --> 00:01:08.920]  我們要好好的將上帝的話語
[00:01:08.920 --> 00:01:11.440]  晝夜思想 要反錯
[00:01:11.440 --> 00:01:14.840]  然後更加要緊守 要遵行
[00:01:14.840 --> 00:01:18.080]  不是只是記了神的話語 要走出來才行
[00:01:18.080 --> 00:01:21.200]  當你緊守遵行的時候 上帝就說你會怎樣?
[00:01:21.200 --> 00:01:24.080]  與你同在 你不需要再害怕
[00:01:24.080 --> 00:01:27.280]  你就能夠放膽向前行
[00:01:27.280 --> 00:01:30.600]  今天我們不可能逐一約書亞看
[00:01:30.600 --> 00:01:34.160]  所以拉合那一段就要跳過了
[00:01:34.160 --> 00:01:36.480]  我們從第三章下去
[00:01:36.480 --> 00:01:40.720]  我們還有第二個時刻 叫做約旦河時刻
[00:01:40.720 --> 00:01:42.680]  意思是過約旦河時刻
[00:01:42.680 --> 00:01:45.800]  這些字比較看不清楚 黑色的字
[00:01:45.800 --> 00:01:48.080]  其實如果你看回經文
[00:01:48.080 --> 00:01:54.160]  那個約旦河的水漲 而且是不容易走的路
[00:01:54.160 --> 00:01:57.040]  那些水漲得來 而且很大浪
[00:01:57.040 --> 00:02:00.120]  河也很大浪 因為那時是收割的時候
[00:02:00.120 --> 00:02:03.520]  而且對於約書亞和以色列人來說
[00:02:03.520 --> 00:02:07.080]  是一條從來沒有走過的路
[00:02:07.080 --> 00:02:09.120]  記住是從來沒有走過的路
