
[00:00:00.000 --> 00:00:04.600]  我們今天是紀念聖靈降臨的主日
[00:00:04.600 --> 00:00:08.560]  也是每年在復活節之後的五十天
[00:00:08.560 --> 00:00:11.200]  我們會思想聖經所描述的
[00:00:11.200 --> 00:00:15.400]  就是當聖靈降臨的時候 教會開始
[00:00:15.400 --> 00:00:20.800]  也讓我們成為了今天我們上上一個重要的紀念
[00:00:20.800 --> 00:00:23.600]  神賜聖靈在我們的生命當中
[00:00:23.600 --> 00:00:26.800]  我們大家一起先祈禱 我們同心仰望著
[00:00:31.000 --> 00:00:33.000]  天父我們感謝祢
[00:00:33.000 --> 00:00:38.000]  因為祢樂意將祢自己賜下在我們生命中
[00:00:38.000 --> 00:00:42.000]  祢這個聖靈住在我們生命的裡面
[00:00:42.000 --> 00:00:44.000]  每一天與我們同在
[00:00:44.000 --> 00:00:47.000]  主我們深刻地渴慕祢
[00:00:47.000 --> 00:00:51.000]  因為我們知道在世上沒有任何的事情
[00:00:51.000 --> 00:00:54.000]  能夠真正滿足我們的心
[00:00:54.000 --> 00:00:56.000]  因為我們是祢所創造的
[00:00:56.000 --> 00:01:00.000]  唯有祢真正成為我們的滿足
[00:01:00.000 --> 00:01:03.000]  主我們今天在祢面前一起思想
[00:01:03.000 --> 00:01:06.000]  你聖經裡面聖靈的真理
[00:01:06.000 --> 00:01:11.000]  我們仰望聖靈 真理的聖靈在我們內心指教我們
[00:01:11.000 --> 00:01:15.000]  讓我們在祢面前心靈學習明白
[00:01:15.000 --> 00:01:19.000]  又知道每一天順從聖靈來生活
[00:01:19.000 --> 00:01:23.000]  求祢帶領我們 引導我們的心思
[00:01:23.000 --> 00:01:28.000]  我們仰望祈禱 奉耶穌聖名求 阿們
[00:01:53.000 --> 00:01:57.000]  有聖靈住在我們的心中
[00:01:57.000 --> 00:02:01.000]  很多基督徒當我們信主的那一刻
[00:02:01.000 --> 00:02:04.000]  就體會到聖靈在我們心中的感動
[00:02:04.000 --> 00:02:07.000]  幫助我們來信靠耶穌
[00:02:07.000 --> 00:02:09.000]  也看到自己生命的改變
[00:02:09.000 --> 00:02:13.000]  很多時候聽到鄧英哲講我們信耶穌的經過的時候
[00:02:13.000 --> 00:02:16.000]  都會體會這一方面
[00:02:16.000 --> 00:02:19.000]  我記得其中一位弟兄講述他自己信耶穌的經過
[00:02:19.000 --> 00:02:27.000]  我簡單講講 他本身和太太有很不和諧的關係
[00:02:27.000 --> 00:02:29.000]  夫婦之間經常有很多爭執
[00:02:29.000 --> 00:02:31.000]  他太太後來信了耶穌
