
[00:00:00.000 --> 00:00:03.720]  我想問一下你現在
[00:00:03.720 --> 00:00:07.720]  你和自己的腦和心去溝通一下
[00:00:07.720 --> 00:00:11.920]  你想一下 你感受一下自己裏面
[00:00:11.920 --> 00:00:13.520]  我會問你幾樣東西
[00:00:13.520 --> 00:00:22.160]  你看一下有沒有這樣的心裏面有一個共鳴
[00:00:22.160 --> 00:00:25.320]  你現在覺得怎樣?
[00:00:25.320 --> 00:00:28.480]  你心裏面覺得平靜安穩的
[00:00:28.480 --> 00:00:34.280]  可以舉手來看一下 真的很平靜安穩
[00:00:34.280 --> 00:00:41.680]  好 有沒有人心裏面覺得很心滿意足的?
[00:00:41.680 --> 00:00:45.560]  心滿意足
[00:00:45.560 --> 00:00:50.200]  有沒有人是有心無力的?
[00:00:50.200 --> 00:00:52.760]  有心無力
[00:00:52.760 --> 00:00:55.080]  多謝你們舉手
[00:00:55.080 --> 00:00:57.600]  其實都不一定要舉手的
[00:00:57.600 --> 00:01:00.760]  有沒有人覺得心煩氣躁呢?
[00:01:00.760 --> 00:01:03.040]  心煩氣躁
[00:01:03.040 --> 00:01:06.760]  都有一句 男士都會心煩氣躁
[00:01:06.760 --> 00:01:13.920]  悶悶不樂 有沒有人悶悶不樂?
[00:01:13.920 --> 00:01:18.400]  我自己接觸到或者見到的人
[00:01:18.400 --> 00:01:21.080]  我發覺都不少人比較疲倦
[00:01:21.080 --> 00:01:22.880]  又不知道和冬天有沒有關係
[00:01:22.880 --> 00:01:27.680]  冬天好像有一種冬眠的狀態
[00:01:27.680 --> 00:01:30.800]  我看我家裏的小動物
[00:01:30.800 --> 00:01:32.680]  有些女兒 不是女兒
[00:01:32.680 --> 00:01:37.840]  是女兒幾個月前我們買了一隻兔子回來
[00:01:37.840 --> 00:01:39.920]  牠很喜歡要刮洞
[00:01:39.920 --> 00:01:42.160]  因為我沒有養過兔子
[00:01:42.160 --> 00:01:44.200]  我養龜都會死的
[00:01:44.200 --> 00:01:47.840]  所以我都有一點陰影
[00:01:47.840 --> 00:01:51.000]  而且那隻龜死得很慘
[00:01:51.000 --> 00:01:52.720]  那隻龜的殼是硬的
[00:01:52.720 --> 00:01:54.120]  我不知道為什麼小時候養龜
[00:01:54.120 --> 00:01:56.720]  那隻龜的殼變得軟的
[00:01:56.720 --> 00:01:57.760]  我都不知道發生什麼事
[00:01:57.760 --> 00:01:59.040]  不知道發生什麼病
[00:01:59.040 --> 00:02:02.680]  總之我又沒有對牠做什麼
[00:02:02.680 --> 00:02:05.120]  但不知道為什麼那隻龜的殼自己變軟了
[00:02:05.120 --> 00:02:07.000]  所以有些陰影 養寵物
[00:02:07.000 --> 00:02:09.480]  不過無論如何我太太小時候
[00:02:09.480 --> 00:02:10.960]  一直都有養寵物
[00:02:10.960 --> 00:02:14.240]  所以鼓勵女兒覺得這樣會有愛心一點
[00:02:14.240 --> 00:02:14.960]  就是養寵物
[00:02:14.960 --> 00:02:16.200]  我都覺得是的
[00:02:16.200 --> 00:02:17.320]  因為我沒有養寵物
[00:02:17.320 --> 00:02:21.560]  我都是愛心少一點
[00:02:21.560 --> 00:02:23.720]  所以現在有一隻寵物在家裡
[00:02:23.720 --> 00:02:24.920]  牠愛小兔子
[00:02:24.920 --> 00:02:27.320]  小兔子就不斷地刮洞
[00:02:27.320 --> 00:02:29.560]  刮到家裡的洞
[00:02:29.560 --> 00:02:30.960]  其實沒有什麼地方讓牠刮
[00:02:30.960 --> 00:02:33.280]  但總之稍微有一點沙的地方
[00:02:33.280 --> 00:02:35.280]  牠就不斷地在刮
[00:02:35.280 --> 00:02:38.560]  試過有一次刮到隔壁
[00:02:38.560 --> 00:02:39.480]  我們都想著
[00:02:39.480 --> 00:02:42.040]  沒有了 直接刮到隔壁的房子那裡
[00:02:42.040 --> 00:02:43.520]  那就算了
[00:02:43.520 --> 00:02:47.000]  就想著看看會不會走了
[00:02:47.000 --> 00:02:48.600]  過了隔壁可能就走了
[00:02:48.600 --> 00:02:51.600]  不過最後牠自己很快的
[00:02:51.600 --> 00:02:52.720]  不知道幾個字之後
[00:02:52.720 --> 00:02:54.000]  突然出現在我們前面
[00:02:54.000 --> 00:02:56.240]  我想是肚子餓還是怎麼樣
[00:02:56.240 --> 00:02:57.680]  那就出現了
[00:02:57.680 --> 00:02:58.560]  是 說了什麼呢
[00:02:58.560 --> 00:02:59.640]  說到冬眠
[00:02:59.640 --> 00:03:03.800]  就是可能會比較累的人
[00:03:03.800 --> 00:03:07.840]  無論可能在身體上會疲累
[00:03:07.840 --> 00:03:11.440]  或者心靈裡面都會疲累
[00:03:11.440 --> 00:03:13.040]  有些家庭的重擔
[00:03:13.040 --> 00:03:16.360]  有些人家庭裡面
[00:03:16.360 --> 00:03:18.960]  家庭的成員有些特別的需要
[00:03:18.960 --> 00:03:23.600]  經常都需要被照顧
[00:03:23.600 --> 00:03:28.800]  其實被照顧的有時候都不容易受的
[00:03:28.800 --> 00:03:31.040]  被照顧的心裡面又會覺得
[00:03:31.040 --> 00:03:33.400]  會拖累別人
[00:03:33.400 --> 00:03:36.000]  在我們當中都有些年輕的家庭
[00:03:36.000 --> 00:03:38.840]  有些小朋友
