
[00:01:40.360 --> 00:01:43.080]  社會地位如何,收入多少
[00:01:43.080 --> 00:01:44.920]  你判斷了我怎麼對待他
[00:01:44.920 --> 00:01:49.520]  但是忘記了,我們所有人都是因為因點坐在這裡的
[00:01:49.520 --> 00:01:52.920]  所以你開始明白,500多年我們教會裡面
[00:01:52.920 --> 00:01:56.960]  仍然不能夠將全是因點深化,這是第一個問題
[00:01:56.960 --> 00:02:01.680]  第二個問題,今天有教會要設立先知在這裡每個禮日
[00:02:01.680 --> 00:02:05.400]  差不多每一天甚至每個禮拜去回答信徒的求問
[00:02:05.400 --> 00:02:08.280]  我想告訴你,這些教會是道人迷信
[00:02:08.280 --> 00:02:12.400]  因為和求籤是問米問卜是沒有分別的
[00:02:12.400 --> 00:02:17.240]  重點在這裡,重點是破壞了整個救恩
[00:02:17.240 --> 00:02:22.240]  因為將信徒的信心建立在一個叫先知的人身上
[00:02:22.240 --> 00:02:25.600]  而不是建立在上帝的身上
[00:02:25.600 --> 00:02:29.360]  而且在救恩裡面不應該再有任何中寶
[00:02:29.360 --> 00:02:33.240]  和你旁邊的弟兄們說一聲,只有耶穌是中寶
[00:02:33.240 --> 00:02:35.560]  但是500多年的教會歷史裡面
[00:02:35.560 --> 00:02:40.000]  我們試圖用很多東西代替了耶穌
[00:02:40.000 --> 00:02:44.400]  用人,用不同的角色,用任何角色的表達
[00:02:44.400 --> 00:02:48.720]  只不過就是加添了救恩多一點的功勞
[00:02:48.720 --> 00:02:52.280]  這個是完全破壞了全是恩典的救恩
[00:02:52.280 --> 00:02:54.760]  所以我要針對的不是先知運動
[00:02:54.760 --> 00:02:57.400]  我要針對的是先知本身的角色
[00:02:57.400 --> 00:03:00.040]  今天將信徒帶回救藥那裡,這是第一個大問題
[00:03:00.040 --> 00:03:01.920]  我們今天活在新藥,不是救藥
[00:03:01.920 --> 00:03:03.920]  第二個大問題就是說
[00:03:03.920 --> 00:03:08.840]  今天我們的重點,我們的救恩是沒有任何中寶在的
[00:03:08.840 --> 00:03:12.240]  更加恐怖的是,我們講加拉太書的時候
[00:03:12.240 --> 00:03:15.040]  現在有一個基督教的報紙
[00:03:15.040 --> 00:03:19.840]  有一篇專欄是用拉比回答聖經的問題
[00:03:19.840 --> 00:03:24.960]  拉比如何解讀經文,我看完之後有點嘔心
[00:03:24.960 --> 00:03:28.560]  根本拉比的解經和我們的解經是一樣的
[00:03:28.560 --> 00:03:30.800]  為什麼我要聽拉比講?
[00:03:30.800 --> 00:03:32.640]  我看不到有特別的地方
[00:03:32.640 --> 00:03:36.040]  但反而問題是拉比是不信耶穌的
[00:03:36.040 --> 00:03:40.440]  我們為什麼要聽一個不信耶穌的人去幫我們解釋聖經?
[00:03:40.440 --> 00:03:44.000]  拉比是沒有新藥的,我們必須用新藥去解釋舊藥
[00:03:44.000 --> 00:03:45.640]  而不是用舊藥去解釋新藥
[00:03:45.640 --> 00:03:50.480]  這些都是破壞了救恩的一個很重要的問題
[00:03:50.480 --> 00:03:52.320]  為什麼?因為拉比解經的時候
[00:03:52.320 --> 00:03:57.160]  就會將人帶回到律法主義的那條歷史線
[00:03:57.160 --> 00:03:58.960]  這是保羅所反對的
[00:03:58.960 --> 00:04:00.840]  如果是這樣的話,就開始知道
[00:04:00.840 --> 00:04:03.920]  保羅罵的不是一些行為差異的問題
[00:04:03.920 --> 00:04:06.640]  羅馬書《亂經文》反而說
[00:04:06.640 --> 00:04:08.680]  你要接納那些行為有差異的人
[00:04:08.680 --> 00:04:12.760]  但他要罵的是破壞了信仰核心的
[00:04:12.760 --> 00:04:15.880]  我們看看羅馬書1-11講全是恩典的時候
[00:04:15.880 --> 00:04:17.080]  12章第1節保羅說
[00:04:17.080 --> 00:04:21.440]  如果既是恩典,我們將身體獻上成為了活祭
[00:04:21.440 --> 00:04:24.080]  成為活祭不是一個虛詞
[00:04:24.080 --> 00:04:28.200]  他說接下來要做的就是要建立一個健康的自我形象
[00:04:28.200 --> 00:04:32.120]  同理界人體基本上是有一個健康的自我形象
[00:04:32.120 --> 00:04:34.200]  這裡我要重新講
[00:04:34.200 --> 00:04:39.480]  健康自我形象不是外面的那些自我成長小組
[00:04:39.480 --> 00:04:44.400]  心理學、輔導學、自強不息的課程講的那種健康自我形象
[00:04:44.400 --> 00:04:46.480]  《聖經》完全不是在講這些
[00:04:46.480 --> 00:04:49.840]  《聖經》在講的不要看自己太高,不要看自己太低
[00:04:49.840 --> 00:04:51.200]  但是怎麼應用呢?
[00:04:51.200 --> 00:04:54.560]  保羅原來在12章第3節就成為了一條鎖匙
[00:04:54.560 --> 00:04:58.120]  拆解了12章和16章的整個結構
[00:04:58.120 --> 00:05:03.440]  第一個段落應該就是在講12章4-5節
[00:05:03.440 --> 00:05:09.800]  既然有健康的自我形象就能夠和隔壁的弟兄姐妹合而為一
[00:05:09.800 --> 00:05:11.920]  你再看一看你隔壁的弟兄姐妹
[00:05:11.920 --> 00:05:13.640]  她和你是不同的
[00:05:13.640 --> 00:05:15.800]  正正因為不同我們不會比較
[00:05:15.800 --> 00:05:17.960]  我們反而會配搭
