
[00:00:00.000 --> 00:00:09.000]  看完節目早晨,如果你有聖經的話,你可以翻開《馬太福音》五章三十八至四十一節。
[00:00:09.000 --> 00:00:19.000]  我亦都有很多迴響,我亦都有powerpoint,你們可以看看powerpoint,都方便的。
[00:00:19.000 --> 00:00:25.000]  OK,我想和大家先讀一個經文,好嗎?
[00:00:25.000 --> 00:00:29.000]  我們一起讀完這四節的經文,預備起!
[00:00:29.000 --> 00:00:35.000]  你們聽見有話說,以眼還眼,以牙還牙。
[00:00:35.000 --> 00:00:39.000]  只是我告訴你們,不要與惡人作對。
[00:00:39.000 --> 00:00:45.000]  有人打你的右臉,連左臉也親過來由他打。
[00:00:45.000 --> 00:00:52.000]  有人想要告你,要拿你的女衣,和外衣那由他拿去。
[00:00:52.000 --> 00:00:58.000]  有人強迫你走一里路,你就和他走二里。
[00:00:58.000 --> 00:01:06.000]  這裡耶穌這樣說,如果有人打你右臉,你就轉左臉給他打。
[00:01:06.000 --> 00:01:11.000]  如果今天有人真的這樣打你右臉,你會不會給他打左臉?
[00:01:11.000 --> 00:01:15.000]  你會怎樣反應?我打你回頭,打我。
[00:01:15.000 --> 00:01:26.000]  可能很多小人會跟著耶穌這樣做,如果你真的跟著耶穌這樣做,你會覺得自己很吃虧,很委屈,覺得自己很逆來順受在裏面。
[00:01:26.000 --> 00:01:33.000]  但耶穌真的這樣說,究竟耶穌怎樣教?究竟祂的用意是怎樣?
[00:01:33.000 --> 00:01:36.000]  我想和大家一起看看。
[00:01:36.000 --> 00:01:42.000]  這段聖經《馬太福音》第五章三十八節寫時,
[00:01:42.000 --> 00:01:50.000]  它是屬於在一個段落裏面,在《馬太福音》第五章第七章,一段落我們稱之為「登山補訓」。
[00:01:50.000 --> 00:02:00.000]  就是耶穌向這三個門徒講述關於一個天國子民在天國裏面的生活倫理和生活品質是怎樣。
[00:02:00.000 --> 00:02:07.000]  因為我們屬為天國的人,我們應該流露一些心靈的品質,生活的表現。
[00:02:07.000 --> 00:02:18.000]  但這個天國的質素,你會發覺和我們世人,社會裏面的人的看法和做法是很不同的。
[00:02:18.000 --> 00:02:22.000]  是有別於,好像很另類的,甚至你會覺得很顛覆性的。
[00:02:22.000 --> 00:02:27.000]  如果剛才聽完這樣講的時候,你會發覺不是這樣,耶穌是這樣講的,很顛覆性的。
[00:02:27.000 --> 00:02:33.000]  有時有些人覺得根本不是很實際,都做不到的,耶穌好像為難我們。
[00:02:33.000 --> 00:02:41.000]  譬如裏面講到監人的情況,耶穌這樣講,如果你見到一個婦女中了淫亂,你已經來犯了監人。
[00:02:41.000 --> 00:02:44.000]  嘩!不是吧!這樣就是!
[00:02:44.000 --> 00:02:52.000]  耶穌又講,如果施捨的時候裏面,你不要做在人前面,你用左手連右手都不知道自己所做的。
[00:02:52.000 --> 00:02:54.000]  即是什麼?做了之後不知道的。
[00:02:54.000 --> 00:02:58.000]  就是你要愛你的敵人,愛你的受敵。
[00:02:58.000 --> 00:03:03.000]  耶穌提出這些真三補份的教導,反而覺得是很顛覆性的。
[00:03:03.000 --> 00:03:07.000]  甚至到今日來說,你會覺得對你來說是很大的挑戰在裏面。
[00:03:07.000 --> 00:03:14.000]  你會發覺在真三補份裏面,還有一個特色,就是耶穌很講明,祂會帶出一個新的準繩。
[00:03:14.000 --> 00:03:22.000]  你會聽見古人這樣講,但是我現在都告訴你,耶穌是提出一個很新的做法。
[00:03:22.000 --> 00:03:25.000]  但是這件事,祂又不是代表祂否定了舊約的律例。
[00:03:25.000 --> 00:03:38.000]  耶穌說,我來不是廢掉了先知和律法所講的東西,我是要成全祂,即是實現這個先知律例背後的精神重點的真正用意在哪裏。
[00:03:38.000 --> 00:03:48.000]  所以耶穌提出的時候裏面,祂會帶出真三補份是一個很律法的精神,亦都是天國子民當有的。
[00:03:48.000 --> 00:03:52.000]  其中就是剛才大家所誦讀的那段聖經。
[00:03:52.000 --> 00:03:59.000]  在舊約裏面,都會有一個律例,就是如果有人傷害了你的時候,你會怎樣呢?
[00:03:59.000 --> 00:04:04.000]  「以牙還牙」,就是「以眼還眼,以牙還牙」在裏面。
[00:04:04.000 --> 00:04:08.000]  但是耶穌告訴你,不是的,你不要和惡人作對。
[00:04:08.000 --> 00:04:16.000]  這個就是經文裏面,戴上一隻牙,我戴上那隻牙都是爛的,戴上一隻爛的,大家就不要和惡人作對了。
[00:04:16.000 --> 00:04:19.000]  就不是叫你「以牙還牙,以牙還眼,以眼還眼」。
[00:04:19.000 --> 00:04:24.000]  然後用了三個例子,就是解釋怎樣不要與惡人作對。
[00:04:24.000 --> 00:04:32.000]  所以今天大家在這段經文裏面,你要學的是不要和惡人作對,不是叫你跟三個例子去做。
[00:04:32.000 --> 00:04:39.000]  這三個例子是做不到的,因為是當時一世紀巴哈斯坦的情景,根本不會在我今時今日的情況發生的。
[00:04:39.000 --> 00:04:46.000]  不過,去拿這三個例子來解釋,何謂叫做「不與惡人作對」呢?
[00:04:46.000 --> 00:04:56.000]  首先我們要理解這三十八節,為甚麼耶穌說,舊約聖經有這樣的教導,「以眼還眼,以牙還牙」。
[00:04:56.000 --> 00:05:09.000]  其實這是一個規定,如果有人傷害你,你可以回報他,不過有一個限制,這個限制是不可以過分地報復。
[00:05:09.000 --> 00:05:19.000]  這是一個公義或公平的守則,意思就是,如果有人傷害你,他一定要受到刑罰,但你不可以過分地報復。
[00:05:19.000 --> 00:05:22.000]  你打一拳不要打兩拳,你只要打一拳,就是這麼簡單。
[00:05:22.000 --> 00:05:29.000]  你過分的時候就不可以,因為有時候有些人很怒氣,怒氣的時候我打了你幾拳,這樣就不可以。
[00:05:29.000 --> 00:05:42.000]  而且既然是律法,就不是一般人私刑執法的,是審判了之後有律法,有審判官來執行刑罰,所以是防止私下執法的,所以是避免這種情況。
