
[00:00:00.000 --> 00:00:20.000]  [祈禱]
[00:00:20.000 --> 00:00:22.000]  平安!
[00:00:22.000 --> 00:00:24.000]  感謝神給我們今天有機會
[00:00:24.000 --> 00:00:26.000]  一起來唸神的話語
[00:00:26.000 --> 00:00:28.000]  我們剛纔唸了蠻長的一段
[00:00:28.000 --> 00:00:31.000]  在舊約聖經六王記下十七章
[00:00:31.000 --> 00:00:34.000]  大家肯定知道了我們今天的主祖
[00:00:34.000 --> 00:00:37.000]  我們要特別研究的人物就是以利亞
[00:00:37.000 --> 00:00:42.000]  以利亞在以色列人的歷史當中是一個英雄
[00:00:42.000 --> 00:00:46.000]  當然就是信仰上的英雄
[00:00:46.000 --> 00:00:49.000]  以利亞剛纔我們都看到了
[00:00:49.000 --> 00:00:53.000]  他是在以色列亡國的時候的一個很著名的先知
[00:00:53.000 --> 00:00:56.000]  他的著名就是後來到了新約
[00:00:56.000 --> 00:00:58.000]  大家可能還記得
[00:00:58.000 --> 00:01:01.000]  當事實約翰出來傳道的時候
[00:01:01.000 --> 00:01:03.000]  很有能力很震撼的時候
[00:01:03.000 --> 00:01:06.000]  人家就說是以利亞再來了
[00:01:06.000 --> 00:01:07.000]  再臨
[00:01:07.000 --> 00:01:08.000]  就是翻身了
[00:01:08.000 --> 00:01:09.000]  復生了
[00:01:09.000 --> 00:01:12.000]  所以人家的心中
[00:01:12.000 --> 00:01:15.000]  以利亞在歷史上是最有力量
[00:01:15.000 --> 00:01:18.000]  最有影響力扭轉歷史的一個人
[00:01:18.000 --> 00:01:21.000]  所以誰有這樣的一種表現的話
[00:01:21.000 --> 00:01:22.000]  他們就想象
[00:01:22.000 --> 00:01:26.000]  哇就是那個以利亞這個靈再來了
[00:01:26.000 --> 00:01:28.000]  所以耶穌曾經也有人說
[00:01:28.000 --> 00:01:30.000]  可能他就是以利亞再來
[00:01:30.000 --> 00:01:31.000]  所以無論如何
[00:01:31.000 --> 00:01:33.000]  以利亞是一個很重要的人物
[00:01:33.000 --> 00:01:34.000]  在舊約裏面
[00:01:34.000 --> 00:01:38.000]  大家如果要選兩個最有影響力
[00:01:38.000 --> 00:01:42.000]  最歷史上以色列人最喜歡的兩個人物
[00:01:42.000 --> 00:01:43.000]  一個是摩西
[00:01:43.000 --> 00:01:45.000]  一個就是以利亞
[00:01:45.000 --> 00:01:49.000]  所以我們今天來研究以利亞
[00:01:49.000 --> 00:01:53.000]  那麼以利亞怎麼可以成爲這麼重要的一個人物
[00:01:53.000 --> 00:01:55.000]  我們說
[00:01:55.000 --> 00:01:58.000]  好像世界上所有的人一樣
[00:01:58.000 --> 00:02:01.000]  重要的人物不是從天掉下來的
[00:02:01.000 --> 00:02:03.000]  是需要一個過程
[00:02:03.000 --> 00:02:07.000]  尤其是我們今天特別研究以利亞的時候
[00:02:07.000 --> 00:02:10.000]  尤其是如果我們從出生
[00:02:10.000 --> 00:02:11.000]  他的家底
[00:02:11.000 --> 00:02:12.000]  他的教育
[00:02:12.000 --> 00:02:14.000]  他的性格
[00:02:14.000 --> 00:02:15.000]  他的能力方面
[00:02:15.000 --> 00:02:21.000]  全都沒有偉大的這樣的一個的元素在裏面
[00:02:21.000 --> 00:02:22.000]  我剛纔說的話
[00:02:22.000 --> 00:02:25.000]  有些朋友弟兄姐妹心裏面
[00:02:25.000 --> 00:02:27.000]  就如果比較認識以利亞
[00:02:27.000 --> 00:02:29.000]  就有點不贊成
[00:02:29.000 --> 00:02:31.000]  他說以利亞不是很厲害嗎
[00:02:31.000 --> 00:02:32.000]  很有能力嗎
[00:02:32.000 --> 00:02:36.000]  我們記得以利亞最著名的就是一個人
[00:02:36.000 --> 00:02:38.000]  在那個加密三項
[00:02:38.000 --> 00:02:43.000]  對抗850個假先知
[00:02:43.000 --> 00:02:46.000]  他代表了耶和華上帝的真神
[00:02:46.000 --> 00:02:48.000]  然後有850個
[00:02:48.000 --> 00:02:50.000]  450個是巴黎的
[00:02:50.000 --> 00:02:52.000]  400個是亞細亞拉
[00:02:52.000 --> 00:02:57.000]  都是當時候一幫的那些一幫的宗教
[00:02:57.000 --> 00:02:59.000]  因爲他們的皇帝
