
[00:00:00.000 --> 00:00:03.320]  有位小朋友去生日的時候
[00:00:03.320 --> 00:00:04.320]  去叫媽媽
[00:00:04.320 --> 00:00:08.320]  媽媽可不可以給一個足球作為我生日的禮物呢?
[00:00:08.320 --> 00:00:11.720]  媽媽就好像很多父母一樣的回應
[00:00:11.720 --> 00:00:13.120]  踢球有什麼好?
[00:00:13.120 --> 00:00:15.120]  經常跑來跑去
[00:00:15.120 --> 00:00:19.120]  不如我給你一部英文字典機
[00:00:19.120 --> 00:00:21.920]  好不好?可以學英文
[00:00:21.920 --> 00:00:26.720]  這個正是很多父母的心聲
[00:00:26.720 --> 00:00:28.320]  但是這個小朋友說
[00:00:28.320 --> 00:00:30.120]  我不想學英文
[00:00:30.120 --> 00:00:31.920]  給我選擇好不好?
[00:00:31.920 --> 00:00:34.520]  這個小朋友就求媽媽
[00:00:34.520 --> 00:00:36.920]  媽媽送個足球給我吧
[00:00:36.920 --> 00:00:39.320]  你又不是想做足球員
[00:00:39.320 --> 00:00:41.120]  拿個足球做什麼?
[00:00:41.120 --> 00:00:42.920]  不要說這麼多了
[00:00:42.920 --> 00:00:46.920]  這個小朋友知道再求下去也沒辦法
[00:00:46.920 --> 00:00:48.520]  所以他就不求了
[00:00:48.520 --> 00:00:51.320]  在晚上他寫週記的時候
[00:00:51.320 --> 00:00:52.720]  他就這樣寫了
[00:00:52.720 --> 00:00:54.120]  我就快十歲了
[00:00:54.120 --> 00:00:56.920]  我想拿個足球做生日禮物
[00:00:56.920 --> 00:00:59.120]  現在都沒辦法可以做了
[00:00:59.120 --> 00:01:02.320]  我就要改我的生日願望
[00:01:02.320 --> 00:01:07.920]  願望媽媽可以聆聽和尊重我的意見
[00:01:07.920 --> 00:01:11.120]  小朋友有沒有機會選擇?
[00:01:11.120 --> 00:01:13.720]  小朋友可不可以選擇?
[00:01:13.720 --> 00:01:15.920]  不知道
[00:01:15.920 --> 00:01:18.720]  可能他沒有什麼機會選擇
[00:01:18.720 --> 00:01:23.320]  不過他仍然可以有機會發表他的意見
[00:01:23.320 --> 00:01:25.120]  昨天看新聞
[00:01:25.120 --> 00:01:27.720]  有個小朋友半夜都不睡
[00:01:27.720 --> 00:01:28.720]  在畫公仔
[00:01:28.720 --> 00:01:30.720]  他的媽媽出了房門
[00:01:30.720 --> 00:01:34.320]  看到這個小朋友畫公仔很生氣
[00:01:34.320 --> 00:01:37.920]  就和他一起打了他一頓
[00:01:37.920 --> 00:01:41.320]  誰知道這個小朋友暗中報警
[00:01:41.320 --> 00:01:43.520]  結果警察來到
[00:01:43.520 --> 00:01:47.520]  將他們一起送去醫院治理
[00:01:47.520 --> 00:01:49.520]  這個是我的權利
[00:01:49.520 --> 00:01:52.520]  媽媽打我我有權報警
[00:01:52.520 --> 00:01:55.320]  你有什麼權利呢?
[00:01:55.320 --> 00:01:56.520]  很多人都有
[00:01:56.520 --> 00:02:00.120]  特別這個社會我們時時都講權利
[00:02:00.120 --> 00:02:01.720]  佔領中環
[00:02:01.720 --> 00:02:04.920]  他說香港人有普選的權利
[00:02:04.920 --> 00:02:06.520]  我們要爭取
[00:02:06.520 --> 00:02:07.920]  變性人說
[00:02:07.920 --> 00:02:09.720]  我有結婚的權利
[00:02:09.720 --> 00:02:12.520]  我要爭取去到終審法院
[00:02:12.520 --> 00:02:14.920]  結果他有結婚的權利
[00:02:14.920 --> 00:02:17.920]  我們有權利去表達我們的意見
[00:02:17.920 --> 00:02:20.120]  表達我們的立場
[00:02:20.120 --> 00:02:21.720]  我們有權利
[00:02:21.720 --> 00:02:24.320]  剛才我們所讀的聖經
[00:02:24.320 --> 00:02:26.320]  同樣你會發現
[00:02:26.320 --> 00:02:29.320]  很多的說話都講權利
[00:02:29.320 --> 00:02:30.320]  權利
[00:02:30.320 --> 00:02:31.320]  權利
[00:02:31.320 --> 00:02:33.720]  不過保羅當講權利的時候
[00:02:33.720 --> 00:02:35.720]  他怎麼講呢?
[00:02:35.720 --> 00:02:38.920]  保羅在第五到第九章
[00:02:38.920 --> 00:02:41.320]  講出一個基督徒
[00:02:41.320 --> 00:02:44.920]  去做事的原則是應該怎樣
[00:02:44.920 --> 00:02:45.920]  兄弟姐妹
[00:02:45.920 --> 00:02:48.920]  我不知道你有什麼原則
[00:02:48.920 --> 00:02:54.120]  來指導你帶著你來行事
[00:02:54.120 --> 00:02:57.320]  保羅說一個基督徒做事的原則
[00:02:57.320 --> 00:02:59.120]  是不要犯罪
[00:02:59.120 --> 00:03:01.920]  你不要按著這個世界的標準
[00:03:01.920 --> 00:03:04.520]  甚至還低過這個世界的標準
[00:03:04.520 --> 00:03:05.720]  所以第五章
[00:03:05.720 --> 00:03:09.720]  叫那些來取了自己繼母的
[00:03:09.720 --> 00:03:11.120]  叫他不要這樣做
[00:03:11.120 --> 00:03:14.320]  要和他們割席
[00:03:14.320 --> 00:03:16.320]  我們不要犯罪
[00:03:16.320 --> 00:03:19.920]  第六章叫那些信徒不要告上官
[00:03:19.920 --> 00:03:22.120]  因為這樣做
[00:03:22.120 --> 00:03:25.120]  影響了基督徒的名聲
[00:03:25.120 --> 00:03:27.320]  甚至影響神的名聲
[00:03:27.320 --> 00:03:29.120]  基督徒做事的原則
[00:03:29.120 --> 00:03:30.920]  不要怕吃虧
[00:03:30.920 --> 00:03:34.720]  不要說這個是我的權利
[00:03:34.720 --> 00:03:37.920]  不惜一切來爭取到底
[00:03:37.920 --> 00:03:38.920]  保羅說
[00:03:38.920 --> 00:03:41.320]  你不需要這樣的
[00:03:41.320 --> 00:03:43.320]  你可不可以吃虧一點呢?
[00:03:43.320 --> 00:03:45.120]  可不可以吃虧一點呢?
[00:03:45.120 --> 00:03:48.120]  今天可能我們不是那麼喜歡吃虧
[00:03:48.120 --> 00:03:50.720]  第七章告訴我們
