
[00:00:00.000 --> 00:00:02.500]  今日和大家分享的題目是
[00:00:02.500 --> 00:00:10.900]  「主所託付美好的象 當跑的路 所信的道」
[00:00:10.900 --> 00:00:15.300]  經文是記載在提摩太後書四章七至八節
[00:00:15.300 --> 00:00:18.100]  我們所認識的提摩太書信
[00:00:18.100 --> 00:00:21.700]  是史圖保羅寫給提摩太
[00:00:21.700 --> 00:00:24.600]  是一封個人的書信
[00:00:24.600 --> 00:00:27.400]  我們的印象一向都是這樣的
[00:00:27.400 --> 00:00:29.800]  但是今天我們所領受的經文
[00:00:29.800 --> 00:00:32.800]  其實不單止是提醒提摩太
[00:00:32.800 --> 00:00:35.100]  還有去鼓勵他
[00:00:35.100 --> 00:00:38.400]  更是要提醒我們每一位弟兄姊妹
[00:00:38.400 --> 00:00:40.900]  家會裏面的每一位弟兄姊妹
[00:00:40.900 --> 00:00:43.300]  我們看看經文
[00:00:43.300 --> 00:00:45.700]  我們一起讀出來 預備 請
[00:00:45.700 --> 00:00:48.700]  那美好的象 我已經打過了
[00:00:48.700 --> 00:00:51.500]  當跑的路 我已經跑盡了
[00:00:51.500 --> 00:00:54.200]  所信的道 我已經守住了
[00:00:54.200 --> 00:00:58.300]  從此以後 有公義的冠冕為我存留
[00:00:58.300 --> 00:01:01.100]  就是按照公義審判的主
[00:01:01.100 --> 00:01:03.600]  到了那日 要賜給我的
[00:01:03.600 --> 00:01:09.200]  不但賜給我 也賜給凡愛無他顯現的人
[00:01:09.200 --> 00:01:15.500]  史圖保羅他講出他自己生平的經歷
[00:01:15.500 --> 00:01:17.900]  講的時候 可能一幕一幕的歷史
[00:01:17.900 --> 00:01:20.100]  在他眼中浮現
[00:01:20.100 --> 00:01:22.800]  神怎樣帶領他走過人生的路
[00:01:22.800 --> 00:01:27.400]  侍奉的路 還有驚濤駭浪
[00:01:27.400 --> 00:01:30.800]  勸告提摩太太的時候 要告訴她
[00:01:30.800 --> 00:01:34.500]  這條路我走過了 你跟著走吧
[00:01:34.500 --> 00:01:39.000]  還有是有神的賞賜
[00:01:39.000 --> 00:01:41.800]  要提醒提摩太太
[00:01:41.800 --> 00:01:45.700]  又提醒她 要提醒弟兄姊妹
[00:01:45.700 --> 00:01:48.800]  凡愛無他顯現的人
[00:01:48.800 --> 00:01:52.600]  包括提摩太太 包括教會的弟兄姊妹
[00:01:52.600 --> 00:01:55.800]  我們都很渴望主耶穌顯現
[00:01:55.800 --> 00:01:59.200]  顯然是分開 主耶穌降生
[00:01:59.200 --> 00:02:02.600]  和主耶穌基督再來的那一刻
[00:02:02.600 --> 00:02:05.200]  再來的那一刻 就是我們很歡喜快樂
[00:02:05.200 --> 00:02:08.400]  就是去到白色寶座前
[00:02:08.400 --> 00:02:13.600]  來交帳和領受這個獎賞的時刻
[00:02:13.600 --> 00:02:16.200]  也是審判的時刻
[00:02:16.200 --> 00:02:17.600]  如果這樣說的話
[00:02:17.600 --> 00:02:20.400]  保羅他很開心
[00:02:20.400 --> 00:02:23.100]  因為這番話他自己經歷
