
[00:00:00.000 --> 00:00:00.880]  啪啪會早晨
[00:00:00.880 --> 00:00:03.840]  又要考考大家
[00:00:03.840 --> 00:00:05.820]  上個月我講到講咩呢
[00:00:05.820 --> 00:00:06.760]  有啲人可以免疫
[00:00:06.760 --> 00:00:08.960]  我記得有啲人啱啱返嚟香港
[00:00:08.960 --> 00:00:10.460]  所以嗰啲就可以免疫
[00:00:10.460 --> 00:00:12.280]  如果睇返呢幅圖呢
[00:00:12.280 --> 00:00:13.420]  希望可以幫到大家
[00:00:13.420 --> 00:00:14.200]  因為呢
[00:00:14.200 --> 00:00:15.820]  係有啲相連嘅
[00:00:15.820 --> 00:00:18.200]  如果你記得我上個月五月頭
[00:00:18.200 --> 00:00:19.880]  講到講主產講到呢係
[00:00:19.880 --> 00:00:21.280]  講菲律賓書
[00:00:21.280 --> 00:00:23.720]  嘅二章三至十一節嘅
[00:00:23.720 --> 00:00:25.000]  咁所以我接住講
[00:00:25.000 --> 00:00:27.080]  咁呀
[00:00:27.080 --> 00:00:28.480]  有冇人真係想試下
[00:00:29.320 --> 00:00:30.760]  記得上個月講咩嘢呀
[00:00:30.760 --> 00:00:33.800]  講呀講呀
[00:00:33.800 --> 00:00:34.800]  講兩個字就得㗎喇
[00:00:34.800 --> 00:00:35.400]  講咩呀
[00:00:35.400 --> 00:00:37.320]  你話你記得
[00:00:37.320 --> 00:00:38.720]  不過就講唔到嗰啲
[00:00:38.720 --> 00:00:40.520]  講咗key word姐係我想講下
[00:00:40.520 --> 00:00:41.240]  ok唔緊要
[00:00:41.240 --> 00:00:42.240]  即係都有人記得啦
[00:00:42.240 --> 00:00:43.280]  好感恩呀
[00:00:43.280 --> 00:00:44.400]  咁咪上個月呢
[00:00:44.400 --> 00:00:45.400]  我就講
[00:00:45.400 --> 00:00:47.280]  復試從心開始
[00:00:47.280 --> 00:00:49.760]  其實接住呢我哋呢個季題呢
[00:00:49.760 --> 00:00:50.800]  即季題就唔係呢度啦
[00:00:50.800 --> 00:00:52.880]  喺你個周刊有寫㗎
[00:00:52.880 --> 00:00:54.560]  年題就係裝備門徒
[00:00:54.560 --> 00:00:55.240]  影響挑戰
[00:00:55.240 --> 00:00:56.520]  季題呢就係
[00:00:56.520 --> 00:00:57.560]  寧命更新跟住
[00:00:57.560 --> 00:00:58.800]  有啲人可能都手機呀
[00:00:58.800 --> 00:01:00.080]  先有呀
[00:01:00.080 --> 00:01:01.880]  咁寧命更新跟主行
[00:01:01.880 --> 00:01:02.920]  咁我哋要跟邊個呀
[00:01:02.920 --> 00:01:03.760]  咁跟住耶穌嘛
[00:01:03.760 --> 00:01:05.000]  跟住耶穌啲咩嘢呢
[00:01:05.000 --> 00:01:06.360]  咁呢我哋喺上個月呢
[00:01:06.360 --> 00:01:07.280]  就講咗
[00:01:07.280 --> 00:01:08.560]  講咩呀
[00:01:08.560 --> 00:01:10.520]  復試
[00:01:10.520 --> 00:01:12.160]  復試從心開始
[00:01:12.160 --> 00:01:13.120]  咁你點樣先能夠
[00:01:13.120 --> 00:01:14.680]  從心嗰度復試到呀
[00:01:14.680 --> 00:01:15.640]  就有兩樣嘢嘅
[00:01:15.640 --> 00:01:17.280]  有一樣嘢有緊要嘅
[00:01:17.280 --> 00:01:18.120]  謙卑
[00:01:18.120 --> 00:01:18.520]  冇錯喇
[00:01:18.520 --> 00:01:19.400]  謙卑
[00:01:19.400 --> 00:01:20.960]  咩叫謙卑呢
[00:01:20.960 --> 00:01:22.440]  謙卑就係話
[00:01:22.440 --> 00:01:24.920]  我哋將自己
[00:01:24.920 --> 00:01:27.200]  放喺一個冇咁重要嘅地方
[00:01:27.200 --> 00:01:28.840]  而將別人嘅需要
[00:01:28.840 --> 00:01:30.160]  放喺心上
[00:01:30.160 --> 00:01:31.360]  呢個同我哋現代人
[00:01:31.360 --> 00:01:32.680]  梗係相反
[00:01:32.680 --> 00:01:35.080]  我哋梗係事事都以自己為先㗎啦
