
[00:00:00.000 --> 00:00:03.600]  這樣吧 讓我們的心安靜下來
[00:00:03.600 --> 00:00:08.480]  這裏都是我們自己家的播道會的人
[00:00:08.480 --> 00:00:12.860]  我們也不要用什麼隔閡
[00:00:12.860 --> 00:00:16.700]  不是播道會 也是我們祖內弟兄姊妹
[00:00:16.700 --> 00:00:19.660]  不相信祖內 也是我們的朋友
[00:00:19.660 --> 00:00:24.440]  所以我們今天就要聚集在一起
[00:00:24.440 --> 00:00:26.840]  當我們打開聖經的時候
[00:00:26.840 --> 00:00:30.960]  同時間打開我們的心
[00:00:30.960 --> 00:00:32.960]  謝謝你聽我們禱告
[00:00:32.960 --> 00:00:37.320]  奉靠主耶穌記住名字 阿彌陀佛
[00:00:37.320 --> 00:00:38.960]  勞苦擔重擔
[00:00:38.960 --> 00:00:44.160]  我相信你這個反過來背都可以背到
[00:00:44.160 --> 00:00:47.320]  誰會背這三節經文的?
[00:00:47.320 --> 00:00:49.760]  會的舉手
[00:00:49.760 --> 00:00:52.680]  很先驅 華人都是這樣的
[00:00:52.680 --> 00:00:55.000]  我相信你會背的
[00:00:55.000 --> 00:00:59.120]  會背有時候很熟悉的經文
[00:00:59.120 --> 00:01:02.720]  更容易讓他誤會
[00:01:02.720 --> 00:01:05.040]  你在看這個上下文
[00:01:05.040 --> 00:01:07.720]  我相信太古城肯定有這個訓練
[00:01:07.720 --> 00:01:09.320]  我們說看聖經
[00:01:09.320 --> 00:01:12.120]  一定要看上下文 對不對?
[00:01:12.120 --> 00:01:17.280]  你看完上下文的 你知道這三句經文
[00:01:17.280 --> 00:01:22.240]  它的意思可能和我們看什麼版本的
[00:01:22.240 --> 00:01:24.440]  都是有點誤會的
[00:01:24.440 --> 00:01:28.080]  我相信太古城好像不是看和和本的
[00:01:28.080 --> 00:01:32.160]  無論你是看和本 或者看心理本 什麼本
[00:01:32.160 --> 00:01:35.000]  如果看中文的話 很容易就誤會
[00:01:35.000 --> 00:01:36.800]  等會兒我再解釋這一方面
[00:01:36.800 --> 00:01:40.000]  那你看看這個人
