
[00:00:00.000 --> 00:00:02.000]  我們一起祈禱好嗎
[00:00:02.000 --> 00:00:04.000]  七月主我們來到你面前的時候
[00:00:04.000 --> 00:00:06.000]  我們再一次將我們自己教給你
[00:00:06.000 --> 00:00:09.000]  因為你是那位光明的主
[00:00:09.000 --> 00:00:13.000]  在我們生命的每一個角落
[00:00:13.000 --> 00:00:15.000]  主呀其實你也是與我們同在
[00:00:15.000 --> 00:00:18.000]  讓我們學習去信靠你
[00:00:18.000 --> 00:00:21.000]  在我們生命遭遇的每一刻
[00:00:21.000 --> 00:00:23.000]  我們都能夠經歷你自己話語的能力
[00:00:23.000 --> 00:00:26.000]  因為你告訴我們你的話語是活水
[00:00:26.000 --> 00:00:29.000]  是我們生命的糧 是我們的亮光
[00:00:29.000 --> 00:00:32.000]  我們願意今日最渴望的一件事
[00:00:32.000 --> 00:00:35.000]  就是繼續學習深深去愛你
[00:00:35.000 --> 00:00:37.000]  因為你是如此愛我們
[00:00:37.000 --> 00:00:40.000]  我們感謝你 祈禱奉主耶穌名求
[00:00:40.000 --> 00:00:46.000]  我們繼續一路去講到一個叫求生者的講道系列
[00:00:46.000 --> 00:00:48.000]  今天我們講到第五講
[00:00:48.000 --> 00:00:51.000]  叫做處事光明
[00:00:51.000 --> 00:00:53.000]  處事光明
[00:00:53.000 --> 00:00:56.000]  我們崇拜的地方不是很光
[00:00:56.000 --> 00:00:58.000]  好像經常都很暗
[00:00:58.000 --> 00:01:00.000]  不過你的人是需要光明
[00:01:00.000 --> 00:01:02.000]  你需要一個成為光明的人
[00:01:02.000 --> 00:01:05.000]  如果你有看過Survivor
[00:01:05.000 --> 00:01:07.000]  這個現實節目
[00:01:07.000 --> 00:01:09.000]  有沒有人看過
[00:01:09.000 --> 00:01:11.000]  很多人看過 應該是以前
[00:01:11.000 --> 00:01:13.000]  你要記得最後一集
[00:01:13.000 --> 00:01:18.000]  通常都是求生者互相去投票
