
[00:00:00.000 --> 00:00:02.000]  新年就有新願望了
[00:00:02.000 --> 00:00:04.000]  中國人有講話
[00:00:04.000 --> 00:00:06.000]  一年之計在於春
[00:00:06.000 --> 00:00:08.000]  一日之計在於晨
[00:00:08.000 --> 00:00:10.000]  對於基督徒來說
[00:00:10.000 --> 00:00:11.000]  一日之計在於晨
[00:00:11.000 --> 00:00:13.000]  還有另一個晨就是我們所信的晨
[00:00:13.000 --> 00:00:15.000]  每一日都是新的
[00:00:15.000 --> 00:00:18.000]  每一日都是在晨的手中去度過
[00:00:18.000 --> 00:00:21.000]  一日之計在於晨
[00:00:21.000 --> 00:00:23.000]  我們在新年裏面
[00:00:23.000 --> 00:00:25.000]  都會有很多的盼望
[00:00:25.000 --> 00:00:27.000]  很多的願景
[00:00:27.000 --> 00:00:31.000]  亦都有很多的內斂的安排
[00:00:31.000 --> 00:00:34.000]  究竟我們今年的計劃是怎樣
[00:00:34.000 --> 00:00:37.000]  是有一個願景在的
[00:00:37.000 --> 00:00:39.000]  怎樣的願景都好
[00:00:39.000 --> 00:00:45.000]  都是盼望別人對自己的肯定
[00:00:45.000 --> 00:00:48.000]  最好就是到一個甚麼的境界呢
[00:00:48.000 --> 00:00:51.000]  就是人見人愛車見車載
[00:00:51.000 --> 00:00:54.000]  對於基督徒來說
[00:00:54.000 --> 00:00:56.000]  當然是因典換載
[00:00:56.000 --> 00:00:57.000]  這樣就最好了
[00:00:57.000 --> 00:01:00.000]  今年就是這樣來度過
[00:01:00.000 --> 00:01:04.000]  我們有這個願景有這個盼望是好的
[00:01:04.000 --> 00:01:05.000]  另外一樣東西
[00:01:05.000 --> 00:01:07.000]  我們都要不要那麼離地
[00:01:07.000 --> 00:01:10.000]  要很實實在在
[00:01:10.000 --> 00:01:11.000]  在人生的旅途裏面
[00:01:11.000 --> 00:01:14.000]  不是每樣東西都那麼如意的
[00:01:14.000 --> 00:01:16.000]  我們有沒有發覺
