
[00:00:00.000 --> 00:00:02.500]  《士思記》第九章
[00:00:02.500 --> 00:00:05.660]  我們今天要繼續講《士思記》
[00:00:05.660 --> 00:00:08.340]  其實《士思記》在我們的聖經裡面
[00:00:08.340 --> 00:00:10.580]  是屬於歷史書
[00:00:10.580 --> 00:00:13.340]  所以歷史書是講故事
[00:00:13.340 --> 00:00:15.940]  我今天要跟大家講故事
[00:00:15.940 --> 00:00:18.940]  就是要講阿比米納的故事
[00:00:18.940 --> 00:00:20.660]  我給他的標題
[00:00:20.660 --> 00:00:23.020]  阿比米納的奪位
[00:00:23.020 --> 00:00:26.140]  他究竟是向誰奪位
[00:00:26.140 --> 00:00:29.140]  當時以色列是武王
[00:00:29.140 --> 00:00:32.100]  以色列是由神來帶領
[00:00:32.100 --> 00:00:34.100]  所以當他奪位的時候
[00:00:34.100 --> 00:00:39.860]  他就是從神的手中奪取了領袖的位置
[00:00:39.860 --> 00:00:43.580]  其實仍然神都是掌權
[00:00:43.580 --> 00:00:49.540]  最後神都是將他從他的寶座上拉下來
[00:00:49.540 --> 00:00:53.100]  其實《士思記》是有四個特色
[00:00:53.100 --> 00:00:55.540]  我們都講過很多次
[00:00:55.540 --> 00:01:00.460]  當時以色列是沒有王 沒王管
[00:01:00.460 --> 00:01:02.100]  第二點
[00:01:02.100 --> 00:01:06.740]  各人都行自己看為正的事
[00:01:06.740 --> 00:01:09.540]  各人都偏行己見
[00:01:09.540 --> 00:01:11.300]  第三點
[00:01:11.300 --> 00:01:13.780]  神的話語被忘記
[00:01:13.780 --> 00:01:16.740]  當然他們亦都忘記了神
[00:01:16.740 --> 00:01:18.620]  還有第四點
[00:01:18.620 --> 00:01:20.900]  就是很多罪
[00:01:20.900 --> 00:01:24.780]  以色列人不斷被罪捆綁
[00:01:24.780 --> 00:01:28.060]  一次又一次神將他們打救出來
[00:01:28.060 --> 00:01:29.700]  但是救了他們之後
[00:01:29.700 --> 00:01:33.340]  他們又犯罪又被罪捆綁
[00:01:33.340 --> 00:01:35.220]  其實這四點你覺得
[00:01:35.220 --> 00:01:38.420]  和我們現在的社會是否很相似
[00:01:38.420 --> 00:01:40.940]  有沒有王 我們有沒有王管
[00:01:40.940 --> 00:01:42.500]  沒有王管
[00:01:42.500 --> 00:01:47.460]  現在暫時神是將這個世界給了撒旦
[00:01:47.460 --> 00:01:50.820]  約翰福音十二章三十一節
[00:01:50.820 --> 00:01:54.100]  暫時撒旦就是這個世界的王
[00:01:54.100 --> 00:01:56.820]  還有第二點
[00:01:56.820 --> 00:01:59.220]  各人偏行己見
[00:01:59.220 --> 00:02:03.620]  現在這個世界最厲害的是什麼
[00:02:03.620 --> 00:02:05.820]  Politically correct
[00:02:05.820 --> 00:02:09.020]  每個人都有自己的看法
[00:02:09.020 --> 00:02:12.260]  你的看法是對的 我的看法也是對的
[00:02:12.260 --> 00:02:14.140]  你不要說我不對
[00:02:14.140 --> 00:02:15.940]  我又不說你不對
[00:02:15.940 --> 00:02:17.500]  大家都對的
[00:02:17.500 --> 00:02:20.540]  大家都要彼此尊重
[00:02:20.540 --> 00:02:22.220]  問題在哪裡
[00:02:22.220 --> 00:02:25.580]  世上唯一的真理是神的話語
[00:02:25.580 --> 00:02:27.700]  帶了我們到第三點
[00:02:27.700 --> 00:02:29.900]  為什麼會各人偏行己見
[00:02:29.900 --> 00:02:32.340]  因為忘記了神的話語
[00:02:32.340 --> 00:02:34.340]  因為忘記了神
[00:02:34.340 --> 00:02:37.340]  這個就是最大的問題
[00:02:37.340 --> 00:02:39.340]  還有第四點
[00:02:39.340 --> 00:02:41.900]  我們都在罪的捆綁裡面
[00:02:41.900 --> 00:02:45.100]  你看看現在這個世界有多少罪
[00:02:45.100 --> 00:02:50.620]  有毒品 有墮胎 有同性戀 有殺人
[00:02:50.620 --> 00:02:52.260]  多罪到不得了
[00:02:52.260 --> 00:02:55.980]  現在這四樣東西仍然都是存在
[00:02:55.980 --> 00:02:58.020]  我們現在說的是事實記
[00:02:58.020 --> 00:03:00.900]  事實記的問題又在哪裡
[00:03:00.900 --> 00:03:04.140]  是以色列人當他們進入迦南地
[00:03:04.140 --> 00:03:08.100]  不能夠完全將迦南人趕出來
[00:03:08.100 --> 00:03:09.900]  這個就是約書亞記
[00:03:09.900 --> 00:03:14.380]  但是這個問題現在仍然都是存在
[00:03:14.380 --> 00:03:16.540]  以色列人進入迦南地
[00:03:16.540 --> 00:03:18.900]  首先攻擊的是哪個城
[00:03:18.900 --> 00:03:20.700]  耶利哥城
[00:03:20.700 --> 00:03:23.820]  耶利哥城的名字是什麼意思
[00:03:23.820 --> 00:03:26.140]  月亮之城
[00:03:26.140 --> 00:03:28.900]  原因就是那裡的迦南人
[00:03:28.900 --> 00:03:32.620]  以前都是拜月亮之神 拜偶像
[00:03:32.620 --> 00:03:35.540]  我上次都跟大家說過
[00:03:35.540 --> 00:03:39.900]  其實回教徒的阿拉臣的前身是什麼
[00:03:39.900 --> 00:03:43.220]  就是月亮之神
[00:03:43.220 --> 00:03:44.420]  就是月亮之神
[00:03:44.420 --> 00:03:47.220]  所以你看到回教的廟宇
[00:03:47.220 --> 00:03:51.500]  那些殿上有鵝眉月的標誌
