
[00:00:00.000 --> 00:00:02.000]  我今天要跟各位分享
[00:00:02.000 --> 00:00:06.000]  仍然是建造永生神上帝的居首
[00:00:06.000 --> 00:00:09.000]  我們今年的意象
[00:00:09.000 --> 00:00:12.000]  第一次我講的是
[00:00:12.000 --> 00:00:14.000]  以賽亞書66章第一節
[00:00:14.000 --> 00:00:16.000]  他說天是我的座位
[00:00:16.000 --> 00:00:18.000]  地是我的腳凳
[00:00:18.000 --> 00:00:20.000]  你們要為我造何等的電影
[00:00:20.000 --> 00:00:23.000]  哪裡才是我安息的地方呢
[00:00:23.000 --> 00:00:25.000]  這是耶和華神說的
[00:00:25.000 --> 00:00:28.000]  所以神沒有安息的地方
[00:00:28.000 --> 00:00:30.000]  在馬太福音耶穌說
[00:00:30.000 --> 00:00:32.000]  屋裡有洞、飛鳥有窩
[00:00:32.000 --> 00:00:35.000]  人質沒有枕頭的地方
[00:00:35.000 --> 00:00:39.000]  所以耶穌也沒有祂的居首
[00:00:39.000 --> 00:00:42.000]  挪亞方舟大洪水的時候
[00:00:42.000 --> 00:00:44.000]  鴿子放出去的時候
[00:00:44.000 --> 00:00:46.000]  沒有落腳之地
[00:00:46.000 --> 00:00:49.000]  聖靈也沒有地方
[00:00:49.000 --> 00:00:54.000]  所以我們要讓神有祂的居首
[00:00:54.000 --> 00:00:56.000]  第二次我這樣講說
[00:00:56.000 --> 00:01:00.000]  我們的居首就是永生神上帝的教會
[00:01:00.000 --> 00:01:03.000]  如以夫所述第二章所說的
[00:01:03.000 --> 00:01:06.000]  耶穌為房角頭快石
[00:01:06.000 --> 00:01:09.000]  各房靠祂聯絡和事
[00:01:09.000 --> 00:01:11.000]  漸漸成為主的聖殿
[00:01:11.000 --> 00:01:16.000]  成為神界的聖靈居住的所在
[00:01:16.000 --> 00:01:18.000]  第三次我講說
[00:01:18.000 --> 00:01:22.000]  在神的家中有些什麼人
[00:01:22.000 --> 00:01:25.000]  在神的家中當如何行
[00:01:25.000 --> 00:01:28.000]  在神的家中我們有什麼使命責任
[00:01:28.000 --> 00:01:31.000]  我們有什麼義務呢
[00:01:31.000 --> 00:01:33.000]  當然我是用約翰義書講的
[00:01:33.000 --> 00:01:39.000]  有小子、有少年還有父老
[00:01:39.000 --> 00:01:40.000]  上次我講的是說
[00:01:40.000 --> 00:01:44.000]  讓我們成為永生神的居首
[00:01:44.000 --> 00:01:46.000]  雖然以賽亞書66章一節講說
[00:01:46.000 --> 00:01:49.000]  哪裡有我安心的地方呢
[00:01:49.000 --> 00:01:51.000]  但是第二節他說
[00:01:51.000 --> 00:01:53.000]  我真的要的是什麼
[00:01:53.000 --> 00:01:54.000]  那這些都是我的
[00:01:54.000 --> 00:01:56.000]  難道我要這些嗎
[00:01:56.000 --> 00:01:57.000]  沒有
[00:01:57.000 --> 00:01:58.000]  接著那句話他說
[00:01:58.000 --> 00:02:01.000]  我要的是虛心痛悔
[00:02:01.000 --> 00:02:04.000]  敬畏上帝的心
