
[00:00:00.000 --> 00:00:03.680]  最近我帶著女兒出街
[00:00:03.680 --> 00:00:06.160]  現在可以不用戴口罩出街
[00:00:06.160 --> 00:00:09.600]  我就跟太太帶著女兒出街的時候
[00:00:09.600 --> 00:00:11.200]  就不需要戴口罩
[00:00:11.200 --> 00:00:12.480]  她有一個發現
[00:00:12.480 --> 00:00:15.360]  她發現原來街上是很臭的
[00:00:15.360 --> 00:00:17.680]  因為我們住在附近
[00:00:17.680 --> 00:00:20.640]  我們都有些餐廳、有些街市
[00:00:20.640 --> 00:00:24.240]  所以她經常都會用手遮著她的鼻子
[00:00:24.240 --> 00:00:26.080]  就說這裡很臭
[00:00:26.080 --> 00:00:28.320]  因為自從她出生的時候
[00:00:28.320 --> 00:00:30.320]  到現在之前
[00:00:30.320 --> 00:00:32.480]  她都是戴著口罩出街的
[00:00:32.480 --> 00:00:33.920]  因為她現在三歲
[00:00:33.920 --> 00:00:35.120]  所以這三年裡面
[00:00:35.120 --> 00:00:37.200]  她都是戴著口罩出街
[00:00:37.200 --> 00:00:40.880]  這個是我們剛剛復上的時候
[00:00:40.880 --> 00:00:43.520]  也要去一個新的適應
[00:00:43.520 --> 00:00:46.640]  最近我跟了一個很久沒見的朋友
[00:00:46.640 --> 00:00:48.880]  一年多沒見的朋友吃飯
[00:00:48.880 --> 00:00:50.720]  他是一個醫護人員
[00:00:50.720 --> 00:00:52.640]  他在疫情裡面
[00:00:52.640 --> 00:00:58.560]  他是負責防護中心接熱線的一個醫護人員
[00:00:58.560 --> 00:01:00.160]  我問到他
[00:01:00.160 --> 00:01:04.400]  他說其實所有關於新冠的問題
[00:01:04.400 --> 00:01:06.240]  市民都會打電話給他
[00:01:06.240 --> 00:01:08.560]  最初可能會問他
[00:01:08.560 --> 00:01:11.360]  中了之後的病徵會是怎樣
[00:01:11.360 --> 00:01:13.600]  到之後可能會問
[00:01:13.600 --> 00:01:15.840]  檢疫酒店的資料是怎樣
[00:01:15.840 --> 00:01:18.480]  到有隔離營的時候
[00:01:18.480 --> 00:01:20.240]  隔離營的設施是怎樣的
