
[00:00:00.000 --> 00:00:03.000]  我們一起禱告我們的天上的父神
[00:00:03.000 --> 00:00:04.000]  感謝禰
[00:00:04.000 --> 00:00:07.000]  感謝禰自己爲我們所成就的事情
[00:00:07.000 --> 00:00:08.000]  我們也來到禰面前
[00:00:08.000 --> 00:00:09.000]  我們要敬拜禰
[00:00:09.000 --> 00:00:13.000]  是那位創造宇宙萬物獨一的真神
[00:00:13.000 --> 00:00:15.000]  禰也是照我們人的神
[00:00:15.000 --> 00:00:16.000]  禰也啓示我們
[00:00:16.000 --> 00:00:20.000]  讓我們能夠明白禰的啓示
[00:00:20.000 --> 00:00:22.000]  讓我們能夠看見禰所做的事情
[00:00:22.000 --> 00:00:24.000]  讓我們能夠知道
[00:00:24.000 --> 00:00:27.000]  我們人今天到底是什麼樣的光景
[00:00:27.000 --> 00:00:28.000]  我們謝謝禰
[00:00:28.000 --> 00:00:30.000]  接着禰自己的話
[00:00:30.000 --> 00:00:33.000]  我們能夠看見禰是那位聖潔公義的神
[00:00:33.000 --> 00:00:34.000]  接着禰的話
[00:00:34.000 --> 00:00:36.000]  我們能夠看見我們身上一位
[00:00:36.000 --> 00:00:38.000]  真的是得罪了禰的神
[00:00:38.000 --> 00:00:40.000]  得罪了禰的神
[00:00:40.000 --> 00:00:42.000]  我們也看見我們真的是渺小
[00:00:42.000 --> 00:00:44.000]  我們真的是常常犯罪
[00:00:44.000 --> 00:00:46.000]  所以求禰憐憫我們
[00:00:46.000 --> 00:00:48.000]  每當我們來到禰面前的時候
[00:00:48.000 --> 00:00:51.000]  求禰向我們厚厚的使恩
[00:00:51.000 --> 00:00:53.000]  讓我們能夠明白禰自己的道
[00:00:53.000 --> 00:00:55.000]  所以我們謝謝禰
[00:00:55.000 --> 00:00:57.000]  謝謝禰禰自己的恩代
[00:00:57.000 --> 00:00:58.000]  我們感謝禱告
[00:00:58.000 --> 00:01:00.000]  使奉主耶穌基督的聖名
[00:01:00.000 --> 00:01:01.000]  阿們
[00:01:01.000 --> 00:01:03.000]  我們過去這幾周
[00:01:03.000 --> 00:01:05.000]  我們花了許許多多的時間
[00:01:05.000 --> 00:01:09.000]  在講《禮部所書》第五章22節到33節
[00:01:09.000 --> 00:01:11.000]  我自己發現有的時候
[00:01:11.000 --> 00:01:13.000]  有的道呢
[00:01:13.000 --> 00:01:14.000]  有一部分呢
[00:01:14.000 --> 00:01:16.000]  真的是touch到他的心坎裏面
[00:01:16.000 --> 00:01:18.000]  那有一部分的道呢
[00:01:18.000 --> 00:01:20.000]  touch到另外一種人的心坎裏面
[00:01:20.000 --> 00:01:22.000]  不過這都是神的話
[00:01:22.000 --> 00:01:24.000]  但是呢
[00:01:24.000 --> 00:01:26.000]  我們查考了第五章
[00:01:26.000 --> 00:01:28.000]  《禮部所書》第五章裏面
[00:01:28.000 --> 00:01:30.000]  講到夫妻之間的關係
[00:01:30.000 --> 00:01:31.000]  講到家庭
[00:01:31.000 --> 00:01:32.000]  我們能夠看見
[00:01:32.000 --> 00:01:35.000]  他是以基督和教會之間的關係爲主
[00:01:35.000 --> 00:01:36.000]  所以我們曉得
[00:01:36.000 --> 00:01:39.000]  這個救恩是很重要的一件事情
[00:01:39.000 --> 00:01:40.000]  因爲透過家
[00:01:40.000 --> 00:01:41.000]  透過婚姻
[00:01:41.000 --> 00:01:43.000]  讓我們能夠看得一切
[00:01:43.000 --> 00:01:45.000]  那我們在讀《創世紀》呢
[00:01:45.000 --> 00:01:47.000]  第二章、第三章和第四章的時候
[00:01:47.000 --> 00:01:50.000]  我相信我們能夠真正的明白
[00:01:50.000 --> 00:01:52.000]  保羅他在第五章
[00:01:52.000 --> 00:01:54.000]  特別是31節到32節
[00:01:54.000 --> 00:01:57.000]  他說二人要離開父母
[00:01:57.000 --> 00:01:59.000]  妻子聯合二人
[00:01:59.000 --> 00:02:01.000]  人要離開父母
[00:02:01.000 --> 00:02:03.000]  妻子聯合二人成爲一體
[00:02:03.000 --> 00:02:05.000]  然後他就講到說
[00:02:05.000 --> 00:02:06.000]  這是極大的奧祕
[00:02:06.000 --> 00:02:09.000]  他說婚姻是一個極大的奧祕
[00:02:09.000 --> 00:02:12.000]  但是他是指的基督教會說的
[00:02:12.000 --> 00:02:15.000]  所以從保羅他所講的
[00:02:15.000 --> 00:02:18.000]  我們能夠透過婚姻
[00:02:18.000 --> 00:02:20.000]  不一定是你自己的婚姻
[00:02:20.000 --> 00:02:22.000]  或者是你父母親的婚姻
[00:02:22.000 --> 00:02:23.000]  或者是別人的婚姻
[00:02:23.000 --> 00:02:25.000]  那麼從聖經上的啓示
[00:02:25.000 --> 00:02:26.000]  從保羅
[00:02:26.000 --> 00:02:28.000]  聖明接着保羅所告訴我們
[00:02:28.000 --> 00:02:32.000]  我們能夠看見現在的婚姻
[00:02:32.000 --> 00:02:34.000]  現在的家庭的情形
[00:02:34.000 --> 00:02:37.000]  我們也真的是可以瞭解一件事情
[00:02:37.000 --> 00:02:42.000]  就是當主耶穌在地上的時候
[00:02:42.000 --> 00:02:44.000]  那些法利塞人因婚姻的問題
[00:02:44.000 --> 00:02:46.000]  來向主耶穌
[00:02:46.000 --> 00:02:47.000]  主耶穌
[00:02:47.000 --> 00:02:50.000]  我是說他向主耶穌詢問
[00:02:50.000 --> 00:02:52.000]  marriage counseling的問題
