
[00:00:00.000 --> 00:00:02.000]  我先跟大家拜個年
[00:00:02.000 --> 00:00:04.000]  我祝大家三陽啟泰
[00:00:04.000 --> 00:00:06.000]  這是什麼意思呢?
[00:00:06.000 --> 00:00:08.000]  這個Wi-Fi突然間會流傳給我
[00:00:08.000 --> 00:00:11.000]  我覺得很好,拿來祝福大家
[00:00:11.000 --> 00:00:13.000]  第一個「陽」呢,其實我們「陽」呢
[00:00:13.000 --> 00:00:15.000]  在我們今年的「陽年」
[00:00:15.000 --> 00:00:17.000]  但是在我們基督教信裡面
[00:00:17.000 --> 00:00:20.000]  「陽」都是和我們的信仰很有關係的
[00:00:20.000 --> 00:00:22.000]  第一個就是「尋回迷陽」
[00:00:22.000 --> 00:00:24.000]  本來都是迷失的「陽」
[00:00:24.000 --> 00:00:26.000]  即是周離朗蕩,被罪捆綁
[00:00:26.000 --> 00:00:28.000]  但是因為上帝的恩典
[00:00:28.000 --> 00:00:30.000]  釋放我們
[00:00:30.000 --> 00:00:32.000]  以致「尋回」我們
[00:00:32.000 --> 00:00:34.000]  讓我們能夠不再做「迷陽」
[00:00:34.000 --> 00:00:36.000]  但是同樣都提醒我們
[00:00:36.000 --> 00:00:38.000]  要繼續尋回那些「陽」
[00:00:38.000 --> 00:00:40.000]  所謂的「尋回迷陽」
[00:00:40.000 --> 00:00:42.000]  第二個就是要獻上「羔羊」
[00:00:42.000 --> 00:00:45.000]  耶穌基督就是那個被殺的「羔羊」
[00:00:45.000 --> 00:00:48.000]  獻上他的血洗乾淨我們的罪
[00:00:48.000 --> 00:00:50.000]  以致我們要和耶穌基督連結
[00:00:50.000 --> 00:00:53.000]  我們才能夠得到罪赦免
[00:00:53.000 --> 00:00:55.000]  我們能夠去到上主的面前
[00:00:55.000 --> 00:00:57.000]  所以我們獻上「羔羊」就是這個意思
[00:00:57.000 --> 00:00:59.000]  第三個就是
[00:00:59.000 --> 00:01:00.000]  「合成群陽」
[00:01:00.000 --> 00:01:02.000]  本來我們是迷失的「陽」
[00:01:02.000 --> 00:01:04.000]  今天耶穌基督呼召我們聚在一起
[00:01:04.000 --> 00:01:06.000]  我們要連結在一起
[00:01:06.000 --> 00:01:08.000]  成為教會
[00:01:08.000 --> 00:01:11.000]  更加要繼續將這個福音傳揚開去
[00:01:11.000 --> 00:01:13.000]  去尋找迷失的「陽」
[00:01:13.000 --> 00:01:15.000]  回到上帝的陽能裏面
[00:01:15.000 --> 00:01:17.000]  所以「三陽啟泰」的意思就是
[00:01:17.000 --> 00:01:19.000]  「尋回迷陽」
[00:01:19.000 --> 00:01:20.000]  「獻上羔羊」
[00:01:20.000 --> 00:01:21.000]  「合成群陽」
[00:01:21.000 --> 00:01:23.000]  我祝福大家
[00:01:23.000 --> 00:01:25.000]  「三陽啟泰」靈命進步
[00:01:25.000 --> 00:01:29.000]  靈命不斷主一滿人
[00:01:29.000 --> 00:01:31.000]  再次祝福大家
[00:01:31.000 --> 00:01:32.000]  彼此互相
[00:01:32.000 --> 00:01:34.000]  和旁邊那個握握手也好
[00:01:34.000 --> 00:01:36.000]  祝福「三陽啟泰」
[00:01:36.000 --> 00:01:44.000]  「尋回迷陽」
[00:01:44.000 --> 00:01:45.000]  「獻上羔羊」
[00:01:45.000 --> 00:01:47.000]  「合成群陽」
[00:01:47.000 --> 00:01:51.000]  讓我們再有個禱告
[00:01:51.000 --> 00:01:52.000]  在信之前
[00:01:52.000 --> 00:01:56.000]  我們把上帝的話語加在你的手裏
[00:01:56.000 --> 00:01:59.000]  求聖靈親自感動我們的心
[00:01:59.000 --> 00:02:00.000]  打開我們眾人的耳朵
[00:02:00.000 --> 00:02:02.000]  也打開我們的心靈
[00:02:02.000 --> 00:02:03.000]  以上帝的話語
[00:02:03.000 --> 00:02:04.000]  能夠將在我們每個人的心裏
[00:02:04.000 --> 00:02:07.000]  又讓孩子成為上帝的僕人
[00:02:07.000 --> 00:02:08.000]  流通的管子
[00:02:08.000 --> 00:02:09.000]  能夠將你的話語
[00:02:09.000 --> 00:02:11.000]  傳達到我們弟兄姊妹
[00:02:11.000 --> 00:02:12.000]  不單是耳中
[00:02:12.000 --> 00:02:13.000]  心中
[00:02:13.000 --> 00:02:15.000]  更加成為了我們生活的一部份
[00:02:15.000 --> 00:02:16.000]  以致讓我們能夠
[00:02:16.000 --> 00:02:17.000]  透過我們的生活行為
[00:02:17.000 --> 00:02:19.000]  去活出上帝的聖潔
[00:02:19.000 --> 00:02:21.000]  能夠在我們的節日假期裏
[00:02:21.000 --> 00:02:23.000]  更加能夠見證到
[00:02:23.000 --> 00:02:25.000]  不一樣的上帝
[00:02:25.000 --> 00:02:26.000]  求聖靈親自與我們同在
[00:02:26.000 --> 00:02:27.000]  帶領我們
[00:02:27.000 --> 00:02:28.000]  多謝你
[00:02:28.000 --> 00:02:29.000]  聽我們禱告
[00:02:29.000 --> 00:02:31.000]  奉耶穌基督得聖名自祈求
[00:02:31.000 --> 00:02:32.000]  阿門
[00:02:32.000 --> 00:02:36.000]  我們先讀頭四節經文
[00:02:36.000 --> 00:02:38.000]  你們記23章1至4節
[00:02:38.000 --> 00:02:40.000]  我們準備1,2,3
[00:02:40.000 --> 00:02:42.000]  耶和華吩咐摩西說
[00:02:42.000 --> 00:02:45.000]  你要吩咐以色列人對他們說
[00:02:45.000 --> 00:02:47.000]  以下是我的節日
[00:02:47.000 --> 00:02:49.000]  是你們要宣告為聖會的
[00:02:49.000 --> 00:02:51.000]  耶和華旗
[00:02:51.000 --> 00:02:52.000]  六日要做工
[00:02:52.000 --> 00:02:55.000]  第七日是完全安息的安息日
[00:02:55.000 --> 00:02:57.000]  要有聖媒
[00:02:57.000 --> 00:02:59.000]  你們任何工都不可做
[00:02:59.000 --> 00:03:01.000]  這是你們住處
[00:03:01.000 --> 00:03:11.000]  好
[00:03:11.000 --> 00:03:13.000]  為了方便大家
[00:03:13.000 --> 00:03:14.000]  很鼓勵大家
[00:03:14.000 --> 00:03:16.000]  都打開你們的聖經
[00:03:16.000 --> 00:03:18.000]  因為PowerPoint是用我的修煉版
[00:03:18.000 --> 00:03:20.000]  會不斷跳
[00:03:20.000 --> 00:03:22.000]  所以你追不到經文
[00:03:22.000 --> 00:03:23.000]  時間關係
[00:03:23.000 --> 00:03:25.000]  我們今天不會看完44節經文
[00:03:25.000 --> 00:03:27.000]  所以有本聖經拿在手上會好些
[00:03:27.000 --> 00:03:30.000]  這本聖經是和合本
[00:03:30.000 --> 00:03:32.000]  但我出的是和合本修煉版
[00:03:32.000 --> 00:03:33.000]  有少許不同
[00:03:33.000 --> 00:03:34.000]  你們可以比較一下
[00:03:34.000 --> 00:03:35.000]  有什麼不同呢
[00:03:35.000 --> 00:03:37.000]  我這個版本翻譯得新些
[00:03:37.000 --> 00:03:39.000]  所以應該是準確些
[00:03:39.000 --> 00:03:40.000]  翻譯上高
[00:03:40.000 --> 00:03:42.000]  在你們未記23節之前
[00:03:42.000 --> 00:03:44.000]  我們先看看大綱
[00:03:44.000 --> 00:03:46.000]  看頭四節都看到
[00:03:46.000 --> 00:03:52.000]  以下是你們要按時宣告為聖媒的耶和華的節日節期
[00:03:52.000 --> 00:03:54.000]  第四節之後宣告了
[00:03:54.000 --> 00:03:57.000]  在上帝設立了七個節期給我們
[00:03:57.000 --> 00:03:59.000]  所以一至四節是引言
[00:03:59.000 --> 00:04:01.000]  講安息日和引言
[00:04:01.000 --> 00:04:03.000]  五至二十二節是春季的節期
[00:04:03.000 --> 00:04:05.000]  如果裝下這本聖經
[00:04:05.000 --> 00:04:07.000]  第二十二節最後有幾個字寫著
[00:04:07.000 --> 00:04:10.000]  因為我是耶和華你們的神
