
[00:00:00.000 --> 00:00:11.000]  「進入上帝的現時,你豎起耳朵,閉上嘴巴,愚昧地向上帝獻祭善惡事。」
[00:00:11.000 --> 00:00:21.000]  要回來神的殿裏面,要先豎起你的耳朵,不要愚昧地敬拜,這是惡事的。
[00:00:21.000 --> 00:00:35.000]  好啦!這個禮拜的主題叫做「容易錢、辛苦錢、易吹難吹」。這個題目是一級的,因為中文有「辛苦錢」,但好像沒有講「容易錢」。
[00:00:35.000 --> 00:00:39.000]  英文就有「easy money」,沒有「difficult money」。
[00:00:39.000 --> 00:00:45.000]  好啦!「易吹難吹」,「易吹」是中文來的,古文有的「易吹」。
[00:00:45.000 --> 00:00:51.000]  但是英文好像沒有「easy pleasure」,但有「difficult pleasure」。
[00:00:51.000 --> 00:00:57.000]  所以剛剛夾在一起,「容易錢、辛苦錢、易吹難吹」,繼續講傳道師。
[00:00:57.000 --> 00:01:02.000]  過年,有人問牧師:「基督徒應不應該恭喜發財?」
[00:01:02.000 --> 00:01:08.000]  應不應該呀?不應該呀?你猜他怎樣答呢?
[00:01:08.000 --> 00:01:16.000]  你想他不好呢?你想他衰呢?你恭喜他發財啦!
[00:01:16.000 --> 00:01:23.000]  吓?這麼噁心?哦!不是的,這是傳道師自己講的。
[00:01:23.000 --> 00:01:26.000]  傳道師自己講的。
[00:01:26.000 --> 00:01:32.000]  恭喜發財,即是希望你「還財就手」,有「easy money」。
[00:01:32.000 --> 00:01:35.000]  講大富翁,大家知道嗎?大富翁,「easy money」。
[00:01:35.000 --> 00:01:40.000]  這個是大富翁的一種,叫「easy money」。
[00:01:40.000 --> 00:01:46.000]  大家玩過吧?或者未玩過,你的孫子都會玩的,「easy money」。
[00:01:46.000 --> 00:01:49.000]  好了,今日講一個「還財就手」的例子給大家知。
[00:01:49.000 --> 00:01:56.000]  這個名叫「Jack Whittaker」,中間那個肥佬就是他。
[00:01:56.000 --> 00:02:06.000]  他那時就五十五歲,那邊就是他老婆,另一邊是他的孫女,他只有一粒女和一粒孫。
[00:02:06.000 --> 00:02:18.000]  他那時五十五歲,行經一個停車場,見到一間小店,走進去買杯咖啡,見到有小店的店員說:
