
[00:00:00.000 --> 00:00:02.560]  每個星期回來教會崇拜
[00:00:02.560 --> 00:00:04.560]  去聆聽神的話語
[00:00:04.560 --> 00:00:06.560]  去頌讚我們的上帝
[00:00:06.560 --> 00:00:10.360]  在這個昏暗或者不容易的香港裏面
[00:00:10.360 --> 00:00:12.560]  特別是我知道逢禮拜六晚
[00:00:12.560 --> 00:00:14.560]  逢禮拜日我們看新聞
[00:00:14.560 --> 00:00:16.560]  大家都是很沉重的
[00:00:16.560 --> 00:00:22.920]  可以幫我跑跑跳回地裏
[00:00:22.920 --> 00:00:24.920]  一打 麻煩你
[00:00:24.920 --> 00:00:28.360]  但我都在每一次去準備宣講的時候
[00:00:28.360 --> 00:00:29.360]  我都祈禱
[00:00:29.360 --> 00:00:32.920]  求上帝的話語成為我們一個最大的提醒
[00:00:32.920 --> 00:00:35.320]  求上帝的話語給我們知道
[00:00:35.320 --> 00:00:37.720]  我們怎樣去面對我們今天的世代
[00:00:37.720 --> 00:00:39.720]  面對今天這個城市的情況
[00:00:39.720 --> 00:00:44.720]  這段時間我都在用《約翰一書》去
[00:00:44.720 --> 00:00:48.720]  做我們今年的年題的題目
[00:00:48.720 --> 00:00:51.720]  我們今年年題是《使人得敬》的群體
[00:00:51.720 --> 00:00:54.720]  如果還記得我在七月開始用《約翰一書》
[00:00:54.720 --> 00:00:57.720]  教導我們怎樣成為一個認罪的群體
[00:00:57.720 --> 00:01:01.720]  成為一個是進行主導的群體
[00:01:01.720 --> 00:01:04.720]  在兩個禮拜之前我們去看《約翰一書》
[00:01:04.720 --> 00:01:07.720]  二章十二至十七節成為勝過世界的群體
[00:01:07.720 --> 00:01:11.720]  如果大家有聖經都可以打開我們本聖經
[00:01:11.720 --> 00:01:15.720]  因為我都想和大家每一次重溫上一次講到少少
[00:01:15.720 --> 00:01:17.720]  接續接下來要講的東西
[00:01:17.720 --> 00:01:21.720]  這個上個兩個禮拜的經文就沒有放在PowerPoint裏面
[00:01:21.720 --> 00:01:26.720]  《約翰一書》二章十二至十七節
[00:01:26.720 --> 00:01:30.720]  你們本聖經是在三百三十八頁
[00:01:30.720 --> 00:01:32.720]  新約的三百三十八頁
[00:01:32.720 --> 00:01:34.720]  在十二至十七節裏面
[00:01:34.720 --> 00:01:37.720]  裏面有三個群體的對象
