
[00:00:00.000 --> 00:00:02.000]  鼎智慧 早晨
[00:00:02.000 --> 00:00:04.000]  感謝神的恩典
[00:00:04.000 --> 00:00:06.000]  讓我再次有機會
[00:00:06.000 --> 00:00:10.000]  來思想這個信仰和人生的關係
[00:00:10.000 --> 00:00:13.000]  我首先讓大家來看一條片
[00:00:13.000 --> 00:00:16.000]  是四川地震之後
[00:00:16.000 --> 00:00:19.000]  神給了我一個機會
[00:00:19.000 --> 00:00:24.000]  來向我在大陸偷渡出來之後
[00:00:24.000 --> 00:00:26.000]  其實一直很懼怕
[00:00:26.000 --> 00:00:30.000]  回去見到那些官員
[00:00:30.000 --> 00:00:33.000]  但我感恩的是
[00:00:33.000 --> 00:00:40.000]  2008年11月19日至21日
[00:00:40.000 --> 00:00:44.000]  我是被統戰部
[00:00:44.000 --> 00:00:48.000]  中聯辦社會科學研究院
[00:00:48.000 --> 00:00:50.000]  邀請到北京
[00:00:50.000 --> 00:00:53.000]  對著一班官員
[00:00:53.000 --> 00:00:57.000]  來講述我自己得救的見證
[00:00:57.000 --> 00:01:00.000]  也是上一次我在你們當中
[00:01:00.000 --> 00:01:02.000]  所講的得救見證
[00:01:02.000 --> 00:01:03.000]  第二
[00:01:03.000 --> 00:01:05.000]  也會講那麼多
[00:01:05.000 --> 00:01:08.000]  基督教特別的轉變
[00:01:08.000 --> 00:01:09.000]  現在
[00:01:09.000 --> 00:01:10.000]  我就很想讓大家來看看
[00:01:10.000 --> 00:01:12.000]  其中一個片段
[00:01:12.000 --> 00:01:15.000]  頭的一分鐘和第四分鐘以後
[00:01:15.000 --> 00:01:17.000]  大家看一點點
[00:01:17.000 --> 00:01:19.000]  來看一看當時
[00:01:19.000 --> 00:01:21.000]  到底我在他們當中
[00:01:21.000 --> 00:01:23.000]  我講什麼
[00:01:23.000 --> 00:01:25.000]  怎樣和他們溝通
[00:01:25.000 --> 00:01:27.000]  謝謝
[00:01:27.000 --> 00:01:28.000]  我們的苦難關
[00:01:28.000 --> 00:01:31.000]  我們對這個君貧的原則
[00:01:31.000 --> 00:01:33.000]  這是理財於地
[00:01:33.000 --> 00:01:35.000]  但是積財在天
[00:01:35.000 --> 00:01:37.000]  這個觀念改變過來
[00:01:37.000 --> 00:01:39.000]  從一個個人的改變
[00:01:39.000 --> 00:01:41.000]  去到他家庭的改變
[00:01:41.000 --> 00:01:43.000]  從家庭的改變
[00:01:43.000 --> 00:01:44.000]  去到一個社會的改變
[00:01:44.000 --> 00:01:46.000]  從社會的改變
[00:01:46.000 --> 00:01:48.000]  去到一個國家的改變
[00:01:48.000 --> 00:01:51.000]  另外還要看一個活生生的榜樣
[00:01:51.000 --> 00:01:52.000]  就是耶穌他的榜樣
[00:01:52.000 --> 00:01:55.000]  以行動來的配合
[00:01:55.000 --> 00:01:59.000]  我們中國的潛力很大
[00:01:59.000 --> 00:02:02.000]  我們在經濟 科研 體育 藝術
[00:02:02.000 --> 00:02:04.000]  各方面都走在舞台
[00:02:04.000 --> 00:02:07.000]  整個世界舞台的前列位置
