
[00:00:00.000 --> 00:00:02.000]  好,我們一齊有禱告先
[00:00:02.000 --> 00:00:13.700]  耶穌,我們讚利祢
[00:00:13.700 --> 00:00:15.920]  祢是神的羔羊
[00:00:15.920 --> 00:00:20.360]  祢是神差來的羔羊
[00:00:20.360 --> 00:00:25.180]  是為要除掉世人一切的罪孽
[00:00:25.180 --> 00:00:27.800]  我們讚利祢
[00:00:28.300 --> 00:00:30.920]  耶穌,祢更是神的兒子
[00:00:30.920 --> 00:00:35.980]  祢是必要用聖靈為眾人施洗
[00:00:35.980 --> 00:00:40.940]  叫我們不但離開罪惡、黑暗的權勢
[00:00:40.940 --> 00:00:43.540]  是我們更得以成聖
[00:00:43.540 --> 00:00:46.460]  成為光明聖潔的兒女
[00:00:46.460 --> 00:00:50.340]  得與與神在永恆的國度裡
[00:00:50.340 --> 00:00:52.700]  是一同坐著為王
[00:00:52.700 --> 00:00:56.580]  耶穌讚利祢這歷世歷代的奧秘
[00:00:57.020 --> 00:00:59.600]  已經藉著祢,又藉著祢的話
[00:00:59.600 --> 00:01:01.840]  不斷向我們顯明
[00:01:01.840 --> 00:01:04.840]  願我們今天繼續的警醒
[00:01:04.840 --> 00:01:08.360]  又開放我們的心,並且藉著聖靈
[00:01:08.360 --> 00:01:14.860]  繼續曉得耶穌是那歷世歷代隱藏的奧秘
[00:01:14.860 --> 00:01:17.540]  如今已經向我們顯明了
[00:01:17.540 --> 00:01:19.460]  我們這樣禱告仰望
[00:01:19.460 --> 00:01:23.400]  是奉耶穌超乎萬名之上的名祈禱
[00:01:23.400 --> 00:01:24.240]  阿們
[00:01:24.240 --> 00:01:26.100]  我們繼續讓人福音
[00:01:26.360 --> 00:01:28.360]  你可以繼續打開程序表
[00:01:28.360 --> 00:01:29.560]  或者打開聖經
[00:01:29.560 --> 00:01:36.180]  不知道大家對耶穌的認識有沒有豐富了
[00:01:36.180 --> 00:01:38.180]  如果你看《讓人福音》一開始
[00:01:38.180 --> 00:01:40.800]  其實不斷的去介紹耶穌
[00:01:40.800 --> 00:01:42.800]  是一步步去啟示他自己
[00:01:42.800 --> 00:01:46.060]  一開始耶穌的名字是沒有出過的
[00:01:46.060 --> 00:01:47.500]  是用道去介紹出來
[00:01:47.500 --> 00:01:52.280]  一路一路讓人不斷去遇見這位道
[00:01:52.280 --> 00:01:53.320]  這位道是怎樣
[00:01:53.700 --> 00:01:56.720]  我們在今天的部分
[00:01:56.720 --> 00:01:59.000]  都會繼續去介紹耶穌
[00:01:59.000 --> 00:02:01.220]  為何是歷世歷代隱藏的奧秘
[00:02:01.220 --> 00:02:05.540]  其實要去追溯多一點
[00:02:05.540 --> 00:02:09.900]  你就明白耶穌來到世間的時候的那種震撼性
[00:02:09.900 --> 00:02:12.660]  因為在保羅的見證裏面
[00:02:12.660 --> 00:02:14.180]  剛才我們讀的那段哥羅西書
[00:02:14.180 --> 00:02:15.100]  你很體會到
[00:02:15.100 --> 00:02:19.040]  其實神一直在舊約的時代
[00:02:19.040 --> 00:02:21.680]  是隱藏了一個很重要的奧秘
[00:02:21.680 --> 00:02:23.220]  甚麼是奧秘呢
[00:02:23.700 --> 00:02:25.440]  奧秘就是你怎麼看都看不明白
[00:02:25.440 --> 00:02:28.900]  你以為看得明其實是沒看得明
[00:02:28.900 --> 00:02:32.000]  是因為神沒有揭開就沒有人看得明
[00:02:32.000 --> 00:02:34.120]  類似啟示錄
[00:02:34.120 --> 00:02:36.520]  有沒有人記得有一本書
[00:02:36.520 --> 00:02:37.720]  約翰拿著的時候
[00:02:37.720 --> 00:02:40.100]  那個使者說沒有人揭開的
[00:02:40.100 --> 00:02:41.540]  他在那裏哭
[00:02:41.540 --> 00:02:42.800]  有沒有人讀過這個啟示錄
[00:02:42.800 --> 00:02:43.920]  有沒有記得
[00:02:43.920 --> 00:02:45.020]  他在那裏哭
[00:02:45.020 --> 00:02:46.820]  然後使者說你不用哭
[00:02:46.820 --> 00:02:49.360]  因為有一個終於被揭開了
[00:02:49.360 --> 00:02:50.680]  那位就是被殺的羔羊
[00:02:50.680 --> 00:02:51.500]  又是耶穌基督
[00:02:52.200 --> 00:02:55.680]  原來沒有耶穌有很多的奧秘
[00:02:55.680 --> 00:02:56.700]  我們是不明白的
[00:02:56.700 --> 00:02:58.500]  而且你記住
[00:02:58.500 --> 00:03:02.000]  保羅是用一個歷世歷代的奧秘來形容
[00:03:02.000 --> 00:03:03.600]  是隱藏的奧秘
[00:03:03.600 --> 00:03:04.900]  第一我們要明白
[00:03:04.900 --> 00:03:07.120]  是神特意要這樣的
[00:03:07.120 --> 00:03:10.400]  是神要隱藏在舊約的
[00:03:10.400 --> 00:03:12.880]  因為祂要等
[00:03:12.880 --> 00:03:13.840]  祂要等
[00:03:13.840 --> 00:03:16.320]  祂要等祂一個時候
[00:03:16.320 --> 00:03:17.280]  是正確的時候
[00:03:17.280 --> 00:03:20.200]  要讓隱藏的去揭開
[00:03:21.000 --> 00:03:23.200]  就好像柳翁人的啟示
[00:03:23.200 --> 00:03:25.640]  我不知道為什麼會有這麼多隱藏的東西
[00:03:25.640 --> 00:03:27.760]  當然和當時的時代有關
[00:03:27.760 --> 00:03:29.680]  但是也是神的心意
[00:03:29.680 --> 00:03:31.880]  因為祂隱藏之餘
[00:03:31.880 --> 00:03:33.480]  祂要藉著一些合適的人
[00:03:33.480 --> 00:03:35.040]  才能夠揭開
[00:03:35.040 --> 00:03:37.160]  所以我們要明白
[00:03:37.160 --> 00:03:39.680]  耶穌不是一個普普通通的耶穌
[00:03:39.680 --> 00:03:42.160]  是一個歷世歷代
[00:03:42.160 --> 00:03:47.160]  是一直隱藏在舊約的啟示裏面
[00:03:47.160 --> 00:03:49.120]  但又未明白到之後
[00:03:49.480 --> 00:03:51.160]  但是當耶穌一來
[00:03:51.160 --> 00:03:53.840]  很多事情就明白了
[00:03:53.840 --> 00:03:57.880]  所以我們用一個心情去看今天的經文
[00:03:57.880 --> 00:03:59.880]  用一個心情去預備好
[00:03:59.880 --> 00:04:01.640]  原來遇見耶穌
