
[00:00:00.000 --> 00:00:02.000]  頂紫媒平安
[00:00:02.000 --> 00:00:05.000]  人真是很矛盾的
[00:00:05.000 --> 00:00:07.000]  沒得選擇的時候
[00:00:07.000 --> 00:00:09.000]  就是沒得選擇
[00:00:09.000 --> 00:00:11.000]  當選擇太多
[00:00:11.000 --> 00:00:16.000]  又出現一種所謂選擇困難症
[00:00:16.000 --> 00:00:19.000]  埋怨樣樣都好
[00:00:19.000 --> 00:00:21.000]  但不知怎樣選
[00:00:21.000 --> 00:00:23.000]  搞到自己心大心小
[00:00:23.000 --> 00:00:25.000]  特別最近是很多
[00:00:25.000 --> 00:00:28.000]  無論小學、中學、大學
[00:00:28.000 --> 00:00:30.000]  很多很多的放榜
[00:00:30.000 --> 00:00:33.000]  這種情況就出現了
[00:00:33.000 --> 00:00:35.000]  我們大家都很想
[00:00:35.000 --> 00:00:38.000]  為自己選最好的東西
[00:00:38.000 --> 00:00:40.000]  不過事實告訴你
[00:00:40.000 --> 00:00:42.000]  最好的東西
[00:00:42.000 --> 00:00:46.000]  都未必人人欣賞
[00:00:46.000 --> 00:00:50.000]  未必帶來好的結果
[00:00:50.000 --> 00:00:55.000]  所謂一樣米是養百樣人的
[00:00:55.000 --> 00:00:59.000]  視乎人對那樣東西的態度
[00:00:59.000 --> 00:01:03.000]  付出多少的代價
[00:01:03.000 --> 00:01:07.000]  有人會將魚翅當作粉絲
[00:01:07.000 --> 00:01:13.000]  有人會將寶物當作廢物
[00:01:13.000 --> 00:01:17.000]  面對永恆的生命
[00:01:17.000 --> 00:01:21.000]  所謂生命的良神的話語
[00:01:21.000 --> 00:01:25.000]  或者我們信仰的生命
[00:01:25.000 --> 00:01:31.000]  我們選擇採取什麼態度呢
[00:01:31.000 --> 00:01:33.000]  無論是神的話
[00:01:33.000 --> 00:01:36.000]  無論是我們的信仰生命
[00:01:36.000 --> 00:01:38.000]  讓我們一起讀
[00:01:38.000 --> 00:01:40.000]  今天講到經文
[00:01:40.000 --> 00:01:43.000]  先讀八章四字八節
[00:01:43.000 --> 00:01:45.000]  預備一起讀吧
[00:01:45.000 --> 00:01:51.000]  東
[00:02:15.000 --> 00:02:25.000]  西
[00:02:25.000 --> 00:02:34.000]  很熟悉的一段記載
[00:02:34.000 --> 00:02:37.000]  其實馬太馬可都有
[00:02:37.000 --> 00:02:39.000]  整個格構都很清楚
[00:02:39.000 --> 00:02:43.000]  四節八節是講殺種比喻的內容
[00:02:43.000 --> 00:02:46.000]  我們一起讀九節十節
[00:02:46.000 --> 00:03:02.000]  門豪
[00:03:02.000 --> 00:03:05.000]  這兩節聖經可以說是
[00:03:05.000 --> 00:03:08.000]  這個比喻所講的目的
[00:03:08.000 --> 00:03:10.000]  如果看這兩節經文
[00:03:10.000 --> 00:03:12.000]  特別是第十節的時候
[00:03:12.000 --> 00:03:15.000]  你和我都有一個疑問
[00:03:15.000 --> 00:03:18.000]  是不是主人不想那些外人
[00:03:18.000 --> 00:03:20.000]  教外人
[00:03:20.000 --> 00:03:22.000]  或者門豪以外人
[00:03:22.000 --> 00:03:23.000]  或者外邦人
[00:03:23.000 --> 00:03:26.000]  沒有機會認識主呢
