
[00:00:00.000 --> 00:00:04.700]  「路遙知馬力 日久見人心」
[00:00:04.700 --> 00:00:07.300]  我們經常會用這句說話去表達
[00:00:07.300 --> 00:00:10.300]  時間可以證明一個人的能力
[00:00:10.300 --> 00:00:15.200]  可以證明一個人真正的內心是好是壞
[00:00:15.200 --> 00:00:19.900]  今日的主角是聖經裏面一個叫馬可的人
[00:00:19.900 --> 00:00:22.300]  借用剛才那句說話
[00:00:22.300 --> 00:00:24.700]  路遙知馬力
[00:00:24.700 --> 00:00:26.000]  都幾貼切
[00:00:26.000 --> 00:00:29.500]  路遙都知馬可
[00:00:29.500 --> 00:00:32.400]  馬可在聖經裏算不算出名呢?
[00:00:32.400 --> 00:00:36.400]  估計大部份人第一時間會想到的就是
[00:00:36.400 --> 00:00:38.500]  馬可福音
[00:00:38.500 --> 00:00:41.200]  他就是馬可福音的作者
[00:00:41.200 --> 00:00:43.000]  然後知多一些的人
[00:00:43.000 --> 00:00:46.400]  就會記起聖經裏記過一件事
[00:00:46.400 --> 00:00:51.000]  就是當時巴拿巴和保羅第一次宣教旅程的時候
[00:00:51.000 --> 00:00:54.300]  他們帶了一個馬可做助手
[00:00:54.300 --> 00:00:56.500]  但是在第二次
[00:00:56.500 --> 00:00:59.200]  保羅就說我不會再帶他去
[00:00:59.200 --> 00:01:01.600]  因為他上一次去的時候
[00:01:01.600 --> 00:01:03.600]  他沒有完成他的旅程
[00:01:03.600 --> 00:01:07.300]  他中途離隊回家了
[00:01:07.300 --> 00:01:11.400]  於是兩位領袖就決定分開了
[00:01:11.400 --> 00:01:13.000]  巴拿巴就帶著馬可
[00:01:13.000 --> 00:01:14.900]  保羅就帶著西拉
[00:01:14.900 --> 00:01:18.100]  究竟馬可是一個怎樣的人呢?
[00:01:18.100 --> 00:01:20.200]  他馬力有多強呢?
[00:01:20.200 --> 00:01:21.600]  他的名字叫馬可
[00:01:21.600 --> 00:01:24.900]  他是不是真的「可」呢?
[00:01:24.900 --> 00:01:29.700]  他的出身 他的經歷能否給我們一些鼓勵呢?
[00:01:29.700 --> 00:01:32.400]  聖經裏面對他的記載不是很多
[00:01:32.400 --> 00:01:33.700]  而且比較零碎
[00:01:33.700 --> 00:01:36.500]  今天我們就嘗試將他們撿出來
[00:01:36.500 --> 00:01:41.000]  原來都可以得到一個對馬可人生的框架
[00:01:41.000 --> 00:01:43.500]  今天我們就嘗試認識一下
[00:01:43.500 --> 00:01:47.300]  如何路遙知馬可
[00:01:47.300 --> 00:01:49.900]  我將經文分為三組
[00:01:49.900 --> 00:01:52.300]  第一組是關於馬可的出身
[00:01:52.300 --> 00:01:57.700]  以及他年少時期
[00:01:57.700 --> 00:02:00.100]  在《使徒行主》十二章裏說
[00:02:00.100 --> 00:02:01.600]  「他」即是彼得
[00:02:01.600 --> 00:02:02.500]  「明白了
[00:02:02.500 --> 00:02:08.100]  就到那稱為馬可的約翰的母親瑪利亞加去
[00:02:08.100 --> 00:02:13.000]  在那裏已有好些人聚集禱告」
[00:02:13.000 --> 00:02:15.700]  這裏的「他」是指彼得
[00:02:15.700 --> 00:02:18.100]  當時耶穌已經贖活升天
[00:02:18.100 --> 00:02:20.400]  已經不在人世了
[00:02:20.400 --> 00:02:22.900]  但是耶穌的影響力
[00:02:22.900 --> 00:02:28.700]  並未如那些政治領袖的心意那樣消失
[00:02:28.700 --> 00:02:30.300]  反而因為聖靈的能力
[00:02:30.300 --> 00:02:33.600]  越來越多人信耶穌
[00:02:33.600 --> 00:02:38.100]  當時的領袖就怕在群眾的力量越來越強的時候
[00:02:38.100 --> 00:02:40.000]  會威脅到政權
[00:02:40.000 --> 00:02:43.400]  於是他們要抓一些領袖坐牢受審
[00:02:43.400 --> 00:02:44.600]  甚至處死他們
[00:02:44.600 --> 00:02:47.600]  之前使徒雅各就是這樣死了
[00:02:47.600 --> 00:02:52.400]  現在就輪到彼得被人抓了
[00:02:52.400 --> 00:02:54.200]  於是門徒就很害怕
