
[00:00:00.000 --> 00:00:06.380]  有多少人已經從頭看若拿書看過一次 看到尾
[00:00:06.380 --> 00:00:11.960]  其實不是很多 只有一半半
[00:00:11.960 --> 00:00:13.680]  我會鼓勵你
[00:00:13.680 --> 00:00:17.200]  找個時間從頭看若拿書一次
[00:00:17.200 --> 00:00:19.080]  它只是四張聖經
[00:00:19.080 --> 00:00:22.240]  加起來也只是五十多節
[00:00:22.240 --> 00:00:23.440]  很短
[00:00:23.440 --> 00:00:25.800]  而且都是很故事性的
[00:00:25.800 --> 00:00:28.280]  找個時間看完一次
[00:00:28.280 --> 00:00:30.720]  但不是現在
[00:00:30.720 --> 00:00:33.960]  因為有一半人都沒有看過若拿書
[00:00:33.960 --> 00:00:38.240]  我要簡單講一下這四張聖經是講什麼的
[00:00:38.240 --> 00:00:39.320]  首先講一下若拿
[00:00:39.320 --> 00:00:42.320]  若拿的身份是什麼呢
[00:00:42.320 --> 00:00:43.720]  是個先知
[00:00:43.720 --> 00:00:47.000]  先知究竟是做什麼的呢
[00:00:47.000 --> 00:00:50.120]  簡單講先知其實是
[00:00:50.120 --> 00:00:52.840]  上帝在地上的代言人
[00:00:52.840 --> 00:00:54.960]  即是說他領受信息
[00:00:54.960 --> 00:00:56.840]  從神那裡得到信息
[00:00:56.840 --> 00:01:00.200]  然後告訴世代的人知道
[00:01:00.200 --> 00:01:03.520]  神的信息的意思是什麼
[00:01:03.520 --> 00:01:06.280]  這是先知的積分
[00:01:06.280 --> 00:01:08.680]  若拿是什麼人呢
[00:01:08.680 --> 00:01:10.080]  若拿是希伯來人
[00:01:10.080 --> 00:01:11.760]  簡單講是以色列人
[00:01:11.760 --> 00:01:13.520]  這就是他的背景
[00:01:13.520 --> 00:01:16.840]  其實在第一章開始
[00:01:16.840 --> 00:01:22.760]  神吩咐若拿去尼尼微城宣講一個信息
[00:01:22.760 --> 00:01:24.240]  這個信息是什麼呢
[00:01:24.240 --> 00:01:27.120]  這個城的人的惡
[00:01:27.120 --> 00:01:30.120]  已經達到去神的面前
[00:01:30.120 --> 00:01:31.880]  在舊的聖經
[00:01:31.880 --> 00:01:34.600]  他講人的惡去到神面前
[00:01:34.600 --> 00:01:36.040]  特別是一個城市
