
[00:00:00.000 --> 00:00:01.200]  阿彌陀佛
[00:00:01.200 --> 00:00:04.560]  主耶穌讓聖靈幫助我們在乘勝的路上
[00:00:04.560 --> 00:00:07.360]  如何靠著主自己得勝
[00:00:07.360 --> 00:00:09.080]  放下自己
[00:00:09.080 --> 00:00:11.400]  主祢自己形象成就可能在我們身上
[00:00:11.400 --> 00:00:13.400]  奉耶穌的聖名 阿們
[00:00:13.400 --> 00:00:18.560]  想問在座中有哪幾位跑過馬拉松的
[00:00:18.560 --> 00:00:22.000]  無論是全馬 半馬 還是十公里的 請舉手
[00:00:22.000 --> 00:00:27.480]  似乎暫時我問的最多是祖堂
[00:00:27.480 --> 00:00:31.720]  通常習慣跑步的人都會早跑
[00:00:31.720 --> 00:00:34.200]  有些跑完回來或者現在才去跑
[00:00:34.200 --> 00:00:36.200]  中堂的已經睡懶了一點
[00:00:36.200 --> 00:00:40.120]  所以相對來說 看上去少了一點
[00:00:40.120 --> 00:00:42.520]  跑馬拉松有什麼條件
[00:00:42.520 --> 00:00:45.720]  What it takes to run a marathon
[00:00:45.720 --> 00:00:48.600]  報名 拿件T恤
[00:00:48.600 --> 00:00:50.840]  很多人真的以為這樣就能跑了
[00:00:50.840 --> 00:00:53.160]  又或者拿件T恤自在地拍照
[00:00:53.160 --> 00:00:56.040]  有時我看新聞 有些人去跑馬拉松
[00:00:56.040 --> 00:01:02.160]  穿著各種奇裝異服 卡通人物
[00:01:02.160 --> 00:01:05.000]  你看到那些都不是很認真去跑
[00:01:05.000 --> 00:01:09.080]  但是真的認真跑馬拉松的人很早就要預備
[00:01:09.080 --> 00:01:11.080]  半年前可能已經要練氣
[00:01:11.080 --> 00:01:13.880]  已經要開始留意自己身體的狀況
[00:01:13.880 --> 00:01:18.280]  知道跑這麼長的賽事有什麼策略
[00:01:18.280 --> 00:01:20.520]  不可以一開始就拼命地跑
[00:01:20.520 --> 00:01:24.920]  應該分不同的階段 有不同的速度等等
[00:01:24.920 --> 00:01:29.320]  屬靈的馬拉松有什麼條件呢
[00:01:29.320 --> 00:01:33.480]  What it takes to run a spiritual marathon
[00:01:33.480 --> 00:01:38.040]  在《羅馬書》我們看到保羅的救恩官主要分開三個部分
[00:01:38.040 --> 00:01:39.800]  第一就是恩信稱義
[00:01:39.800 --> 00:01:42.760]  我們初信主耶穌的時候那一刻
[00:01:42.760 --> 00:01:46.600]  我們在神面前的身份就不再是罪人
[00:01:46.600 --> 00:01:50.600]  而是被稱義 是神的兒女
[00:01:50.600 --> 00:01:54.040]  我們清楚 我們已經得到這個救恩
[00:01:54.040 --> 00:01:55.560]  不是因為我們的行為
[00:01:55.560 --> 00:01:57.480]  因為耶穌基督是十字架上
