
[00:00:00.000 --> 00:00:09.000]  唔知大家有冇覺得呢,今日我哋喺世界上生活呢,好似打緊一場輸緊一仗
[00:00:09.000 --> 00:00:19.000]  譬如喺倫理上面啦,同性戀嘅支持者節節勝利,越嚟越多嘅國家地區接受同性婚姻
[00:00:19.000 --> 00:00:26.000]  就喺今年裏面,同性婚姻已經先後喺台灣同埋德國通過咗
[00:00:26.000 --> 00:00:34.000]  同性婚姻者同埋異性婚姻者,喺法律上面享有同等嘅待遇,包括可以領養孩童
[00:00:34.000 --> 00:00:38.000]  喺道德上面其中一個議題,賭博
[00:00:38.000 --> 00:00:47.000]  2016年平和基金委託咗理工大學進行咗一項嘅研究,關於香港人參與賭博活動嘅情形
[00:00:47.000 --> 00:00:57.000]  上個月就發表咗報告,有44%嘅賭徒喺18歲之前已經係有參與賭博
[00:00:57.000 --> 00:01:03.000]  喺宗教自由方面,基督徒喺好多地方受到迫害
[00:01:03.000 --> 00:01:13.000]  內地嘅教會被強插十字架,聚會嘅地方被強行安裝閉路電視嚟監控
[00:01:13.000 --> 00:01:21.000]  喺政治上,傳媒嘅自我審查失去咗監察政府嘅能力
[00:01:21.000 --> 00:01:26.000]  言論自由,表達自由都受到影響
[00:01:26.000 --> 00:01:34.000]  仲有,都係唔好講啦,唔知大家會唔會覺得失望灰心呢?
[00:01:34.000 --> 00:01:42.000]  呢個唔單單係個人嘅煩惱,似乎係我哋整體要面對嘅一個困局
[00:01:42.000 --> 00:01:50.000]  第一世紀嘅教會,面對好大困難,比我哋目前嘅嚴峻好多
[00:01:50.000 --> 00:01:57.000]  唔少信徒當時因為受到迫害,被人拉去坐監,甚至殉道
[00:01:57.000 --> 00:02:01.000]  啟示錄嘅寫成,就係要讓弟兄姊妹知道
[00:02:01.000 --> 00:02:06.000]  雖然環境黑暗,神仍然掌權
[00:02:06.000 --> 00:02:15.000]  佢對教會,對世界,有佢嘅目的同心意,亦都有佢嘅時間
[00:02:15.000 --> 00:02:23.000]  剛才主席同我哋讀出咗啟示錄第11章1至13節
[00:02:23.000 --> 00:02:29.000]  啟示錄都係講緊約翰佢睇到嘅異象記錄落嚟
[00:02:29.000 --> 00:02:35.000]  先前喺前面嘅篇幅都會講到約翰係睇到異象跟住記錄嘅
[00:02:35.000 --> 00:02:40.000]  但係由第10章開始,佢就參與咗異象當中
[00:02:40.000 --> 00:02:42.000]  參與喺佢睇到嘅異象當中
[00:02:42.000 --> 00:02:45.000]  第10章第8至11節剛才冇讀
[00:02:45.000 --> 00:02:49.000]  就係講到佢食咗天使畀佢嘅手卷
[00:02:49.000 --> 00:02:51.000]  就係天使手上面嘅小書卷
[00:02:51.000 --> 00:02:55.000]  食咗之後就話肚裏面就發苦,但口裏面又甘甜
[00:02:55.000 --> 00:02:57.000]  個訊息又甜又苦
[00:02:57.000 --> 00:02:59.000]  咁我哋就唔詳細講呢度
[00:02:59.000 --> 00:03:06.000]  咁到第11章開始嘅時候,第一第二節佢都係參與咗呢一個異象
[00:03:06.000 --> 00:03:09.000]  就係呢個有一斤嘅位置,即係蘆葦
[00:03:09.000 --> 00:03:11.000]  蘆葦好似竹咁嘅,好長好輕
[00:03:11.000 --> 00:03:13.000]  因為佢中間空嘅,所以好輕嘅
[00:03:13.000 --> 00:03:15.000]  咁呢就好直嘅,咁可以用嚟做量度
[00:03:15.000 --> 00:03:18.000]  因為佢可以長到成10尺咁多嘅
[00:03:18.000 --> 00:03:22.000]  咁喺約旦河岸一帶都有好多呢啲嘅種植
[00:03:22.000 --> 00:03:28.000]  咁佢就拎住呢一斤嘅蘆葦去量度三樣嘢
[00:03:28.000 --> 00:03:32.000]  即係神一殿、祭壇同埋殿裏面禮拜嘅人
[00:03:32.000 --> 00:03:35.000]  而唔使量嘅呢就係殿外嘅院子
[00:03:35.000 --> 00:03:37.000]  因為呢個係畀咗外邦人嘅
[00:03:37.000 --> 00:03:42.000]  外邦人要踐踏聖城42個月
[00:03:42.000 --> 00:03:45.000]  咁到底呢個係咩意思呢?
[00:03:45.000 --> 00:03:49.000]  約翰參與喺呢個異象裏面係表達啲咩嘢呢?
[00:03:49.000 --> 00:03:56.000]  如果喺經文裏面話唔使量度嘅地方就係外邦人嘅院子係要畀踐踏嘅
[00:03:56.000 --> 00:03:58.000]  咁掉返轉頭啦
[00:03:58.000 --> 00:04:01.000]  嗰啲被量度嘅就係受到保護㗎喇喎
[00:04:01.000 --> 00:04:04.000]  咁受保護嘅到底係指到物質嘅殿呢?
[00:04:04.000 --> 00:04:08.000]  還是指到屬靈嘅殿、教會呢?
[00:04:08.000 --> 00:04:10.000]  咁有人就推論
[00:04:10.000 --> 00:04:14.000]  佢話主在來之前耶路撒冷嘅聖殿
[00:04:14.000 --> 00:04:16.000]  即係呢個物質嘅聖殿一定會重建
[00:04:16.000 --> 00:04:20.000]  獻祭嘅事同埋祭司嘅制度會恢復
[00:04:20.000 --> 00:04:25.000]  並且提供咗好多資料顯示猶太人好熱心咁預備緊啲事
[00:04:25.000 --> 00:04:28.000]  講到預備籌足夠嘅資金啦
[00:04:28.000 --> 00:04:31.000]  有呢個祭司訓練學校啦咁樣
[00:04:31.000 --> 00:04:34.000]  無論聖殿係咪真係會重建
[00:04:34.000 --> 00:04:38.000]  我相信喺第十一章一至二節裏面
[00:04:38.000 --> 00:04:40.000]  神要約翰量度嘅
[00:04:40.000 --> 00:04:42.000]  表示神會保護嘅
[00:04:42.000 --> 00:04:44.000]  應該係指到教會
[00:04:44.000 --> 00:04:45.000]  係指到普世教會
[00:04:45.000 --> 00:04:48.000]  即係所有真正屬主嘅人
[00:04:48.000 --> 00:04:50.000]  點解呢?
[00:04:50.000 --> 00:04:52.000]  因為要量度嘅三件事物
[00:04:52.000 --> 00:04:53.000]  我哋睇下先
[00:04:53.000 --> 00:04:55.000]  首先第一 神嘅殿
[00:04:55.000 --> 00:04:58.000]  保羅曾經以信徒嘅身體作為神嘅殿
[00:04:58.000 --> 00:05:01.000]  喺哥林多前書第三章十六節
[00:05:01.000 --> 00:05:04.000]  同埋哥林多後書六章十六節都有講到
[00:05:04.000 --> 00:05:08.000]  我哋嘅身體係聖靈嘅殿
[00:05:08.000 --> 00:05:11.000]  而有神住喺當中嘅群體
[00:05:11.000 --> 00:05:13.000]  亦即係代表教會
[00:05:13.000 --> 00:05:18.000]  第二樣嘢要量度嘅就係祭壇
[00:05:18.000 --> 00:05:21.000]  如果係指到舊約嗰種獻祭嘅制度
[00:05:21.000 --> 00:05:23.000]  就更加講唔通
[00:05:23.000 --> 00:05:26.000]  因為耶穌基督喺十字架上面
[00:05:26.000 --> 00:05:29.000]  已經一次過獻上自己作為祭物
[00:05:29.000 --> 00:05:33.000]  成就咗神對人嘅救恩
[00:05:33.000 --> 00:05:37.000]  如果再有人以舊約嘅意義來獻祭
[00:05:37.000 --> 00:05:40.000]  咁明明就係羞辱咗主
[00:05:40.000 --> 00:05:42.000]  即使猶太人做呢件咁嘅事情
[00:05:42.000 --> 00:05:44.000]  神都唔會喜悅
[00:05:44.000 --> 00:05:46.000]  所以祭壇應該亦都係指到
[00:05:46.000 --> 00:05:49.000]  屬靈意義方面
[00:05:49.000 --> 00:05:51.000]  我哋拆開少少嚟講
[00:05:51.000 --> 00:05:53.000]  有啲教會或者機構
[00:05:53.000 --> 00:05:55.000]  喜歡喺壽苦節嘅晚上
[00:05:55.000 --> 00:05:58.000]  做一啲愉悅節晚餐嘅活動
[00:05:58.000 --> 00:06:01.000]  又或者喺猶太人住棚節嘅時候
[00:06:01.000 --> 00:06:03.000]  就搞啲住棚節活動
[00:06:03.000 --> 00:06:05.000]  我覺得將呢啲活動
[00:06:05.000 --> 00:06:07.000]  當為一種文化嘅活動係冇所謂
[00:06:07.000 --> 00:06:10.000]  譬如你可能想向印尼人傳福音
[00:06:10.000 --> 00:06:12.000]  了解佢嘅文化
[00:06:12.000 --> 00:06:14.000]  於是你食下印尼炒飯
