
[00:00:00.000 --> 00:00:04.580]  今天的題目就是《縱水不能熄滅的愛情》
[00:00:04.580 --> 00:00:07.380]  《A Love That Is True And Strong》
[00:00:07.380 --> 00:00:13.100]  這裡其實就是講解《雅歌書》第八章
[00:00:13.100 --> 00:00:15.100]  第六節至第七節
[00:00:15.100 --> 00:00:18.420]  或者我們首先看看這一段經文
[00:00:18.420 --> 00:00:19.500]  雖然很短
[00:00:19.500 --> 00:00:24.620]  但是有幾個地方其實都很困難可以明白
[00:00:24.620 --> 00:00:27.540]  我們今天就花一些時間去看看
[00:00:27.540 --> 00:00:31.040]  《雅歌》第八章第六節至第七節
[00:00:31.040 --> 00:00:32.080]  這裡他這麼說
[00:00:32.080 --> 00:00:35.720]  他說求你將我放在心上如印記
[00:00:35.720 --> 00:00:39.760]  帶在你鼻上如綽記
[00:00:39.760 --> 00:00:43.040]  因為愛情如死之堅強
[00:00:43.040 --> 00:00:45.880]  疾恨如陰間之殘忍
[00:00:45.880 --> 00:00:49.660]  所發的電光是火焰的電光
[00:00:49.660 --> 00:00:53.040]  是耶和華的烈焰
[00:00:53.040 --> 00:00:56.040]  愛情縱水不能熄滅
[00:00:56.040 --> 00:00:59.340]  帶水也不能淹沒
[00:00:59.340 --> 00:01:02.460]  若有人拿家中所有的財寶
[00:01:02.460 --> 00:01:04.760]  要換愛情的時候
[00:01:04.760 --> 00:01:06.760]  就全被藐視了
[00:01:06.760 --> 00:01:08.260]  這裡很短
[00:01:08.260 --> 00:01:09.580]  兩節的經文
[00:01:09.580 --> 00:01:11.380]  但是我們今天就看看
[00:01:11.380 --> 00:01:13.880]  什麼東西是真的有堅強
[00:01:13.880 --> 00:01:16.220]  有真確的愛情呢?
[00:01:16.220 --> 00:01:19.300]  我們今天首先做個禱告
[00:01:19.300 --> 00:01:21.880]  求你的聖靈與我們同儕
[00:01:21.880 --> 00:01:24.380]  幫助我們打開我們的眼睛
[00:01:24.380 --> 00:01:25.760]  打開我們的心靈
[00:01:25.760 --> 00:01:28.040]  讓我們在你的話語裡
[00:01:28.040 --> 00:01:30.080]  得到你的幫助
[00:01:30.080 --> 00:01:31.380]  得到你的亮光
[00:01:31.380 --> 00:01:32.580]  我們明白
[00:01:32.580 --> 00:01:37.000]  愛究竟是一個怎樣的愛
[00:01:37.000 --> 00:01:38.000]  我們這樣祈禱
[00:01:38.000 --> 00:01:39.380]  教託奉教主耶穌
[00:01:39.380 --> 00:01:40.460]  幾多名之以求
[00:01:40.460 --> 00:01:41.420]  Amen
[00:01:41.420 --> 00:01:47.340]  有一個男人
[00:01:47.340 --> 00:01:49.380]  有一個男士
[00:01:49.380 --> 00:01:51.620]  喜歡上了另一個女人
[00:01:51.620 --> 00:01:54.960]  這個男士已經結了婚
[00:01:54.960 --> 00:01:57.460]  他的太太向他求助
[00:01:57.460 --> 00:02:03.080]  我就要做一些勸導的功夫
[00:02:03.080 --> 00:02:04.700]  跟他聊天的時候
[00:02:04.700 --> 00:02:08.160]  他說他並不認為
[00:02:08.160 --> 00:02:11.740]  認識或者喜歡其他女人
[00:02:11.740 --> 00:02:14.740]  沒有什麼不合適的地方
[00:02:14.740 --> 00:02:17.500]  我很記得他用了一句
[00:02:17.500 --> 00:02:20.780]  就是說我是一個很博愛的人
[00:02:20.780 --> 00:02:24.380]  他很願意與別人分享
[00:02:24.380 --> 00:02:26.120]  他的愛
[00:02:26.120 --> 00:02:28.580]  我聽到那時候
[00:02:28.580 --> 00:02:30.420]  我真的吐血
[00:02:30.420 --> 00:02:38.420]  感覺到他對夫妻之間
[00:02:38.420 --> 00:02:42.380]  那種愛的理解是有誤差的
[00:02:42.380 --> 00:02:47.220]  以及完全是偏離了
[00:02:47.220 --> 00:02:49.380]  聖經給我們的目標
[00:02:49.380 --> 00:02:51.380]  給我們的目標
