
[00:00:00.000 --> 00:00:04.680]  在《詩經》 中國的《詩經》
[00:00:04.680 --> 00:00:07.220]  有一句話說
[00:00:07.220 --> 00:00:14.680]  妻子好合 如骨琴瑟
[00:00:14.680 --> 00:00:18.500]  不曉得我們翻譯的人會不會有這個困難
[00:00:18.500 --> 00:00:23.300]  妻子好合 就是妻子彼此相愛 彼此很和諧
[00:00:23.300 --> 00:00:28.380]  好像如骨琴瑟 琴跟瑟這兩個樂器
[00:00:28.380 --> 00:00:32.780]  合在一起伴奏的時候是非常和諧的
[00:00:32.780 --> 00:00:36.960]  所以我們今天要講到夫妻的關係
[00:00:36.960 --> 00:00:42.540]  琴瑟和鳴
[00:00:42.540 --> 00:00:44.580]  我們看一下
[00:00:44.580 --> 00:00:47.640]  這幅圖畫 雖然是外國人
[00:00:47.640 --> 00:00:50.640]  你把他的頭髮變黑
[00:00:50.640 --> 00:00:54.380]  有沒有很熟悉的樣子
[00:00:54.380 --> 00:00:58.440]  可能你的小孩聽到你們夫妻吵架的時候
[00:00:58.440 --> 00:01:01.500]  就是這個樣子
[00:01:01.500 --> 00:01:04.140]  今天全世界
[00:01:04.140 --> 00:01:09.640]  離婚率已經是一個很大的問題
[00:01:09.640 --> 00:01:12.940]  美國在全世界的
[00:01:12.940 --> 00:01:16.880]  這是2019年的統計
[00:01:16.880 --> 00:01:18.680]  你看這是從第十名開始
[00:01:18.680 --> 00:01:23.080]  全世界排名第十 全十名的離婚率
[00:01:23.080 --> 00:01:26.700]  美國位居第十名
[00:01:26.700 --> 00:01:28.040]  第一名是哪裡呢
[00:01:28.040 --> 00:01:30.240]  第一名你看到第一名到第九名
[00:01:30.240 --> 00:01:35.280]  你幾乎發現都是歐洲的國家
[00:01:35.280 --> 00:01:38.580]  這些越先進越發達的國家
[00:01:38.580 --> 00:01:43.240]  離婚越來越高
[00:01:43.240 --> 00:01:44.680]  那麼親愛的兄弟姐妹
[00:01:44.680 --> 00:01:47.200]  我們華人的社會
[00:01:47.200 --> 00:01:50.000]  不管是台灣 香港
[00:01:50.000 --> 00:01:56.300]  或者是中國大陸 北美的華人
[00:01:56.300 --> 00:01:58.780]  你可以看見中國人
[00:01:58.780 --> 00:02:04.040]  華人的社會經濟水平一直在提高
[00:02:04.040 --> 00:02:09.200]  但是同樣也走上西方國家的道路
[00:02:09.200 --> 00:02:12.640]  婚姻的問題也越來越嚴重
[00:02:12.640 --> 00:02:15.940]  所以保羅在一部小說裡面講到
[00:02:15.940 --> 00:02:20.740]  教會的這個是什麼樣子的時候
[00:02:20.740 --> 00:02:22.840]  前面三章他講的教義
[00:02:22.840 --> 00:02:26.640]  後面三章他就開始講生活
[00:02:26.640 --> 00:02:29.680]  所以在禮福所說第五章二十二節之前
[00:02:29.680 --> 00:02:32.940]  我們講到要被聖靈充滿
[00:02:32.940 --> 00:02:35.540]  聖靈充滿之後帶來的生活
[00:02:35.540 --> 00:02:39.780]  就是一個讚美的生活
[00:02:39.780 --> 00:02:43.040]  今天的敬拜讚美有沒有不一樣
[00:02:43.040 --> 00:02:51.140]  有沒有 給我們年輕人鼓勵鼓勵
[00:02:51.140 --> 00:02:53.040]  你有沒有感覺跟他們在一起唱歌
[00:02:53.040 --> 00:02:55.240]  你也年輕了一些有沒有
[00:02:55.240 --> 00:02:56.540]  如果你能夠跳一跳的話
[00:02:56.540 --> 00:02:59.880]  你會更年輕
[00:02:59.880 --> 00:03:03.740]  兄弟姐妹是的
[00:03:03.740 --> 00:03:06.240]  這一個是敬拜
[00:03:06.240 --> 00:03:07.680]  這一個讚美的生活
[00:03:07.680 --> 00:03:08.940]  感謝的生活
[00:03:08.940 --> 00:03:11.180]  這是一個被聖靈充滿的生活
[00:03:11.180 --> 00:03:13.140]  保羅說的
[00:03:13.140 --> 00:03:14.640]  所以接下來他就提到
[00:03:14.640 --> 00:03:15.740]  我們上禮拜提到
[00:03:15.740 --> 00:03:17.940]  接下來就提到說什麼
[00:03:17.940 --> 00:03:21.040]  他說所以你們要以純敬畏嫉妒的心
[00:03:21.040 --> 00:03:23.640]  彼此怎麼樣 順服
[00:03:23.640 --> 00:03:25.840]  然後他講到彼此順服的時候
[00:03:25.840 --> 00:03:28.840]  接下來就帶來了三重人際關係
[00:03:28.840 --> 00:03:32.340]  家庭 還有父子 父女
[00:03:32.340 --> 00:03:33.740]  這個親子關係
[00:03:33.740 --> 00:03:36.440]  還有就是主僕關係的
[00:03:36.440 --> 00:03:40.440]  這樣子的一個生活
[00:03:40.440 --> 00:03:42.540]  家庭很重要
[00:03:42.540 --> 00:03:44.540]  家庭可以說是
[00:03:44.540 --> 00:03:47.740]  所有一切關係的基礎
[00:03:47.740 --> 00:03:49.440]  我們中國人常講說
[00:03:49.440 --> 00:03:56.040]  家和萬事兮 是不是
[00:03:56.040 --> 00:03:57.640]  所以家很重要
[00:03:57.640 --> 00:03:58.840]  聖經裡面也告訴我們說
[00:03:58.840 --> 00:04:00.740]  一個做長老 一個做執事的
[00:04:00.740 --> 00:04:03.440]  必須要先把哪裡管好
[00:04:03.440 --> 00:04:04.640]  家要管好
[00:04:04.640 --> 00:04:06.240]  家管不好
[00:04:06.240 --> 00:04:10.640]  焉能照管神的家
[00:04:10.640 --> 00:04:12.740]  所以家庭很重要的弟兄姊妹
[00:04:12.740 --> 00:04:14.740]  雖然這個世代
[00:04:14.740 --> 00:04:18.240]  你會發現因為婚姻的破裂
[00:04:18.240 --> 00:04:20.040]  帶來了很多孩子
[00:04:20.040 --> 00:04:22.740]  在這個婚姻破裂的指向
[00:04:22.740 --> 00:04:25.540]  他們對婚姻沒有盼望
[00:04:25.540 --> 00:04:31.240]  美國做的一個統計裡面
[00:04:31.240 --> 00:04:33.640]  這個是提到說
[00:04:33.640 --> 00:04:36.940]  50歲以上離婚的人
[00:04:36.940 --> 00:04:41.340]  這個比例 這個程度
[00:04:41.340 --> 00:04:45.440]  是越來越高
[00:04:45.440 --> 00:04:47.740]  但是你去分析
[00:04:47.740 --> 00:04:53.940]  其實這些離婚的原因
[00:04:53.940 --> 00:04:56.840]  為什麼這些50歲以上的人
[00:04:56.840 --> 00:04:58.640]  離婚越來越多
[00:04:58.640 --> 00:05:00.540]  離婚率為什麼會高
[00:05:00.540 --> 00:05:03.640]  因為很多50歲的人
[00:05:03.640 --> 00:05:05.640]  他們已經在婚姻當中
[00:05:05.640 --> 00:05:07.040]  結過不是第一次婚了
[00:05:07.040 --> 00:05:08.740]  你懂這意思嗎
[00:05:08.740 --> 00:05:09.340]  換句話說
[00:05:09.340 --> 00:05:10.640]  他已經結了第二次婚了
[00:05:10.640 --> 00:05:11.940]  甚至第三次婚了
[00:05:11.940 --> 00:05:13.740]  所以他其實在反映這件事情
[00:05:13.740 --> 00:05:16.740]  就是說很多人覺得婚姻
[00:05:16.740 --> 00:05:18.640]  我不能夠跟這個人相處在一起
[00:05:18.640 --> 00:05:20.340]  所以我不要了
[00:05:20.340 --> 00:05:21.840]  我再去找另外一個
[00:05:21.840 --> 00:05:23.740]  他覺得會婚姻更美滿
[00:05:23.740 --> 00:05:26.140]  結果發現其實這樣子的婚姻
[00:05:26.140 --> 00:05:27.440]  離婚率更高
[00:05:27.440 --> 00:05:34.040]  你懂這意思嗎
[00:05:34.040 --> 00:05:37.140]  那家庭又怎麼樣
[00:05:37.140 --> 00:05:39.440]  所以神要我們建立一個
[00:05:39.440 --> 00:05:42.040]  情色和平的家庭
[00:05:42.040 --> 00:05:44.240]  Are you ready
[00:05:44.240 --> 00:05:47.040]  好 那我們看
[00:05:47.040 --> 00:05:48.840]  保羅告訴我們
[00:05:48.840 --> 00:05:50.440]  聖經告訴我們說
[00:05:50.440 --> 00:05:52.040]  那麼做妻子的
[00:05:52.040 --> 00:05:55.240]  做丈夫的應該是怎麼樣子
[00:05:55.240 --> 00:06:00.840]  才能夠使夫妻關係能夠美好
[00:06:00.840 --> 00:06:02.340]  好 我們一起來看
[00:06:02.340 --> 00:06:11.040]  二十二節到二十四節好不好
[00:06:11.040 --> 00:06:12.640]  二十二到二十四節
[00:06:12.640 --> 00:06:40.240]  我要請姐妹來唸好嗎
[00:06:40.240 --> 00:06:46.240]  怎麼唸到後來聲音越來越小了
[00:06:46.240 --> 00:06:47.640]  我常常聽到姐妹說
[00:06:47.640 --> 00:06:50.640]  牧師 你老是講教我們姐妹順服
[00:06:50.640 --> 00:06:52.140]  你可不可以講講弟兄
[00:06:52.140 --> 00:06:53.740]  好 我今天一告訴你
[00:06:53.740 --> 00:06:55.540]  聖經裡面很公平的
[00:06:55.540 --> 00:06:58.140]  是不是 到底神公不公平
[00:06:58.140 --> 00:06:59.740]  為什麼老是叫我們姐妹順服
[00:06:59.740 --> 00:07:00.940]  為什麼不叫弟兄呢
[00:07:00.940 --> 00:07:02.040]  為什麼不講弟兄呢
[00:07:02.040 --> 00:07:03.640]  為什麼你沒有好好讀聖經
[00:07:03.640 --> 00:07:05.040]  你看看這段聖經
[00:07:05.040 --> 00:07:07.740]  從二十二節到三十節
[00:07:07.740 --> 00:07:09.140]  我們今天就講這一段
[00:07:09.140 --> 00:07:10.940]  二十二節到三十節裡面
[00:07:10.940 --> 00:07:12.340]  二十二到二十四節
[00:07:12.340 --> 00:07:15.540]  有三節聖經講的做妻子該如何
[00:07:15.540 --> 00:07:17.340]  二十五節到三十節
[00:07:17.340 --> 00:07:19.740]  有六節聖經講的做丈夫該如何
[00:07:19.740 --> 00:07:22.040]  請問上帝公不公平
[00:07:22.040 --> 00:07:23.140]  不公平
[00:07:23.140 --> 00:07:25.540]  他要求弟兄太多
[00:07:25.540 --> 00:07:28.840]  double portion的要求
[00:07:28.840 --> 00:07:30.940]  但是弟兄姐妹
[00:07:30.940 --> 00:07:35.640]  但是保羅在這裡一開始的時候
[00:07:35.640 --> 00:07:36.840]  奇怪了
[00:07:36.840 --> 00:07:40.740]  他先講做妻子該如何
[00:07:40.740 --> 00:07:43.440]  所以這個次序是聖經說的
[00:07:43.440 --> 00:07:44.340]  是聖經定的
[00:07:44.340 --> 00:07:45.840]  不是我刻意的
[00:07:45.840 --> 00:07:47.940]  請你們不要對號入座
[00:07:47.940 --> 00:07:50.340]  我常常被你們抹灰
[00:07:50.340 --> 00:07:52.540]  說是葛牧師都這麼大
[00:07:52.540 --> 00:07:54.940]  好 不講了
[00:07:54.940 --> 00:07:59.140]  你們做妻子的應當怎麼樣
[00:07:59.140 --> 00:08:01.340]  順服
[00:08:01.340 --> 00:08:02.940]  一講順服
[00:08:02.940 --> 00:08:06.840]  你的感覺如何
[00:08:06.840 --> 00:08:08.740]  很快樂
[00:08:08.740 --> 00:08:13.240]  弟兄很快樂
[00:08:13.240 --> 00:08:14.340]  有天會講到
[00:08:14.340 --> 00:08:15.540]  還有人就說
[00:08:15.540 --> 00:08:19.240]  不是 我太太應該來聽
[00:08:19.240 --> 00:08:20.740]  我說你先把他
[00:08:20.740 --> 00:08:22.640]  你聽好就好了
[00:08:22.640 --> 00:08:23.840]  我就常提醒弟兄姐妹
[00:08:23.840 --> 00:08:25.340]  你不要聽別人聽到
[00:08:25.340 --> 00:08:28.740]  特別你不要聽你的另外一半聽到
[00:08:28.740 --> 00:08:31.140]  做妻子的應當要
[00:08:31.140 --> 00:08:33.340]  順服自己的丈夫
[00:08:33.340 --> 00:08:37.140]  上個禮拜我們講到了順服
[00:08:37.140 --> 00:08:40.140]  這個跟二十一節的順服
[00:08:40.140 --> 00:08:41.940]  這一直連下來的
[00:08:41.940 --> 00:08:44.640]  順服的意思是什麼呢
[00:08:44.640 --> 00:08:45.940]  順服這個字
[00:08:45.940 --> 00:08:48.040]  它的意思
[00:08:48.040 --> 00:08:51.140]  其實原文的意思
[00:08:51.140 --> 00:08:53.940]  就是心甘情願
[00:08:53.940 --> 00:08:55.440]  甘心樂意的
[00:08:55.440 --> 00:09:02.740]  主動的去under在某個人的權項
[00:09:02.740 --> 00:09:05.440]  因為在原文裡面這個動詞
[00:09:05.440 --> 00:09:06.740]  它是一個關聲動詞
[00:09:06.740 --> 00:09:09.040]  意思就是說它是自願的
[00:09:09.040 --> 00:09:10.040]  它是主動的
[00:09:10.040 --> 00:09:11.240]  它不是被動的
[00:09:11.240 --> 00:09:12.640]  不是像我們現在想說
[00:09:12.640 --> 00:09:15.640]  你要順服
[00:09:15.640 --> 00:09:17.640]  順服得牙癢癢的
[00:09:17.640 --> 00:09:19.340]  咬緊牙關
[00:09:19.340 --> 00:09:21.040]  我今天順服你一下
[00:09:21.040 --> 00:09:21.940]  不是
[00:09:21.940 --> 00:09:24.840]  這個順服是從心裡面出來的
[00:09:24.840 --> 00:09:25.840]  所以保羅說
[00:09:25.840 --> 00:09:28.840]  你要順服自己的丈夫
[00:09:28.840 --> 00:09:30.640]  你為什麼要順服他呢
[00:09:30.640 --> 00:09:32.340]  為什麼
[00:09:32.340 --> 00:09:37.240]  為什麼要順服丈夫
[00:09:37.240 --> 00:09:37.840]  他說
[00:09:37.840 --> 00:09:44.740]  因為上帝先創造的是誰
[00:09:44.740 --> 00:09:47.740]  男人亞當是不是
[00:09:47.740 --> 00:09:51.040]  所以在創造的次序來講
[00:09:51.040 --> 00:09:53.840]  上帝先創造了亞當
[00:09:53.840 --> 00:09:57.340]  後再創造了夏娃
[00:09:57.340 --> 00:10:00.140]  他的是創造次序的不同
[00:10:00.140 --> 00:10:02.940]  因此當接著保羅在這裡講了說
[00:10:02.940 --> 00:10:04.140]  你們要順服他
[00:10:04.140 --> 00:10:09.140]  因為他就如同教會順服基督
[00:10:09.140 --> 00:10:13.340]  基督是教會的頭
[00:10:13.340 --> 00:10:17.340]  他就把這個頭的觀念帶出來了
[00:10:17.340 --> 00:10:20.340]  當我們一直講做頭的時候
[00:10:20.340 --> 00:10:23.140]  又是一些的錯誤的一些認知
[00:10:23.140 --> 00:10:24.140]  我們說做頭
[00:10:24.140 --> 00:10:27.740]  做頭是什麼意思
[00:10:27.740 --> 00:10:31.140]  在中國講做領導是不是
[00:10:31.140 --> 00:10:31.940]  Unfortunately
[00:10:31.940 --> 00:10:34.140]  你千萬不要把中國做領導的觀念
[00:10:34.140 --> 00:10:39.340]  來用聖經上面這個做頭的觀念
[00:10:39.340 --> 00:10:43.340]  做領導在中國怎麼做
[00:10:43.340 --> 00:10:44.440]  怎麼做
[00:10:44.440 --> 00:10:45.840]  你會不會做
[00:10:45.840 --> 00:10:48.240]  你想不想做
[00:10:48.240 --> 00:10:50.240]  誰都想做
[00:10:50.240 --> 00:10:53.640]  做領導多威風
[00:10:53.640 --> 00:10:56.840]  是不是
[00:10:56.840 --> 00:10:57.940]  但是現在就準備
[00:10:57.940 --> 00:11:00.640]  聖經上講的基督是頭
[00:11:00.640 --> 00:11:05.840]  他強調的就是頭代表權柄
[00:11:05.840 --> 00:11:07.240]  就準備權柄很重要
[00:11:07.240 --> 00:11:09.640]  一個社會
[00:11:09.640 --> 00:11:14.640]  我這兩天看了新聞裡面提到說
[00:11:14.640 --> 00:11:16.040]  拉丁美洲有一個國家
[00:11:16.040 --> 00:11:19.040]  就是南美洲有個國家叫委內瑞拉
[00:11:19.040 --> 00:11:20.940]  你聽過嗎
[00:11:20.940 --> 00:11:23.540]  我曾經在禱告會也請大家禱告
[00:11:23.540 --> 00:11:26.240]  這個國家本來是最有錢的一個國家
[00:11:26.240 --> 00:11:27.040]  在中南美洲
[00:11:27.040 --> 00:11:29.040]  為什麼他出石油
[00:11:29.040 --> 00:11:31.540]  但是這個總統壞到一個地步
[00:11:31.540 --> 00:11:34.040]  真是貪污腐化
[00:11:34.040 --> 00:11:35.240]  前一個總統弄的
[00:11:35.240 --> 00:11:37.740]  然後就把這個現在的總統帶進來
[00:11:37.740 --> 00:11:41.740]  這個總統去年他就用舞弊的方式
[00:11:41.740 --> 00:11:44.540]  他連任了第二任
[00:11:44.540 --> 00:11:46.340]  最近他們的國會議長說
[00:11:46.340 --> 00:11:49.440]  我現在宣佈我是總統
[00:11:49.440 --> 00:11:51.740]  還有這種事情
[00:11:51.740 --> 00:11:52.540]  那美國一聽
[00:11:52.540 --> 00:11:54.140]  好我支持你
[00:11:54.140 --> 00:11:56.340]  英國德國也說我支持你
[00:11:56.340 --> 00:11:58.940]  所以一些西方國家通通支持他
[00:11:58.940 --> 00:12:01.140]  甚至拉丁美洲的國家通通支持他
[00:12:01.140 --> 00:12:03.340]  但是中國跟俄羅斯說
[00:12:03.340 --> 00:12:05.940]  我們告訴你美國
[00:12:05.940 --> 00:12:07.340]  你不要管這麼多事
[00:12:07.340 --> 00:12:09.340]  為什麼
[00:12:09.340 --> 00:12:16.040]  中國投資了250億在委內瑞拉
[00:12:16.040 --> 00:12:17.840]  那我們今天不談政治問題
[00:12:17.840 --> 00:12:18.840]  我要講就是說
[00:12:18.840 --> 00:12:21.040]  這個國家現在這個情況來看
[00:12:21.040 --> 00:12:24.040]  請問權柄在哪裡
[00:12:24.040 --> 00:12:26.640]  權柄在哪裡
[00:12:26.640 --> 00:12:28.240]  你會發現
[00:12:28.240 --> 00:12:31.540]  這裡面頭出了問題有沒有
[00:12:31.540 --> 00:12:33.440]  這兩個一個說自己是總統
[00:12:33.440 --> 00:12:35.040]  另外一個是現在總統
[00:12:35.040 --> 00:12:38.440]  就軍方軍方支持現任總統
[00:12:38.440 --> 00:12:39.640]  其實軍方支持他
[00:12:39.640 --> 00:12:41.940]  他應該就比較沒問題
[00:12:41.940 --> 00:12:45.240]  好那丟什麼
