
[00:00:00.000 --> 00:00:05.400]  近年很流行那些
[00:00:05.400 --> 00:00:08.440]  成名的飛行器
[00:00:08.440 --> 00:00:10.200]  航拍那些
[00:00:10.200 --> 00:00:12.400]  我不知道有哪些人玩過
[00:00:12.400 --> 00:00:15.520]  沒有玩過你都應該看過拍的那些片
[00:00:15.520 --> 00:00:16.640]  你有沒有想象過
[00:00:16.640 --> 00:00:19.000]  你好像那些航拍機
[00:00:19.000 --> 00:00:20.720]  飛在天空上這樣看
[00:00:20.720 --> 00:00:23.280]  哇 真是
[00:00:23.280 --> 00:00:24.920]  沒得頂
[00:00:24.920 --> 00:00:26.160]  這是一個
[00:00:26.160 --> 00:00:28.400]  我突然間剛纔想起這些景象
[00:00:28.400 --> 00:00:30.640]  很多這些圖畫
[00:00:30.640 --> 00:00:37.000]  這些風貌都是我們可以想象到的
[00:00:37.000 --> 00:00:39.040]  有一天我們可以這樣
[00:00:39.040 --> 00:00:41.720]  在零裏面可以這樣
[00:00:41.720 --> 00:00:43.720]  OK
[00:00:43.720 --> 00:00:45.200]  飛行歸飛行
[00:00:45.200 --> 00:00:48.080]  我們都要落地的
[00:00:48.080 --> 00:00:49.320]  落到地
[00:00:49.320 --> 00:00:50.440]  主尾回來
[00:00:50.440 --> 00:00:54.040]  其實我們都要面對人生種種的挑戰
[00:00:54.040 --> 00:00:58.760]  人生的路總是要走的
[00:00:58.760 --> 00:01:01.440]  近期就收到一些
[00:01:01.440 --> 00:01:03.320]  近期就是我想近這幾個月
[00:01:03.320 --> 00:01:07.040]  有一些其實都挺令人難過的消息
[00:01:07.040 --> 00:01:09.760]  我想中間有些人都可能你會接觸到
[00:01:09.760 --> 00:01:10.880]  譬如說
[00:01:10.880 --> 00:01:14.080]  見到陳浩遠有一個教授
[00:01:14.080 --> 00:01:16.520]  可能他門生更多
[00:01:16.520 --> 00:01:19.280]  所以他消息全遍香港
[00:01:19.280 --> 00:01:22.720]  我們都收到直接間接他的兒子
[00:01:22.720 --> 00:01:24.560]  他叫郭鴻彪教授
[00:01:24.560 --> 00:01:26.000]  一個陳浩遠的老師
[00:01:26.000 --> 00:01:27.600]  他的兒子十多歲
[00:01:27.600 --> 00:01:30.840]  心臟有問題
[00:01:30.840 --> 00:01:33.800]  結果就昏迷得很嚴重
[00:01:33.800 --> 00:01:35.640]  都不知道有沒有兩個月
[00:01:35.640 --> 00:01:37.560]  一個多月的時間
[00:01:37.560 --> 00:01:39.760]  一直都醒不了
[00:01:39.760 --> 00:01:41.360]  很多人討告
[00:01:41.360 --> 00:01:44.440]  很多人在擔心
[00:01:44.440 --> 00:01:46.280]  父母當然都很難過
[00:01:46.280 --> 00:01:48.640]  很多祈禱我們見到
[00:01:48.640 --> 00:01:51.640]  其實看到他爸爸寫了很多東西
[00:01:51.640 --> 00:01:52.800]  很多時候反省
[00:01:52.800 --> 00:01:55.200]  同時也有很多心力的消耗
[00:01:55.200 --> 00:01:57.200]  這個是在過程中間
[00:01:57.200 --> 00:01:58.480]  雖然我不是自己認識他
[00:01:58.480 --> 00:02:00.160]  但是都有收到這些消息
[00:02:00.160 --> 00:02:02.480]  都有大家一起祈禱
[00:02:02.480 --> 00:02:05.600]  這些都是令人覺得難過
[00:02:05.600 --> 00:02:08.120]  就是傷心的
[00:02:08.120 --> 00:02:10.720]  其實我母校即是忠臣
[00:02:10.720 --> 00:02:12.560]  其實都有一位老師
[00:02:12.560 --> 00:02:14.000]  去年十二月
[00:02:14.000 --> 00:02:16.680]  他的兒子應該不知道八歲還是九歲
[00:02:16.680 --> 00:02:19.000]  他是一箇舊約的教授
[00:02:19.000 --> 00:02:20.000]  很年輕的
[00:02:20.000 --> 00:02:21.480]  我想剛剛四十歲左右
[00:02:21.480 --> 00:02:22.480]  即是他爸爸
[00:02:22.480 --> 00:02:24.160]  他的兒子去世了
[00:02:24.160 --> 00:02:26.520]  又是意外的患病
[00:02:26.520 --> 00:02:28.760]  其實都是有一段時間搶救
[00:02:28.760 --> 00:02:29.760]  有一段時間有祈禱
[00:02:29.760 --> 00:02:31.360]  不過都過不了
[00:02:31.360 --> 00:02:32.320]  去年十二月
[00:02:32.320 --> 00:02:35.440]  即是月中左右就離開了
[00:02:35.440 --> 00:02:37.520]  當然都是很難過
[00:02:37.520 --> 00:02:40.960]  就是很不愉快
[00:02:40.960 --> 00:02:44.040]  大家見到今天監視報告
[00:02:44.040 --> 00:02:45.400]  芝士的妹妹
[00:02:45.400 --> 00:02:47.560]  Joyce都是一個患病的女兒
[00:02:47.560 --> 00:02:49.800]  其實都是相當之重
[00:02:49.800 --> 00:02:52.080]  抗癌症第三次的復發
[00:02:52.080 --> 00:02:54.480]  心臟裏面受到攻擊
[00:02:54.480 --> 00:02:55.480]  癌細胞
[00:02:55.480 --> 00:02:59.480]  其實都是很危急的
[00:02:59.480 --> 00:03:01.520]  其實我還想起很多的
[00:03:01.520 --> 00:03:02.280]  很多
[00:03:02.280 --> 00:03:03.720]  我有這位老師
[00:03:03.720 --> 00:03:05.320]  他教孫教
[00:03:05.320 --> 00:03:06.320]  不知道有沒有人認識他
[00:03:06.320 --> 00:03:07.560]  叫羅曼華
[00:03:07.560 --> 00:03:11.880]  他是很有生命力的
[00:03:11.880 --> 00:03:14.680]  抗癌很多年了
[00:03:14.680 --> 00:03:15.520]  肺癌
[00:03:15.520 --> 00:03:18.240]  結果就很積極的人生
[00:03:18.240 --> 00:03:20.080]  但到最近都入院了
[00:03:20.080 --> 00:03:22.280]  身體都支持不了
[00:03:22.280 --> 00:03:22.800]  入院
[00:03:22.800 --> 00:03:24.320]  不過他裏面很積極的
[00:03:24.320 --> 00:03:27.040]  其實他很希望可以很快
[00:03:27.040 --> 00:03:29.080]  由地上回到天上
[00:03:29.080 --> 00:03:30.360]  這個轉換
[00:03:30.360 --> 00:03:31.920]  希望很快就可以過去了
[00:03:31.920 --> 00:03:32.800]  不用那麼多
[00:03:32.800 --> 00:03:35.680]  他在地上的人生已經完了
[00:03:35.680 --> 00:03:37.240]  我想人生
[00:03:37.240 --> 00:03:39.160]  我們這個年紀慢慢漸長
[00:03:39.160 --> 00:03:42.520]  我們會碰到這些東西越來越多
[00:03:42.520 --> 00:03:44.080]  我們的親人
[00:03:44.080 --> 00:03:46.080]  我們的特別父母
[00:03:46.080 --> 00:03:47.560]  我想我們不多不少
[00:03:47.560 --> 00:03:50.000]  都會碰到這些令人傷痛
[00:03:50.000 --> 00:03:50.880]  不如意
[00:03:50.880 --> 00:03:56.120]  甚至令人絕望的事情會發生
[00:03:56.120 --> 00:03:57.240]  個人是這樣
[00:03:57.240 --> 00:03:59.160]  其實羣體都會的
[00:03:59.160 --> 00:04:01.360]  如果我們看得寬一點
[00:04:01.360 --> 00:04:03.040]  不要只是看一個人自己
[00:04:03.040 --> 00:04:06.160]  我們看看我們的城市
[00:04:06.160 --> 00:04:07.840]  我們看
[00:04:07.840 --> 00:04:09.480]  甚至是全世界
[00:04:09.480 --> 00:04:10.680]  看我們的國家等等
[00:04:10.680 --> 00:04:13.160]  其實我都會見到這些事情發生的
[00:04:13.160 --> 00:04:14.920]  有一次跟太太小君聊天
[00:04:14.920 --> 00:04:15.400]  我問她
[00:04:15.400 --> 00:04:19.720]  如果你看香港有什麼令你最不開心
[00:04:19.720 --> 00:04:20.960]  最痛心 最難過
[00:04:20.960 --> 00:04:21.760]  她就分享一件事
[00:04:21.760 --> 00:04:23.360]  我都很認同的
[00:04:23.360 --> 00:04:27.480]  香港的社會上有很多的撕裂
[00:04:27.480 --> 00:04:30.720]  和彼此的對立
[00:04:30.720 --> 00:04:34.440]  如果你上網活躍在社交媒體的話
[00:04:34.440 --> 00:04:36.680]  你就會見到
[00:04:36.680 --> 00:04:38.520]  很容易就會對立
[00:04:38.520 --> 00:04:41.200]  其實大家都沒看得很清楚對方說什麼
[00:04:41.200 --> 00:04:45.520]  你已經把自己的標識說得很敵對
[00:04:45.520 --> 00:04:52.440]  其實是一個很不愉快的情況會發生
[00:04:52.440 --> 00:04:53.440]  最近有一部片
[00:04:53.440 --> 00:04:56.360]  都在反映這個社會上令人傷痛的事情
[00:04:56.360 --> 00:04:59.000]  不知道大家有沒有看過
[00:04:59.000 --> 00:05:01.680]  叫黃金花
[00:05:01.680 --> 00:05:05.280]  我猜有人看過
[00:05:05.280 --> 00:05:06.120]  我還沒看的
[00:05:06.120 --> 00:05:07.760]  很想看了
[00:05:07.760 --> 00:05:12.520]  有一次無意間上網看到一個節目
[00:05:12.520 --> 00:05:15.640]  香港電臺有一個電視節目
[00:05:15.640 --> 00:05:16.960]  叫視點31
