
[00:00:00.000 --> 00:00:02.520]  在過去兩個月
[00:00:02.520 --> 00:00:06.200]  都出席過一些講座
[00:00:06.200 --> 00:00:10.160]  一些電台的訪問
[00:00:10.160 --> 00:00:12.720]  通常都是問我這個問題
[00:00:12.720 --> 00:00:15.320]  撕裂
[00:00:15.320 --> 00:00:18.360]  怎麼能夠縫補呢
[00:00:18.360 --> 00:00:20.880]  有沒有什麼方法呢
[00:00:20.880 --> 00:00:22.960]  很坦白說
[00:00:22.960 --> 00:00:25.400]  我都不知道什麼方法真的會
[00:00:25.400 --> 00:00:27.280]  但今天
[00:00:27.760 --> 00:00:30.080]  我覺得我們不是說「How」
[00:00:30.080 --> 00:00:31.800]  我們說什麼呢
[00:00:31.800 --> 00:00:32.680]  「Why」
[00:00:32.680 --> 00:00:34.720]  為什麼會這樣呢
[00:00:34.720 --> 00:00:36.480]  裡面有什麼問題呢
[00:00:36.480 --> 00:00:39.080]  在這兩個月
[00:00:39.080 --> 00:00:40.560]  或者在過去一年的日子
[00:00:40.560 --> 00:00:43.080]  我都有機會查考《雅各書》
[00:00:43.080 --> 00:00:44.760]  有一天
[00:00:44.760 --> 00:00:48.760]  當我看到《雅各書》第四章第一到六節的時候
[00:00:48.760 --> 00:00:50.160]  我「叮」
[00:00:50.160 --> 00:00:51.240]  醒了
[00:00:51.240 --> 00:00:52.800]  我覺得上帝真的對我說話
[00:00:52.800 --> 00:00:53.920]  在安慰我
[00:00:53.920 --> 00:00:55.280]  所以今天
[00:00:55.440 --> 00:00:58.160]  和大家分享的這六節經文
[00:00:58.160 --> 00:00:59.800]  我會形容為
[00:00:59.800 --> 00:01:01.560]  是共勉之
[00:01:01.560 --> 00:01:03.080]  我們一起學
[00:01:03.080 --> 00:01:05.080]  不是我學會
[00:01:05.080 --> 00:01:06.600]  我還在學
[00:01:06.600 --> 00:01:10.240]  我們進入去看看《雅各書》
[00:01:10.240 --> 00:01:12.040]  《雅各書》
[00:01:12.040 --> 00:01:15.760]  是耶穌的兄弟雅各
[00:01:15.760 --> 00:01:19.760]  向散居在猶太境以外的猶太人所寫的一個
[00:01:19.760 --> 00:01:21.960]  叫做巡迴的信件
[00:01:21.960 --> 00:01:25.320]  當時社會的情況是怎樣呢
[00:01:25.440 --> 00:01:27.320]  有錢的為富不仁
[00:01:27.320 --> 00:01:30.160]  司法上得到袒護
[00:01:30.160 --> 00:01:32.960]  貧窮的人受盡欺凌
[00:01:32.960 --> 00:01:34.360]  社會裡
[00:01:34.360 --> 00:01:36.800]  以儒我詐,你憎我奪
[00:01:36.800 --> 00:01:39.960]  彼此的攻擊,彼此的不信任
[00:01:39.960 --> 00:01:41.680]  像不像我們呢
[00:01:41.680 --> 00:01:43.160]  有點像
[00:01:43.160 --> 00:01:45.000]  第四章
[00:01:45.000 --> 00:01:47.160]  是延續第三章
[00:01:47.160 --> 00:01:49.480]  第三章講到兩種智慧
[00:01:49.480 --> 00:01:51.760]  一種叫做屬天的智慧
[00:01:51.760 --> 00:01:55.120]  是培養一些愛好和平的人
[00:01:55.120 --> 00:01:56.400]  愛好和平的人
[00:01:56.400 --> 00:01:59.920]  就能夠活出上帝要求公義的關係
[00:01:59.920 --> 00:02:03.680]  接著他講一種叫做屬地的智慧
[00:02:03.680 --> 00:02:07.120]  嫉妒、紛爭、關係破裂
[00:02:07.120 --> 00:02:12.200]  第四章就是講嫉妒和紛爭
[00:02:12.200 --> 00:02:16.280]  今天跟大家讀的這六節經文
[00:02:16.280 --> 00:02:18.320]  你就不用看你的iPhone
[00:02:18.320 --> 00:02:20.120]  或者你的聖經
[00:02:20.120 --> 00:02:21.320]  是沒有的
[00:02:21.320 --> 00:02:23.600]  為什麼呢
[00:02:24.160 --> 00:02:28.040]  因為我是用張略牧師雅各書注釋
[00:02:28.040 --> 00:02:30.880]  我真的是一字一字打出來的
[00:02:30.880 --> 00:02:33.000]  所以你一定要看PowerPoint
[00:02:33.000 --> 00:02:36.600]  跟我用啟認的方式一起讀
[00:02:36.600 --> 00:02:38.520]  我讀第一節
[00:02:38.520 --> 00:02:40.000]  你讀第二節
[00:02:40.000 --> 00:02:41.240]  如此類推
[00:02:41.240 --> 00:02:42.040]  第一節
[00:02:42.040 --> 00:02:45.120]  你們中間的戰爭是從哪裡來
[00:02:45.120 --> 00:02:47.440]  打鬥是從哪裡來的呢
[00:02:47.440 --> 00:02:51.920]  豈不是從你們肢體中好鬥的情慾來的嗎
[00:02:54.680 --> 00:02:56.520]  你們求也得不到
[00:02:56.520 --> 00:02:59.120]  是因為你們心術不正的求
[00:02:59.120 --> 00:03:03.120]  目的是要耗費在你們私欲沉溺之中
[00:03:03.120 --> 00:03:06.160]  你們求也得不到
[00:03:06.160 --> 00:03:08.920]  是因為你們心術不正的求
[00:03:08.920 --> 00:03:13.200]  目的是要耗費在你們私欲沉溺之中
[00:03:13.200 --> 00:03:15.920]  你們求也得不到
[00:03:15.920 --> 00:03:18.280]  是因為你們心術不正的求
[00:03:18.280 --> 00:03:21.000]  目的是要耗費在你們私欲沉溺之中
[00:03:21.000 --> 00:03:24.600]  目的是要耗費在你們私欲沉溺之中
[00:03:24.600 --> 00:03:28.800]  上帝安放在我們裡面居住的靈
