
[00:00:00.000 --> 00:00:02.040]  主持人:各位主持人,平安!
[00:00:02.040 --> 00:00:05.880]  我今早在IG上看到
[00:00:05.880 --> 00:00:10.000]  有朋友分享圖片
[00:00:10.000 --> 00:00:14.760]  有些教會在教堂外面
[00:00:14.760 --> 00:00:17.560]  有人聚集
[00:00:17.560 --> 00:00:24.280]  拿著樹枝準備巡遊
[00:00:24.280 --> 00:00:27.880]  不知道在你回來的路途裡
[00:00:27.880 --> 00:00:32.440]  或者經過教堂時有沒有見到這樣的情況
[00:00:32.440 --> 00:00:36.080]  這個情況其實是中之主日的
[00:00:36.080 --> 00:00:40.120]  其中一個教會有的行動
[00:00:40.120 --> 00:00:42.600]  它的來源在哪裏呢?
[00:00:42.600 --> 00:00:45.520]  它的來源在我們今天讀的
[00:00:45.520 --> 00:00:47.680]  《呼音經課》那段經文裏面
[00:00:47.680 --> 00:00:50.600]  我們嘗試打開今天的《呼音經課》來看看
[00:00:54.600 --> 00:00:59.360]  在《萬口福音》第十一章
[00:00:59.360 --> 00:01:06.640]  第七節說:
[00:01:06.640 --> 00:01:09.200]  他們把路驅牽到耶穌那裏
[00:01:09.200 --> 00:01:10.960]  把自己的衣服搭在上面
[00:01:10.960 --> 00:01:12.680]  耶穌就騎上
[00:01:12.680 --> 00:01:15.280]  有許多人把衣服鋪在路上
[00:01:15.280 --> 00:01:18.800]  還有人把田間的樹枝撼下來鋪上
[00:01:18.800 --> 00:01:21.160]  前呼後擁的都喊著說
[00:01:21.160 --> 00:01:25.960]  「和撒拿,逢轉未來的事應當稱重的」
[00:01:25.960 --> 00:01:29.080]  這個場面就是
[00:01:29.080 --> 00:01:31.840]  現今教會在中之主日
[00:01:31.840 --> 00:01:37.040]  有一些教堂所做的行動
[00:01:37.040 --> 00:01:39.040]  不過你可能會說
[00:01:39.040 --> 00:01:42.360]  其實剛才《萬口福音》這一段裏面
[00:01:42.360 --> 00:01:45.280]  我看不到有「中之」
[00:01:45.280 --> 00:01:48.200]  你看不看到?
[00:01:48.200 --> 00:01:51.960]  它只是說「樹枝」而已
[00:01:51.960 --> 00:01:54.120]  在哪裏才找到「中之」呢?
[00:01:54.120 --> 00:01:57.080]  就是在《約翰福音》裏面
[00:01:57.080 --> 00:02:01.680]  《約翰福音》裏面就講明是「中樹枝」
[00:02:01.680 --> 00:02:03.600]  當時你想像一下
[00:02:03.600 --> 00:02:07.000]  那些人揮動著「中樹枝」
[00:02:07.000 --> 00:02:10.440]  在歡迎耶穌進入耶路撒冷
[00:02:10.440 --> 00:02:14.560]  究竟是什麼含義呢?
[00:02:14.560 --> 00:02:16.160]  究竟在想什麼呢?
[00:02:16.160 --> 00:02:22.120]  和現在如果有教堂在教堂外面
[00:02:22.120 --> 00:02:27.160]  拿著「中枝」或者「樹枝」巡遊一圈
[00:02:27.160 --> 00:02:32.680]  含義是不是相同呢?
[00:02:32.680 --> 00:02:37.120]  或者一樣我們講幾個背景故事
[00:02:37.120 --> 00:02:39.680]  能夠幫助我們探究當時的人
[00:02:39.680 --> 00:02:42.520]  他可能懷著什麼心情
[00:02:42.520 --> 00:02:46.400]  或者懷著一種什麼的期望
[00:02:46.400 --> 00:02:49.200]  關於「中樹枝」的故事
[00:02:49.200 --> 00:02:51.320]  我們可以追溯到
[00:02:51.320 --> 00:02:56.080]  耶穌時代的百多年前
[00:02:56.080 --> 00:02:59.600]  百多年前的耶路撒冷
[00:02:59.600 --> 00:03:05.240]  猶大地區究竟是一個什麼狀況呢?
[00:03:05.240 --> 00:03:09.400]  在《馬加比一書》裏面記載了一件
[00:03:09.400 --> 00:03:14.640]  對猶太人非常重要的事件
[00:03:14.640 --> 00:03:21.000]  當時猶太人在希臘的西樓鼓王朝統治
[00:03:21.000 --> 00:03:24.760]  到了安提亞鼓四世的時候
[00:03:24.760 --> 00:03:32.680]  他們就在猶太地進行「去猶太化」
[00:03:32.680 --> 00:03:37.320]  「全面希臘化」這個政策
[00:03:37.320 --> 00:03:43.320]  你可以想像到一定有猶太人抗拒
[00:03:43.320 --> 00:03:46.920]  安提亞鼓四世的軍隊入城
[00:03:46.920 --> 00:03:52.360]  將那些抗拒者拘捕、屠殺、攝毒聖所
[00:03:52.360 --> 00:03:54.720]  禁止猶太人憲制
[00:03:54.720 --> 00:03:59.520]  並且將偶像和猶太人視為不潔之物
[00:03:59.520 --> 00:04:04.840]  放在聖殿裏面
[00:04:04.840 --> 00:04:07.720]  耶路撒冷已經被控制
[00:04:07.720 --> 00:04:12.400]  但是在鄉郊地方就不一樣
[00:04:12.400 --> 00:04:13.640]  有一個鄉郊的地方
[00:04:13.640 --> 00:04:17.760]  有一個民間祭司家庭起義反抗
[00:04:17.760 --> 00:04:20.960]  後來被稱為「馬加比革命」
[00:04:20.960 --> 00:04:23.680]  馬加比兄弟前父後繼
[00:04:23.680 --> 00:04:27.720]  到第三任的領袖兼大祭司約拿丹領導的時候
[00:04:27.720 --> 00:04:30.680]  終於打敗外敵
[00:04:30.680 --> 00:04:34.720]  他們驅逐了佔領耶路撒冷的外邦人
[00:04:34.720 --> 00:04:37.440]  猶太人終於可以潔淨聖城
[00:04:37.440 --> 00:04:39.920]  掃除污穢之物
[00:04:39.920 --> 00:04:41.200]  馬加比一書十三章
[00:04:41.200 --> 00:04:43.200]  不得不這樣說
[00:04:43.200 --> 00:04:45.320]  他們帶頌贊
[00:04:45.320 --> 00:04:50.880]  鍾濫樹枝、樂器、詩歌和頌詞
[00:04:50.880 --> 00:04:52.360]  進入堡壘
[00:04:52.360 --> 00:04:55.320]  因為大敵已被粉碎
[00:04:55.320 --> 00:04:59.760]  從以色列中除去
[00:04:59.760 --> 00:05:01.920]  八多年之後
[00:05:01.920 --> 00:05:06.320]  當耶穌進入耶路撒冷聖城的時候
[00:05:06.320 --> 00:05:10.960]  揮動鍾樹枝去歡迎祂的百姓心目中
[00:05:10.960 --> 00:05:15.360]  會不會在想這段歷史呢?
[00:05:15.360 --> 00:05:17.520]  會不會在盼望百多年前
[00:05:17.520 --> 00:05:25.000]  猶太民族的光輝一挾會重臨呢?
