
[00:00:00.000 --> 00:00:02.520]  我們來到九月網上第十八講
[00:00:02.520 --> 00:00:04.840]  這裡是創世紀二十五章
[00:00:04.840 --> 00:00:09.560]  是阿伯拉罕故事最後的結語
[00:00:09.560 --> 00:00:14.600]  去交代阿伯拉罕的眾子孫和他們的後人
[00:00:14.600 --> 00:00:19.840]  亦交代阿伯拉罕將財產分給二子
[00:00:19.840 --> 00:00:24.440]  二十五章頭三段,第一至第四節
[00:00:24.440 --> 00:00:28.400]  就是基土拉所生的東方國族
[00:00:28.400 --> 00:00:31.360]  基土拉是阿伯拉罕另一個妻子
[00:00:31.360 --> 00:00:34.200]  為了他生不同的二子
[00:00:34.200 --> 00:00:39.160]  然後交代了他每一族的族人叫什麼名字
[00:00:39.160 --> 00:00:46.160]  五至第十一節就是講到撒拉為阿伯拉罕所生的二撒
[00:00:46.160 --> 00:00:51.040]  這個當然就是將來以色列國的族長
[00:00:51.040 --> 00:00:54.640]  亦都是神跡出生,是特夢神揀選
[00:00:54.640 --> 00:00:57.920]  然後第三段就是十二至第十八節
[00:00:57.920 --> 00:01:01.000]  就是下甲這個很熟悉的名字
[00:01:01.000 --> 00:01:03.640]  是阿伯拉罕另一個妻子
[00:01:03.640 --> 00:01:06.640]  為阿伯拉罕所生的是二十瑪利
[00:01:06.640 --> 00:01:10.200]  然後講到他的後人二十瑪利人
[00:01:10.200 --> 00:01:12.000]  我們先看第三段
[00:01:12.000 --> 00:01:14.920]  記得這個很熟悉的名字二十瑪利
[00:01:14.920 --> 00:01:20.320]  阿伯拉罕和這位妻子下甲所生
[00:01:20.320 --> 00:01:22.120]  二十五章第十二節
[00:01:22.120 --> 00:01:25.120]  撒拉的侍女埃及人下甲
[00:01:25.120 --> 00:01:28.480]  給阿伯拉罕所生的兒子是二十瑪利
[00:01:28.480 --> 00:01:33.760]  二十瑪利的兒子們的名字按照他的家譜記載在下面
[00:01:33.760 --> 00:01:35.520]  然後講出這些名字之後
[00:01:35.520 --> 00:01:38.520]  他說照著他們的村莊他們的營寨
[00:01:38.520 --> 00:01:41.240]  就作十二族的族長
[00:01:41.240 --> 00:01:44.520]  二十瑪利享壽是一百三十七歲
[00:01:44.520 --> 00:01:47.920]  氣絕而死歸到他的列祖那裡
[00:01:47.920 --> 00:01:50.120]  這裡交代二十瑪利人
[00:01:50.120 --> 00:01:55.320]  是住在以色列地的東面約旦河東的國族
[00:01:55.320 --> 00:01:59.520]  第一段就是講到阿伯拉罕的另一個妻妾
[00:01:59.520 --> 00:02:01.320]  就是基圖拉
[00:02:01.320 --> 00:02:03.320]  二十五章第一節這樣交代
[00:02:03.320 --> 00:02:05.520]  他說阿伯拉罕又娶了一妻
[00:02:05.520 --> 00:02:07.720]  其實是原意
[00:02:07.720 --> 00:02:10.120]  其他的經文告訴我們
