
[00:00:00.000 --> 00:00:03.960]  早晨 今天其實經文就有十幾節的
[00:00:03.960 --> 00:00:06.160]  不過讀了約節就夠了
[00:00:06.160 --> 00:00:08.840]  因為這個故事如果大家有看過《士堂傳》
[00:00:08.840 --> 00:00:11.000]  都有一定的了解
[00:00:11.000 --> 00:00:16.760]  是一個很重要的人物在新約聖經裡面出場的一個情況
[00:00:16.760 --> 00:00:20.440]  如果大家有看過《士堂傳》第九章
[00:00:20.440 --> 00:00:22.360]  就知道有一個人叫做素羅
[00:00:22.360 --> 00:00:23.840]  一個很有地位的人
[00:00:23.840 --> 00:00:26.120]  當時他進了猶太公會
[00:00:26.120 --> 00:00:32.480]  所以他一定的地位就開始拿一些手令、文書等等去捉拿基督徒
[00:00:32.480 --> 00:00:35.200]  到處去會堂見到一個基督徒就捉他
[00:00:35.200 --> 00:00:37.560]  就好像今天有IS來到這裡
[00:00:37.560 --> 00:00:39.480]  見到你聚會就捉了你
[00:00:39.480 --> 00:00:42.760]  這樣的人是一個當時的IS份子
[00:00:42.760 --> 00:00:44.680]  到處去地方捉人
[00:00:44.680 --> 00:00:49.360]  但是當他走在一個地方大馬士革的路上
[00:00:49.360 --> 00:00:51.640]  天上有一個榮光照耀他
[00:00:51.640 --> 00:00:53.800]  然後耶穌和他有對話
[00:00:53.800 --> 00:00:57.000]  去呼召他透過一個人
[00:00:57.000 --> 00:00:59.320]  也都幫助他從失明
[00:00:59.320 --> 00:01:02.440]  或者沒飲沒食的裡面恢復體力
[00:01:02.440 --> 00:01:06.240]  這個經文就是講這個保羅或者叫素羅
[00:01:06.240 --> 00:01:12.640]  他這兩個名字也都會互相提到
[00:01:12.640 --> 00:01:19.040]  這個保羅的轉信過程有很多的研究、很多的考慮
[00:01:19.040 --> 00:01:22.800]  因為究竟他是不是相信同一個神
[00:01:22.800 --> 00:01:24.080]  還是一個不同的神
[00:01:24.080 --> 00:01:25.680]  以至他轉變了
[00:01:25.680 --> 00:01:28.800]  舊約他所信的耶和華神和新約這個神
[00:01:28.800 --> 00:01:31.240]  有沒有什麼關聯呢
[00:01:31.240 --> 00:01:32.800]  是很多的討論
[00:01:32.800 --> 00:01:35.360]  但是可以很確定一件事情就是
[00:01:35.360 --> 00:01:37.040]  保羅是一個很熱心
[00:01:37.040 --> 00:01:39.680]  我們說是一個很狂熱份子
[00:01:39.680 --> 00:01:42.400]  他的熱心比我們任何人都要強
[00:01:42.400 --> 00:01:44.680]  他所做的事情是非常之多
[00:01:44.680 --> 00:01:46.200]  今天我們要求
[00:01:46.200 --> 00:01:48.320]  就是不敢要求信徒做什麼
[00:01:48.320 --> 00:01:50.440]  因為要求得多他就轉去另一間
[00:01:50.440 --> 00:01:52.600]  另一間是不用怎麼做事的
[00:01:52.600 --> 00:01:54.160]  但是保羅他是自動自覺
[00:01:54.160 --> 00:01:59.000]  他是很主動的參與了宗教信仰的內容
[00:01:59.000 --> 00:02:03.240]  在彼勒比書形容他所做的行為是百分之一百
