
[00:00:00.000 --> 00:00:02.000]  營養招展第一個題目
[00:00:02.000 --> 00:00:04.000]  就是叫做
[00:00:04.000 --> 00:00:06.000]  等候勝靈
[00:00:06.000 --> 00:00:08.000]  有沒有覺得很奇怪
[00:00:08.000 --> 00:00:10.000]  先賣個關子
[00:00:10.000 --> 00:00:12.000]  講等候
[00:00:12.000 --> 00:00:14.000]  剛才那首歌
[00:00:14.000 --> 00:00:16.000]  就是我們將眼光看在上帝的眼前
[00:00:16.000 --> 00:00:18.000]  然後fix our eyes
[00:00:18.000 --> 00:00:20.000]  看神怎樣帶領我們走這條路
[00:00:20.000 --> 00:00:22.000]  講到等
[00:00:22.000 --> 00:00:24.000]  有些專家就這樣講
[00:00:24.000 --> 00:00:26.000]  據一些研究所得
[00:00:26.000 --> 00:00:28.000]  平均一個人一生裏面
[00:00:28.000 --> 00:00:30.000]  你大概用了五年的時間
[00:00:30.000 --> 00:00:32.000]  在這裏等
[00:00:32.000 --> 00:00:34.000]  等那些無謂的東西
[00:00:34.000 --> 00:00:36.000]  等甚麼呢?不知道等甚麼
[00:00:36.000 --> 00:00:38.000]  如果你80歲的話
[00:00:38.000 --> 00:00:40.000]  你大概有6%就在浪費時間
[00:00:40.000 --> 00:00:42.000]  浪費光陰在這裏等
[00:00:42.000 --> 00:00:44.000]  70歲你有7%
[00:00:44.000 --> 00:00:46.000]  60歲你就有8%
[00:00:46.000 --> 00:00:48.000]  究竟人在這裏等甚麼呢?
[00:00:48.000 --> 00:00:50.000]  為甚麼要等呢?
[00:00:50.000 --> 00:00:52.000]  基本上如果你
[00:00:52.000 --> 00:00:54.000]  再進去又這樣講
[00:00:54.000 --> 00:00:56.000]  等其實基本上
[00:00:56.000 --> 00:00:58.000]  有兩種等法
[00:00:58.000 --> 00:01:00.000]  第一種叫有意義的等
[00:01:00.000 --> 00:01:02.000]  應該這樣講
[00:01:02.000 --> 00:01:04.000]  第一種叫沒有意義的等
[00:01:04.000 --> 00:01:06.000]  另外一種叫有意義的等
[00:01:06.000 --> 00:01:08.000]  相對這樣講
[00:01:08.000 --> 00:01:10.000]  沒有意義的等是甚麼呢?
[00:01:10.000 --> 00:01:12.000]  就是這些
[00:01:12.000 --> 00:01:14.000]  這個故事叫甚麼呢?
[00:01:14.000 --> 00:01:16.000]  手指袋兔
[00:01:16.000 --> 00:01:18.000]  就是講這個農夫
[00:01:18.000 --> 00:01:20.000]  大家小時候都認識的
[00:01:20.000 --> 00:01:22.000]  兔子坐在樹上死了
[00:01:22.000 --> 00:01:24.000]  農夫以後都不用做了
[00:01:24.000 --> 00:01:26.000]  有意義的等
[00:01:26.000 --> 00:01:28.000]  現代版就是
[00:01:28.000 --> 00:01:30.000]  我們在這裏等買樂彩
[00:01:30.000 --> 00:01:32.000]  買了之後你就在這裏等
[00:01:32.000 --> 00:01:34.000]  不知道等不等都沒有所謂
[00:01:34.000 --> 00:01:36.000]  現在兩元雞
[00:01:36.000 --> 00:01:38.000]  在Lotto買了
[00:01:38.000 --> 00:01:40.000]  你就等有就有
[00:01:40.000 --> 00:01:42.000]  沒有就沒有
[00:01:42.000 --> 00:01:44.000]  這些沒有意義的等我們不會花很多時間講
[00:01:44.000 --> 00:01:46.000]  講一下有甚麼叫有意義的等
[00:01:46.000 --> 00:01:48.000]  有意義的等呢
[00:01:48.000 --> 00:01:50.000]  就是我們有一個
[00:01:50.000 --> 00:01:52.000]  明確的目標
[00:01:52.000 --> 00:01:54.000]  又再分了
[00:01:54.000 --> 00:01:56.000]  有意義的等又分兩種
[00:01:56.000 --> 00:01:58.000]  一種是有surprise
[00:01:58.000 --> 00:02:00.000]  一種是沒有surprise的
[00:02:00.000 --> 00:02:02.000]  講一下沒有surprise的等
[00:02:02.000 --> 00:02:04.000]  好像等地鐵
[00:02:04.000 --> 00:02:06.000]  等遲一班都沒有所謂
[00:02:06.000 --> 00:02:08.000]  等巴士
[00:02:08.000 --> 00:02:10.000]  等銀行服務
[00:02:10.000 --> 00:02:12.000]  等程序完了之後
[00:02:12.000 --> 00:02:14.000]  等下一個程序出現
[00:02:14.000 --> 00:02:16.000]  譬如你申請一些科目讀書
[00:02:16.000 --> 00:02:18.000]  完了一就去第二
[00:02:18.000 --> 00:02:20.000]  這些叫有目的的等
[00:02:20.000 --> 00:02:22.000]  沒有surprise的
[00:02:22.000 --> 00:02:24.000]  遲早都等得到
[00:02:24.000 --> 00:02:26.000]  第二種就是有surprise的等
[00:02:26.000 --> 00:02:28.000]  這一種
[00:02:28.000 --> 00:02:30.000]  比較高層次
[00:02:30.000 --> 00:02:32.000]  高層次的
[00:02:32.000 --> 00:02:34.000]  就是你不知道
