
[00:00:00.000 --> 00:00:01.280]  大型節目早晨
[00:00:01.280 --> 00:00:05.560]  人生總有順境逆境的時候
[00:00:05.560 --> 00:00:08.400]  很少人一生順順利利
[00:00:08.400 --> 00:00:10.320]  一些失敗跌倒都未經歷過
[00:00:10.320 --> 00:00:13.360]  亦很少人一直停留在逆境中
[00:00:13.360 --> 00:00:15.080]  一點翻身的機會都沒有
[00:00:15.080 --> 00:00:19.280]  我們總是在人生的起起跌跌中度過
[00:00:19.280 --> 00:00:23.960]  問題是我們用甚麼態度去面對不同的遭遇
[00:00:23.960 --> 00:00:26.480]  今天想藉著希伯來書這段經文
[00:00:26.480 --> 00:00:31.440]  和大家思想一下如何去面對人生的困苦
[00:00:31.440 --> 00:00:33.160]  人生的逆境
[00:00:33.160 --> 00:00:35.200]  在困苦中
[00:00:35.200 --> 00:00:40.320]  人很容易會灰心、失望、埋怨、氣餒
[00:00:40.320 --> 00:00:44.000]  甚至會徹底否定人生的價值
[00:00:44.000 --> 00:00:47.920]  有信仰的人會多一層屬靈的掙扎
[00:00:47.920 --> 00:00:50.320]  上帝去了哪裡呢?
[00:00:50.320 --> 00:00:53.520]  上帝既然是慈愛良善
[00:00:53.520 --> 00:00:56.040]  為何會容許世界上那麼多的人
[00:00:56.040 --> 00:00:59.760]  包括祂的兒女要承受那麼多的痛苦
[00:00:59.760 --> 00:01:04.920]  香港過去幾年都經歷了很艱難的日子
[00:01:04.920 --> 00:01:11.160]  我聽到有弟兄姊妹因為灰心離開了教會
[00:01:11.160 --> 00:01:14.080]  有目者因為疲倦困乏
[00:01:14.080 --> 00:01:17.960]  要暫時離開侍奉的崗位
[00:01:17.960 --> 00:01:23.320]  甚至有神學生懷疑自己有沒有搞錯上帝的呼召
[00:01:23.320 --> 00:01:24.920]  在困苦中
[00:01:25.280 --> 00:01:29.320]  我們很容易會感受到疲倦、灰心、失望
[00:01:29.320 --> 00:01:31.040]  甚至很想放棄
[00:01:31.040 --> 00:01:32.840]  這些感受都是真實的
[00:01:32.840 --> 00:01:35.600]  心理學、輔導學都提醒我們
[00:01:35.600 --> 00:01:39.080]  我們要正視這些負面的感受
[00:01:39.080 --> 00:01:40.640]  不要那麼快壓抑他們
[00:01:40.640 --> 00:01:44.120]  因為壓抑這些負面感受對我們是沒有好處的
[00:01:44.120 --> 00:01:47.080]  我們要承認它、面對它
[00:01:47.080 --> 00:01:50.600]  我們要接受自己有情緒低落的時候
[00:01:51.560 --> 00:01:55.360]  不過信仰對我們有更高的要求
[00:01:55.360 --> 00:02:01.360]  不只是停留在接納自己有情緒、有感受的上面
[00:02:01.360 --> 00:02:04.600]  信仰對我們有什麼要求呢?
[00:02:04.600 --> 00:02:08.520]  希伯來書十章十九到二十五節提醒我們
[00:02:08.520 --> 00:02:10.800]  有三個基本的堅持
[00:02:10.800 --> 00:02:14.160]  是每一個信耶穌的人都需要有的
[00:02:14.160 --> 00:02:19.320]  為什麼希伯來書的作者要提出三個堅持呢?
[00:02:20.160 --> 00:02:22.440]  當我們一口氣讀完整卷書的時候
[00:02:22.440 --> 00:02:25.400]  你會發現到裡面很多經文
[00:02:25.400 --> 00:02:28.560]  是不斷重複提醒收信人要堅持
[00:02:28.560 --> 00:02:31.000]  要堅持,不要放棄信仰
[00:02:31.000 --> 00:02:32.400]  表示什麼呢?
[00:02:32.400 --> 00:02:37.840]  表示在收信人的裡面的確有些信徒
[00:02:37.840 --> 00:02:40.000]  因為抵受不住生活的壓力
[00:02:40.000 --> 00:02:43.760]  因為面對不了各樣的試探引誘
[00:02:43.760 --> 00:02:46.400]  他們離開了信仰、離開了上帝
[00:02:47.800 --> 00:02:53.480]  有一天我在街上看到管理處張貼了一個通告
[00:02:53.480 --> 00:02:55.840]  通告提醒每一個住戶
[00:02:55.840 --> 00:02:59.520]  不要擺放私人物品在公共的地方
[00:02:59.520 --> 00:03:00.600]  表示什麼呢?
[00:03:00.600 --> 00:03:03.440]  表示那棟大廈真的有住戶這樣做
[00:03:03.440 --> 00:03:07.120]  把私人物品放在公共的地方
[00:03:07.120 --> 00:03:10.960]  希伯來書的作者重重複複在書信提醒他們
[00:03:10.960 --> 00:03:12.320]  要堅持到底
[00:03:12.320 --> 00:03:14.760]  要堅持到底,不要放棄信仰
[00:03:15.240 --> 00:03:19.200]  表示當時真的有些人因為抵受不住生活的壓力
[00:03:19.200 --> 00:03:21.440]  他們離開了信仰,放棄了上帝
[00:03:21.440 --> 00:03:25.560]  究竟當時他們面對什麼問題
[00:03:25.560 --> 00:03:28.400]  以致他們會抵受不了要離開上帝呢?
[00:03:28.400 --> 00:03:32.440]  坦白說,我們都不太清楚
[00:03:32.440 --> 00:03:35.920]  因為希伯來書的作者又沒有說得很清楚、很具體
[00:03:35.920 --> 00:03:39.240]  在希伯來書十一章
[00:03:39.240 --> 00:03:42.360]  作者引用了一個信心偉人榜
[00:03:42.360 --> 00:03:44.800]  我想有不少弟兄姐妹都聽過或看過
[00:03:45.240 --> 00:03:48.680]  在那裡作者引用了很多信心的偉人
[00:03:48.680 --> 00:03:52.720]  包括了阿伯、以諾、阿伯拉罕、摩西
[00:03:52.720 --> 00:03:56.440]  透過這些人的生命見證去激勵、修訓人
[00:03:56.440 --> 00:04:00.480]  無論在什麼處境遭遇下都要堅持
[00:04:00.480 --> 00:04:02.200]  都不要放棄
[00:04:02.200 --> 00:04:06.280]  在這個信心偉人榜裡
[00:04:06.280 --> 00:04:10.440]  作者特別說到有人忍受戲弄
[00:04:11.440 --> 00:04:16.640]  有人要忍受鞭打、捆鎖、監禁各種磨練
[00:04:16.640 --> 00:04:20.440]  被石頭打死、被鋸鋸死、被刀殺
[00:04:20.440 --> 00:04:23.920]  披著綿羊山羊的皮各處奔跑
[00:04:23.920 --> 00:04:27.320]  受貧窮、患難、虐待
[00:04:27.320 --> 00:04:32.520]  可想而知當時修訓人面對的境況都很艱難
[00:04:32.520 --> 00:04:38.800]  以致作者在信心偉人榜上要用這麼強烈的字眼
[00:04:39.360 --> 00:04:43.000]  來將這些信心偉人與他們的遭遇連繫在一起
